"STATISTIC Label","Month","Direction","Type of Passenger Movement","UNIT","VALUE"
"Passenger Movement","1961M09","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2623"
"Passenger Movement","1961M09","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","8994"
"Passenger Movement","1961M10","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","31748"
"Passenger Movement","1961M10","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","31279"
"Passenger Movement","1961M10","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","469"
"Passenger Movement","1961M10","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","14502"
"Passenger Movement","1961M10","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","45037"
"Passenger Movement","1961M10","Arriving in Eire","Passenger Movement by Air from All Airports","Number","35107"
"Passenger Movement","1961M10","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","29943"
"Passenger Movement","1961M10","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","820"
"Passenger Movement","1961M10","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","4344"
"Passenger Movement","1961M10","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2841"
"Passenger Movement","1961M10","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","1503"
"Passenger Movement","1961M10","Departing Eire","Passenger Movement by Sea to All Countries","Number","37019"
"Passenger Movement","1961M10","Departing Eire","Passenger Movement by Sea to Great Britain","Number","36251"
"Passenger Movement","1961M10","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","768"
"Passenger Movement","1961M10","Departing Eire","Passenger Movement Cross-Border Rail","Number","13826"
"Passenger Movement","1961M10","Departing Eire","Passenger Movement Cross-Border Bus","Number","44790"
"Passenger Movement","1961M10","Departing Eire","Passenger Movement by Air from All Airports","Number","38528"
"Passenger Movement","1961M10","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","31041"
"Passenger Movement","1961M10","Departing Eire","Passenger Movement by Air from Cork Airport","Number","842"
"Passenger Movement","1961M10","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","6645"
"Passenger Movement","1961M10","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","1371"
"Passenger Movement","1961M10","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","5274"
"Passenger Movement","1961M11","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","17515"
"Passenger Movement","1961M11","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","17327"
"Passenger Movement","1961M11","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","188"
"Passenger Movement","1961M11","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","10852"
"Passenger Movement","1961M11","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","38705"
"Passenger Movement","1961M11","Arriving in Eire","Passenger Movement by Air from All Airports","Number","19424"
"Passenger Movement","1961M11","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","16743"
"Passenger Movement","1961M11","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","990"
"Passenger Movement","1961M11","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","1691"
"Passenger Movement","1961M11","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","1007"
"Passenger Movement","1961M11","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","684"
"Passenger Movement","1961M11","Departing Eire","Passenger Movement by Sea to All Countries","Number","17802"
"Passenger Movement","1961M11","Departing Eire","Passenger Movement by Sea to Great Britain","Number","17494"
