"Statistic Label","Type of Accommodation Used","Reason for Journey","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2009","Thousand","9422"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2010","Thousand","8346"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2011","Thousand","8494"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2012","Thousand","6048"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2013","Thousand","6935"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2014","Thousand","7852"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2015","Thousand","9429"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2016","Thousand","10387"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2017","Thousand","10825"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2018","Thousand","11075"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All reasons for journey","2019","Thousand","10971"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2009","Thousand","3134"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2010","Thousand","2603"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2011","Thousand","2322"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2012","Thousand","1437"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2013","Thousand","1408"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2014","Thousand","1805"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2015","Thousand","2217"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2016","Thousand","2443"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2017","Thousand","2546"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2018","Thousand","3062"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Holiday/leisure/recreation","2019","Thousand","2899"
