"Statistic Label","Area of Residence","Reason for Journey","Year","UNIT","VALUE"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2012","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2013","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2014","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2015","%","20"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2016","%","19"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2017","%","21"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2018","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2019","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2009","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2010","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2011","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2012","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2013","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2014","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2015","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2016","%","16"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2017","%","19"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2018","%","19"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Holiday/leisure/recreation","2019","%","19"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2009","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2010","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2011","%","30"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2012","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2013","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2014","%","16"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2015","%","20"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2016","%","20"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2017","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2018","%","16"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Visit to friends/relatives","2019","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2009","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2010","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2011","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2012","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2013","%","13"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2014","%","12"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2015","%","12"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2016","%","12"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2017","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2018","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Business","2019","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","Other reason for journey","2009","%","39"
