"Statistic Label","Type of Accommodation Used","Area of Residence","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2014","Thousand","1174"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2015","Thousand","1299"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2016","Thousand","1377"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2017","Thousand","1435"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2018","Thousand","1178"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2019","Thousand","1147"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2009","Thousand","4999"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2010","Thousand","4409"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2011","Thousand","4900"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2012","Thousand","3104"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2013","Thousand","3598"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2014","Thousand","4449"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2015","Thousand","5045"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2016","Thousand","5345"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2017","Thousand","5480"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2018","Thousand","6373"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other Europe","2019","Thousand","5829"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2009","Thousand","1727"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2010","Thousand","1543"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2011","Thousand","1269"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2012","Thousand","976"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","USA and Canada","2013","Thousand","1215"
