"Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"Holiday/leisure/recreation","2008","Average Length of Stay Abroad by Irish Residents","Nights","8.5"
"Visit to friends/relatives","1976","Expenditure by Vistors to Ireland","Euro Million","43"
"Visit to friends/relatives","1976","Visitors to Ireland","Thousand","494"
"Visit to friends/relatives","1976","Average Length of Stay by Visitors to Ireland","Nights",""
"Visit to friends/relatives","1976","Expenditure by Irish Residents Abroad","Euro Million","32"
"Visit to friends/relatives","1976","Visits Abroad by Irish Residents","Thousand","222"
"Visit to friends/relatives","1976","Average Length of Stay Abroad by Irish Residents","Nights",""
"Visit to friends/relatives","1977","Expenditure by Vistors to Ireland","Euro Million","56"
"Visit to friends/relatives","1977","Visitors to Ireland","Thousand","494"
"Visit to friends/relatives","1977","Average Length of Stay by Visitors to Ireland","Nights",""
"Visit to friends/relatives","1977","Expenditure by Irish Residents Abroad","Euro Million","43"
"Visit to friends/relatives","1977","Visits Abroad by Irish Residents","Thousand","253"
"Visit to friends/relatives","1977","Average Length of Stay Abroad by Irish Residents","Nights",""
"Visit to friends/relatives","1978","Expenditure by Vistors to Ireland","Euro Million","52"
"Visit to friends/relatives","1978","Visitors to Ireland","Thousand","486"
"Visit to friends/relatives","1978","Average Length of Stay by Visitors to Ireland","Nights",""
"Visit to friends/relatives","1978","Expenditure by Irish Residents Abroad","Euro Million","56"
"Visit to friends/relatives","1978","Visits Abroad by Irish Residents","Thousand","309"
"Visit to friends/relatives","1978","Average Length of Stay Abroad by Irish Residents","Nights",""
"Visit to friends/relatives","1979","Expenditure by Vistors to Ireland","Euro Million","67"
"Visit to friends/relatives","1979","Visitors to Ireland","Thousand","514"
"Visit to friends/relatives","1979","Average Length of Stay by Visitors to Ireland","Nights",""
"Visit to friends/relatives","1979","Expenditure by Irish Residents Abroad","Euro Million","56"
"Visit to friends/relatives","1979","Visits Abroad by Irish Residents","Thousand","295"
"Visit to friends/relatives","1979","Average Length of Stay Abroad by Irish Residents","Nights",""
"Visit to friends/relatives","1980","Expenditure by Vistors to Ireland","Euro Million","83"
"Visit to friends/relatives","1980","Visitors to Ireland","Thousand","546"
"Visit to friends/relatives","1980","Average Length of Stay by Visitors to Ireland","Nights",""
"Visit to friends/relatives","1980","Expenditure by Irish Residents Abroad","Euro Million","75"
"Visit to friends/relatives","1980","Visits Abroad by Irish Residents","Thousand","315"
"Visit to friends/relatives","1980","Average Length of Stay Abroad by Irish Residents","Nights",""
"Visit to friends/relatives","1981","Expenditure by Vistors to Ireland","Euro Million","95"
"Visit to friends/relatives","1981","Visitors to Ireland","Thousand","571"
"Visit to friends/relatives","1981","Average Length of Stay by Visitors to Ireland","Nights",""
"Visit to friends/relatives","1981","Expenditure by Irish Residents Abroad","Euro Million","89"
"Visit to friends/relatives","1981","Visits Abroad by Irish Residents","Thousand","344"
"Visit to friends/relatives","1981","Average Length of Stay Abroad by Irish Residents","Nights",""
"Visit to friends/relatives","1982","Expenditure by Vistors to Ireland","Euro Million","102"
"Visit to friends/relatives","1982","Visitors to Ireland","Thousand","556"
"Visit to friends/relatives","1982","Average Length of Stay by Visitors to Ireland","Nights",""
"Visit to friends/relatives","1982","Expenditure by Irish Residents Abroad","Euro Million","86"
"Visit to friends/relatives","1982","Visits Abroad by Irish Residents","Thousand","320"
"Visit to friends/relatives","1982","Average Length of Stay Abroad by Irish Residents","Nights",""
"Visit to friends/relatives","1983","Expenditure by Vistors to Ireland","Euro Million","114"
"Visit to friends/relatives","1983","Visitors to Ireland","Thousand","566"
"Visit to friends/relatives","1983","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"Visit to friends/relatives","1983","Expenditure by Irish Residents Abroad","Euro Million","91"
"Visit to friends/relatives","1983","Visits Abroad by Irish Residents","Thousand","323"
"Visit to friends/relatives","1983","Average Length of Stay Abroad by Irish Residents","Nights","11"
"Visit to friends/relatives","1984","Expenditure by Vistors to Ireland","Euro Million","146"
"Visit to friends/relatives","1984","Visitors to Ireland","Thousand","722"
"Visit to friends/relatives","1984","Average Length of Stay by Visitors to Ireland","Nights","11.4"
"Visit to friends/relatives","1984","Expenditure by Irish Residents Abroad","Euro Million","105"
"Visit to friends/relatives","1984","Visits Abroad by Irish Residents","Thousand","337"
"Visit to friends/relatives","1984","Average Length of Stay Abroad by Irish Residents","Nights","10.5"
"Visit to friends/relatives","1985","Expenditure by Vistors to Ireland","Euro Million","166"
"Visit to friends/relatives","1985","Visitors to Ireland","Thousand","712"
"Visit to friends/relatives","1985","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"Visit to friends/relatives","1985","Expenditure by Irish Residents Abroad","Euro Million","116"
"Visit to friends/relatives","1985","Visits Abroad by Irish Residents","Thousand","336"
"Visit to friends/relatives","1985","Average Length of Stay Abroad by Irish Residents","Nights","10.6"
"Visit to friends/relatives","1986","Expenditure by Vistors to Ireland","Euro Million","175"
"Visit to friends/relatives","1986","Visitors to Ireland","Thousand","700"
"Visit to friends/relatives","1986","Average Length of Stay by Visitors to Ireland","Nights","11"
"Visit to friends/relatives","1986","Expenditure by Irish Residents Abroad","Euro Million","156"
"Visit to friends/relatives","1986","Visits Abroad by Irish Residents","Thousand","401"
"Visit to friends/relatives","1986","Average Length of Stay Abroad by Irish Residents","Nights","10.9"
"Visit to friends/relatives","1987","Expenditure by Vistors to Ireland","Euro Million","225"
"Visit to friends/relatives","1987","Visitors to Ireland","Thousand","836"
"Visit to friends/relatives","1987","Average Length of Stay by Visitors to Ireland","Nights","10.8"
"Visit to friends/relatives","1987","Expenditure by Irish Residents Abroad","Euro Million","207"
"Visit to friends/relatives","1987","Visits Abroad by Irish Residents","Thousand","535"
"Visit to friends/relatives","1987","Average Length of Stay Abroad by Irish Residents","Nights","10.7"
"Visit to friends/relatives","1988","Expenditure by Vistors to Ireland","Euro Million","246"
"Visit to friends/relatives","1988","Visitors to Ireland","Thousand","919"
"Visit to friends/relatives","1988","Average Length of Stay by Visitors to Ireland","Nights","10.4"
"Visit to friends/relatives","1988","Expenditure by Irish Residents Abroad","Euro Million","231"
"Visit to friends/relatives","1988","Visits Abroad by Irish Residents","Thousand","565"
"Visit to friends/relatives","1988","Average Length of Stay Abroad by Irish Residents","Nights","11"
"Visit to friends/relatives","1989","Expenditure by Vistors to Ireland","Euro Million","274"
"Visit to friends/relatives","1989","Visitors to Ireland","Thousand","1020"
"Visit to friends/relatives","1989","Average Length of Stay by Visitors to Ireland","Nights","10"
"Visit to friends/relatives","1989","Expenditure by Irish Residents Abroad","Euro Million","254"
"Visit to friends/relatives","1989","Visits Abroad by Irish Residents","Thousand","606"
"Visit to friends/relatives","1989","Average Length of Stay Abroad by Irish Residents","Nights","10.7"
"Visit to friends/relatives","1990","Expenditure by Vistors to Ireland","Euro Million","286"
"Visit to friends/relatives","1990","Visitors to Ireland","Thousand","1059"
"Visit to friends/relatives","1990","Average Length of Stay by Visitors to Ireland","Nights","9.9"
"Visit to friends/relatives","1990","Expenditure by Irish Residents Abroad","Euro Million","265"
"Visit to friends/relatives","1990","Visits Abroad by Irish Residents","Thousand","619"
"Visit to friends/relatives","1990","Average Length of Stay Abroad by Irish Residents","Nights","10.1"
"Visit to friends/relatives","1991","Expenditure by Vistors to Ireland","Euro Million","270"
"Visit to friends/relatives","1991","Visitors to Ireland","Thousand","909"
"Visit to friends/relatives","1991","Average Length of Stay by Visitors to Ireland","Nights","10.2"
"Visit to friends/relatives","1991","Expenditure by Irish Residents Abroad","Euro Million","253"
"Visit to friends/relatives","1991","Visits Abroad by Irish Residents","Thousand","540"
"Visit to friends/relatives","1991","Average Length of Stay Abroad by Irish Residents","Nights","10"
"Visit to friends/relatives","1992","Expenditure by Vistors to Ireland","Euro Million","244"
"Visit to friends/relatives","1992","Visitors to Ireland","Thousand","905"
"Visit to friends/relatives","1992","Average Length of Stay by Visitors to Ireland","Nights","9.7"
