"Route of Travel","Year","Statistic Label","UNIT","VALUE"
"Sea Cross Channel","2005","Visitors to Ireland","Thousand","1085"
"Sea Cross Channel","2005","Average Length of Stay by Visitors to Ireland","Nights","8.2"
"Sea Cross Channel","2005","Visits Abroad by Irish Residents","Thousand","336"
"Sea Cross Channel","2005","Average Length of Stay Abroad by Irish Residents","Nights","6.5"
"Sea Cross Channel","2006","Visitors to Ireland","Thousand","983"
"Sea Cross Channel","2006","Average Length of Stay by Visitors to Ireland","Nights","8.3"
"Sea Cross Channel","2006","Visits Abroad by Irish Residents","Thousand","341"
"Sea Cross Channel","2006","Average Length of Stay Abroad by Irish Residents","Nights","7.1"
"Sea Cross Channel","2007","Visitors to Ireland","Thousand","1013"
"Sea Cross Channel","2007","Average Length of Stay by Visitors to Ireland","Nights","8.4"
"Sea Cross Channel","2007","Visits Abroad by Irish Residents","Thousand","333"
"Sea Cross Channel","2007","Average Length of Stay Abroad by Irish Residents","Nights","6.5"
"Sea Cross Channel","2008","Visitors to Ireland","Thousand","890"
"Sea Cross Channel","2008","Average Length of Stay by Visitors to Ireland","Nights","8.7"
"Sea Cross Channel","2008","Visits Abroad by Irish Residents","Thousand","357"
"Sea Cross Channel","2008","Average Length of Stay Abroad by Irish Residents","Nights","7.7"
"Continental Europe","1976","Visitors to Ireland","Thousand","123"
"Continental Europe","1976","Average Length of Stay by Visitors to Ireland","Nights","14.8"
"Continental Europe","1976","Visits Abroad by Irish Residents","Thousand","220"
"Continental Europe","1976","Average Length of Stay Abroad by Irish Residents","Nights","12.5"
"Continental Europe","1977","Visitors to Ireland","Thousand","151"
"Continental Europe","1977","Average Length of Stay by Visitors to Ireland","Nights","14.1"
"Continental Europe","1977","Visits Abroad by Irish Residents","Thousand","228"
"Continental Europe","1977","Average Length of Stay Abroad by Irish Residents","Nights","12.2"
"Continental Europe","1978","Visitors to Ireland","Thousand","178"
"Continental Europe","1978","Average Length of Stay by Visitors to Ireland","Nights","13.3"
"Continental Europe","1978","Visits Abroad by Irish Residents","Thousand","281"
"Continental Europe","1978","Average Length of Stay Abroad by Irish Residents","Nights","11"
"Continental Europe","1979","Visitors to Ireland","Thousand","199"
"Continental Europe","1979","Average Length of Stay by Visitors to Ireland","Nights","11.4"
"Continental Europe","1979","Visits Abroad by Irish Residents","Thousand","346"
"Continental Europe","1979","Average Length of Stay Abroad by Irish Residents","Nights","11.8"
"Continental Europe","1980","Visitors to Ireland","Thousand","191"
"Continental Europe","1980","Average Length of Stay by Visitors to Ireland","Nights","12.8"
"Continental Europe","1980","Visits Abroad by Irish Residents","Thousand","338"
"Continental Europe","1980","Average Length of Stay Abroad by Irish Residents","Nights","11.5"
"Continental Europe","1981","Visitors to Ireland","Thousand","215"
"Continental Europe","1981","Average Length of Stay by Visitors to Ireland","Nights","11.9"
"Continental Europe","1981","Visits Abroad by Irish Residents","Thousand","380"
"Continental Europe","1981","Average Length of Stay Abroad by Irish Residents","Nights","13.4"
"Continental Europe","1982","Visitors to Ireland","Thousand","235"
"Continental Europe","1982","Average Length of Stay by Visitors to Ireland","Nights","12.1"
"Continental Europe","1982","Visits Abroad by Irish Residents","Thousand","401"
"Continental Europe","1982","Average Length of Stay Abroad by Irish Residents","Nights","11.7"
"Continental Europe","1983","Visitors to Ireland","Thousand","219"
"Continental Europe","1983","Average Length of Stay by Visitors to Ireland","Nights","13.2"
"Continental Europe","1983","Visits Abroad by Irish Residents","Thousand","379"
"Continental Europe","1983","Average Length of Stay Abroad by Irish Residents","Nights","11.3"
"Continental Europe","1984","Visitors to Ireland","Thousand","225"
"Continental Europe","1984","Average Length of Stay by Visitors to Ireland","Nights","12.6"
"Continental Europe","1984","Visits Abroad by Irish Residents","Thousand","362"
"Continental Europe","1984","Average Length of Stay Abroad by Irish Residents","Nights","12.4"
"Continental Europe","1985","Visitors to Ireland","Thousand","252"
"Continental Europe","1985","Average Length of Stay by Visitors to Ireland","Nights","12.8"
"Continental Europe","1985","Visits Abroad by Irish Residents","Thousand","328"
"Continental Europe","1985","Average Length of Stay Abroad by Irish Residents","Nights","12.1"
"Continental Europe","1986","Visitors to Ireland","Thousand","242"
"Continental Europe","1986","Average Length of Stay by Visitors to Ireland","Nights","12.7"
"Continental Europe","1986","Visits Abroad by Irish Residents","Thousand","349"
"Continental Europe","1986","Average Length of Stay Abroad by Irish Residents","Nights","12.5"
"Continental Europe","1987","Visitors to Ireland","Thousand","272"
"Continental Europe","1987","Average Length of Stay by Visitors to Ireland","Nights","10.8"
"Continental Europe","1987","Visits Abroad by Irish Residents","Thousand","409"
"Continental Europe","1987","Average Length of Stay Abroad by Irish Residents","Nights","10.9"
"Continental Europe","1988","Visitors to Ireland","Thousand","310"
"Continental Europe","1988","Average Length of Stay by Visitors to Ireland","Nights","11.2"
"Continental Europe","1988","Visits Abroad by Irish Residents","Thousand","483"
"Continental Europe","1988","Average Length of Stay Abroad by Irish Residents","Nights","10"
"Continental Europe","1989","Visitors to Ireland","Thousand","383"
"Continental Europe","1989","Average Length of Stay by Visitors to Ireland","Nights","11.5"
"Continental Europe","1989","Visits Abroad by Irish Residents","Thousand","475"
"Continental Europe","1989","Average Length of Stay Abroad by Irish Residents","Nights","10.4"
"Continental Europe","1990","Visitors to Ireland","Thousand","497"
"Continental Europe","1990","Average Length of Stay by Visitors to Ireland","Nights","12.2"
"Continental Europe","1990","Visits Abroad by Irish Residents","Thousand","425"
"Continental Europe","1990","Average Length of Stay Abroad by Irish Residents","Nights","11.2"
"Continental Europe","1991","Visitors to Ireland","Thousand","569"
"Continental Europe","1991","Average Length of Stay by Visitors to Ireland","Nights","12.7"
"Continental Europe","1991","Visits Abroad by Irish Residents","Thousand","418"
"Continental Europe","1991","Average Length of Stay Abroad by Irish Residents","Nights","11"
"Continental Europe","1992","Visitors to Ireland","Thousand","599"
"Continental Europe","1992","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"Continental Europe","1992","Visits Abroad by Irish Residents","Thousand","481"
"Continental Europe","1992","Average Length of Stay Abroad by Irish Residents","Nights","11.6"
"Continental Europe","1993","Visitors to Ireland","Thousand","653"
"Continental Europe","1993","Average Length of Stay by Visitors to Ireland","Nights","11.5"
"Continental Europe","1993","Visits Abroad by Irish Residents","Thousand","517"
"Continental Europe","1993","Average Length of Stay Abroad by Irish Residents","Nights","9.9"
"Continental Europe","1994","Visitors to Ireland","Thousand","726"
"Continental Europe","1994","Average Length of Stay by Visitors to Ireland","Nights","11.5"
"Continental Europe","1994","Visits Abroad by Irish Residents","Thousand","589"
"Continental Europe","1994","Average Length of Stay Abroad by Irish Residents","Nights","11.5"
"Continental Europe","1995","Visitors to Ireland","Thousand","785"
"Continental Europe","1995","Average Length of Stay by Visitors to Ireland","Nights","11.2"
"Continental Europe","1995","Visits Abroad by Irish Residents","Thousand","689"
"Continental Europe","1995","Average Length of Stay Abroad by Irish Residents","Nights","11.3"
"Continental Europe","1996","Visitors to Ireland","Thousand","868"
"Continental Europe","1996","Average Length of Stay by Visitors to Ireland","Nights","11.6"
"Continental Europe","1996","Visits Abroad by Irish Residents","Thousand","725"
"Continental Europe","1996","Average Length of Stay Abroad by Irish Residents","Nights","10.9"
"Continental Europe","1997","Visitors to Ireland","Thousand","885"
"Continental Europe","1997","Average Length of Stay by Visitors to Ireland","Nights","11"
"Continental Europe","1997","Visits Abroad by Irish Residents","Thousand","830"
"Continental Europe","1997","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"Continental Europe","1998","Visitors to Ireland","Thousand","974"
"Continental Europe","1998","Average Length of Stay by Visitors to Ireland","Nights","10.4"
"Continental Europe","1998","Visits Abroad by Irish Residents","Thousand","1022"
"Continental Europe","1998","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"Continental Europe","1999","Visitors to Ireland","Thousand","1065"
"Continental Europe","1999","Average Length of Stay by Visitors to Ireland","Nights","10.4"
"Continental Europe","1999","Visits Abroad by Irish Residents","Thousand","1276"
"Continental Europe","1999","Average Length of Stay Abroad by Irish Residents","Nights","9.7"
"Continental Europe","2000","Visitors to Ireland","Thousand","1187"
"Continental Europe","2000","Average Length of Stay by Visitors to Ireland","Nights","9.7"
"Continental Europe","2000","Visits Abroad by Irish Residents","Thousand","1550"
"Continental Europe","2000","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"Continental Europe","2001","Visitors to Ireland","Thousand","1170"
"Continental Europe","2001","Average Length of Stay by Visitors to Ireland","Nights","10.7"
"Continental Europe","2001","Visits Abroad by Irish Residents","Thousand","1864"
"Continental Europe","2001","Average Length of Stay Abroad by Irish Residents","Nights","9.8"
"Continental Europe","2002","Visitors to Ireland","Thousand","1173"
"Continental Europe","2002","Average Length of Stay by Visitors to Ireland","Nights","10.8"
"Continental Europe","2002","Visits Abroad by Irish Residents","Thousand","2190"
"Continental Europe","2002","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"Continental Europe","2003","Visitors to Ireland","Thousand","1287"
"Continental Europe","2003","Average Length of Stay by Visitors to Ireland","Nights","11.1"
"Continental Europe","2003","Visits Abroad by Irish Residents","Thousand","2438"
"Continental Europe","2003","Average Length of Stay Abroad by Irish Residents","Nights","9"
"Continental Europe","2004","Visitors to Ireland","Thousand","1408"
"Continental Europe","2004","Average Length of Stay by Visitors to Ireland","Nights","10.5"
"Continental Europe","2004","Visits Abroad by Irish Residents","Thousand","2735"
"Continental Europe","2004","Average Length of Stay Abroad by Irish Residents","Nights","8"
"Continental Europe","2005","Visitors to Ireland","Thousand","1705"
"Continental Europe","2005","Average Length of Stay by Visitors to Ireland","Nights","10.5"
"Continental Europe","2005","Visits Abroad by Irish Residents","Thousand","3205"
"Continental Europe","2005","Average Length of Stay Abroad by Irish Residents","Nights","8.3"
"Continental Europe","2006","Visitors to Ireland","Thousand","2181"
"Continental Europe","2006","Average Length of Stay by Visitors to Ireland","Nights","11.1"
"Continental Europe","2006","Visits Abroad by Irish Residents","Thousand","3867"
"Continental Europe","2006","Average Length of Stay Abroad by Irish Residents","Nights","8"
"Continental Europe","2007","Visitors to Ireland","Thousand","2575"
"Continental Europe","2007","Average Length of Stay by Visitors to Ireland","Nights","9.9"
"Continental Europe","2007","Visits Abroad by Irish Residents","Thousand","4583"
"Continental Europe","2007","Average Length of Stay Abroad by Irish Residents","Nights","7.8"
"Continental Europe","2008","Visitors to Ireland","Thousand","2656"
"Continental Europe","2008","Average Length of Stay by Visitors to Ireland","Nights","11.6"
"Continental Europe","2008","Visits Abroad by Irish Residents","Thousand","4533"
"Continental Europe","2008","Average Length of Stay Abroad by Irish Residents","Nights","8.5"
"Transatlantic","1976","Visitors to Ireland","Thousand","159"
"Transatlantic","1976","Average Length of Stay by Visitors to Ireland","Nights","13.2"
"Transatlantic","1976","Visits Abroad by Irish Residents","Thousand","34"
"Transatlantic","1976","Average Length of Stay Abroad by Irish Residents","Nights","29.5"
"Transatlantic","1977","Visitors to Ireland","Thousand","177"
"Transatlantic","1977","Average Length of Stay by Visitors to Ireland","Nights","12.6"
"Transatlantic","1977","Visits Abroad by Irish Residents","Thousand","38"
"Transatlantic","1977","Average Length of Stay Abroad by Irish Residents","Nights","29.2"
"Transatlantic","1978","Visitors to Ireland","Thousand","179"
"Transatlantic","1978","Average Length of Stay by Visitors to Ireland","Nights","12.7"
"Transatlantic","1978","Visits Abroad by Irish Residents","Thousand","44"
"Transatlantic","1978","Average Length of Stay Abroad by Irish Residents","Nights","23.8"
"Transatlantic","1979","Visitors to Ireland","Thousand","187"
"Transatlantic","1979","Average Length of Stay by Visitors to Ireland","Nights","11.7"
"Transatlantic","1979","Visits Abroad by Irish Residents","Thousand","61"
"Transatlantic","1979","Average Length of Stay Abroad by Irish Residents","Nights","18"
"Transatlantic","1980","Visitors to Ireland","Thousand","150"
"Transatlantic","1980","Average Length of Stay by Visitors to Ireland","Nights","15.7"
"Transatlantic","1980","Visits Abroad by Irish Residents","Thousand","70"
"Transatlantic","1980","Average Length of Stay Abroad by Irish Residents","Nights","21.5"
"Transatlantic","1981","Visitors to Ireland","Thousand","152"
"Transatlantic","1981","Average Length of Stay by Visitors to Ireland","Nights","14"
"Transatlantic","1981","Visits Abroad by Irish Residents","Thousand","83"
"Transatlantic","1981","Average Length of Stay Abroad by Irish Residents","Nights","18.4"
"Transatlantic","1982","Visitors to Ireland","Thousand","181"
"Transatlantic","1982","Average Length of Stay by Visitors to Ireland","Nights","12.3"
"Transatlantic","1982","Visits Abroad by Irish Residents","Thousand","71"
"Transatlantic","1982","Average Length of Stay Abroad by Irish Residents","Nights","21.8"
"Transatlantic","1983","Visitors to Ireland","Thousand","171"
"Transatlantic","1983","Average Length of Stay by Visitors to Ireland","Nights","11.6"
"Transatlantic","1983","Visits Abroad by Irish Residents","Thousand","54"
"Transatlantic","1983","Average Length of Stay Abroad by Irish Residents","Nights","21"
"Transatlantic","1984","Visitors to Ireland","Thousand","186"
"Transatlantic","1984","Average Length of Stay by Visitors to Ireland","Nights","12.1"
"Transatlantic","1984","Visits Abroad by Irish Residents","Thousand","62"
"Transatlantic","1984","Average Length of Stay Abroad by Irish Residents","Nights","20.1"
"Transatlantic","1985","Visitors to Ireland","Thousand","213"
"Transatlantic","1985","Average Length of Stay by Visitors to Ireland","Nights","12.6"
"Transatlantic","1985","Visits Abroad by Irish Residents","Thousand","54"
"Transatlantic","1985","Average Length of Stay Abroad by Irish Residents","Nights","19.5"
"Transatlantic","1986","Visitors to Ireland","Thousand","193"
"Transatlantic","1986","Average Length of Stay by Visitors to Ireland","Nights","12.5"
"Transatlantic","1986","Visits Abroad by Irish Residents","Thousand","71"
"Transatlantic","1986","Average Length of Stay Abroad by Irish Residents","Nights","23.7"
"Transatlantic","1987","Visitors to Ireland","Thousand","212"
"Transatlantic","1987","Average Length of Stay by Visitors to Ireland","Nights","12.9"
"Transatlantic","1987","Visits Abroad by Irish Residents","Thousand","74"
"Transatlantic","1987","Average Length of Stay Abroad by Irish Residents","Nights","22.8"
"Transatlantic","1988","Visitors to Ireland","Thousand","214"
"Transatlantic","1988","Average Length of Stay by Visitors to Ireland","Nights","12.3"
"Transatlantic","1988","Visits Abroad by Irish Residents","Thousand","93"
"Transatlantic","1988","Average Length of Stay Abroad by Irish Residents","Nights","20.5"
"Transatlantic","1989","Visitors to Ireland","Thousand","221"
"Transatlantic","1989","Average Length of Stay by Visitors to Ireland","Nights","12.8"
"Transatlantic","1989","Visits Abroad by Irish Residents","Thousand","94"
"Transatlantic","1989","Average Length of Stay Abroad by Irish Residents","Nights","21.1"
"Transatlantic","1990","Visitors to Ireland","Thousand","215"
"Transatlantic","1990","Average Length of Stay by Visitors to Ireland","Nights","12.1"
"Transatlantic","1990","Visits Abroad by Irish Residents","Thousand","107"
"Transatlantic","1990","Average Length of Stay Abroad by Irish Residents","Nights","18.3"
"Transatlantic","1991","Visitors to Ireland","Thousand","170"
"Transatlantic","1991","Average Length of Stay by Visitors to Ireland","Nights","12.6"
"Transatlantic","1991","Visits Abroad by Irish Residents","Thousand","102"
"Transatlantic","1991","Average Length of Stay Abroad by Irish Residents","Nights","16.8"
"Transatlantic","1992","Visitors to Ireland","Thousand","193"
"Transatlantic","1992","Average Length of Stay by Visitors to Ireland","Nights","12.3"
"Transatlantic","1992","Visits Abroad by Irish Residents","Thousand","126"
"Transatlantic","1992","Average Length of Stay Abroad by Irish Residents","Nights","14.6"
"Transatlantic","1993","Visitors to Ireland","Thousand","206"
"Transatlantic","1993","Average Length of Stay by Visitors to Ireland","Nights","11.7"
"Transatlantic","1993","Visits Abroad by Irish Residents","Thousand","142"
"Transatlantic","1993","Average Length of Stay Abroad by Irish Residents","Nights","18.4"
"Transatlantic","1994","Visitors to Ireland","Thousand","242"
"Transatlantic","1994","Average Length of Stay by Visitors to Ireland","Nights","11.7"
"Transatlantic","1994","Visits Abroad by Irish Residents","Thousand","156"
"Transatlantic","1994","Average Length of Stay Abroad by Irish Residents","Nights","19.7"
"Transatlantic","1995","Visitors to Ireland","Thousand","277"
"Transatlantic","1995","Average Length of Stay by Visitors to Ireland","Nights","11.6"
"Transatlantic","1995","Visits Abroad by Irish Residents","Thousand","146"
"Transatlantic","1995","Average Length of Stay Abroad by Irish Residents","Nights","17.2"
"Transatlantic","1996","Visitors to Ireland","Thousand","330"
"Transatlantic","1996","Average Length of Stay by Visitors to Ireland","Nights","11.8"
"Transatlantic","1996","Visits Abroad by Irish Residents","Thousand","153"
"Transatlantic","1996","Average Length of Stay Abroad by Irish Residents","Nights","17.2"
"Transatlantic","1997","Visitors to Ireland","Thousand","339"
"Transatlantic","1997","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"Transatlantic","1997","Visits Abroad by Irish Residents","Thousand","161"
"Transatlantic","1997","Average Length of Stay Abroad by Irish Residents","Nights","17.6"
"Transatlantic","1998","Visitors to Ireland","Thousand","419"
"Transatlantic","1998","Average Length of Stay by Visitors to Ireland","Nights","10.8"
"Transatlantic","1998","Visits Abroad by Irish Residents","Thousand","178"
"Transatlantic","1998","Average Length of Stay Abroad by Irish Residents","Nights","17.3"
"Transatlantic","1999","Visitors to Ireland","Thousand","489"
"Transatlantic","1999","Average Length of Stay by Visitors to Ireland","Nights","10.5"
"Transatlantic","1999","Visits Abroad by Irish Residents","Thousand","227"
"Transatlantic","1999","Average Length of Stay Abroad by Irish Residents","Nights","17.2"
"Transatlantic","2000","Visitors to Ireland","Thousand","560"
"Transatlantic","2000","Average Length of Stay by Visitors to Ireland","Nights","10.4"
"Transatlantic","2000","Visits Abroad by Irish Residents","Thousand","242"
"Transatlantic","2000","Average Length of Stay Abroad by Irish Residents","Nights","16"
"Transatlantic","2001","Visitors to Ireland","Thousand","539"
"Transatlantic","2001","Average Length of Stay by Visitors to Ireland","Nights","10.3"
"Transatlantic","2001","Visits Abroad by Irish Residents","Thousand","243"
"Transatlantic","2001","Average Length of Stay Abroad by Irish Residents","Nights","15.6"
"Transatlantic","2002","Visitors to Ireland","Thousand","484"
"Transatlantic","2002","Average Length of Stay by Visitors to Ireland","Nights","10.6"
"Transatlantic","2002","Visits Abroad by Irish Residents","Thousand","206"
"Transatlantic","2002","Average Length of Stay Abroad by Irish Residents","Nights","16.6"
"Transatlantic","2003","Visitors to Ireland","Thousand","567"
"Transatlantic","2003","Average Length of Stay by Visitors to Ireland","Nights","10.9"
"Transatlantic","2003","Visits Abroad by Irish Residents","Thousand","259"
"Transatlantic","2003","Average Length of Stay Abroad by Irish Residents","Nights","16.9"
"Transatlantic","2004","Visitors to Ireland","Thousand","561"
"Transatlantic","2004","Average Length of Stay by Visitors to Ireland","Nights","9.9"
"Transatlantic","2004","Visits Abroad by Irish Residents","Thousand","309"
"Transatlantic","2004","Average Length of Stay Abroad by Irish Residents","Nights","14.3"
"Transatlantic","2005","Visitors to Ireland","Thousand","592"
"Transatlantic","2005","Average Length of Stay by Visitors to Ireland","Nights","10"
"Transatlantic","2005","Visits Abroad by Irish Residents","Thousand","357"
"Transatlantic","2005","Average Length of Stay Abroad by Irish Residents","Nights","11.7"
"Transatlantic","2006","Visitors to Ireland","Thousand","645"
"Transatlantic","2006","Average Length of Stay by Visitors to Ireland","Nights","9.6"
"Transatlantic","2006","Visits Abroad by Irish Residents","Thousand","387"
"Transatlantic","2006","Average Length of Stay Abroad by Irish Residents","Nights","10.9"
"Transatlantic","2007","Visitors to Ireland","Thousand","669"
"Transatlantic","2007","Average Length of Stay by Visitors to Ireland","Nights","9.5"
"Transatlantic","2007","Visits Abroad by Irish Residents","Thousand","441"
"Transatlantic","2007","Average Length of Stay Abroad by Irish Residents","Nights","10.2"
"Transatlantic","2008","Visitors to Ireland","Thousand","603"
"Transatlantic","2008","Average Length of Stay by Visitors to Ireland","Nights","10.2"
"Transatlantic","2008","Visits Abroad by Irish Residents","Thousand","520"
"Transatlantic","2008","Average Length of Stay Abroad by Irish Residents","Nights","11"
