"Area of Residence","Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"All Countries","Other reason for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Other reason for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"All Countries","Other reason for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","398"
"All Countries","Other reason for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"Germany","All reasons for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"Germany","All reasons for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","241"
"Germany","All reasons for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","All reasons for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Germany","All reasons for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","227"
"Germany","All reasons for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","All reasons for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"Germany","All reasons for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","286"
"Germany","All reasons for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","All reasons for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Germany","All reasons for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","334"
"Germany","All reasons for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","All reasons for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Germany","All reasons for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","397"
"Germany","All reasons for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","All reasons for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"Germany","All reasons for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","388"
"Germany","All reasons for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","All reasons for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Germany","All reasons for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","399"
"Germany","All reasons for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Germany","All reasons for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
