"Area of Residence","Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"Great Britain","Other reason for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"Great Britain","Other reason for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"Great Britain","Other reason for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.2"
"Great Britain","Other reason for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"Great Britain","Other reason for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Great Britain","Other reason for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","1.7"
"Great Britain","Other reason for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"Great Britain","Other reason for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"Great Britain","Other reason for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","2"
"Great Britain","Other reason for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"Great Britain","Other reason for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"Great Britain","Other reason for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","1.2"
"Great Britain","Other reason for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"Great Britain","Other reason for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"Great Britain","Other reason for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","1"
"Great Britain","Other reason for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","23"
"Great Britain","Other reason for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"Other Europe (14)","All reasons for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.2"
"Other Europe (14)","All reasons for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","580"
"Other Europe (14)","All reasons for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","All reasons for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"Other Europe (14)","All reasons for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","544"
"Other Europe (14)","All reasons for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","All reasons for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"Other Europe (14)","All reasons for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","629"
"Other Europe (14)","All reasons for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","All reasons for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Other Europe (14)","All reasons for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","639"
"Other Europe (14)","All reasons for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","All reasons for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"Other Europe (14)","All reasons for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","771"
"Other Europe (14)","All reasons for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","All reasons for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"Other Europe (14)","All reasons for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","821"
"Other Europe (14)","All reasons for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","All reasons for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Other Europe (14)","All reasons for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","883"
"Other Europe (14)","All reasons for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","All reasons for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Other Europe (14)","All reasons for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","890"
"Other Europe (14)","All reasons for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","All reasons for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Other Europe (14)","All reasons for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","959"
"Other Europe (14)","All reasons for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Other Europe (14)","Holiday/leisure/recreation","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Other Europe (14)","Holiday/leisure/recreation","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","231"
"Other Europe (14)","Holiday/leisure/recreation","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Holiday/leisure/recreation","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"Other Europe (14)","Holiday/leisure/recreation","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","221"
"Other Europe (14)","Holiday/leisure/recreation","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Holiday/leisure/recreation","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"Other Europe (14)","Holiday/leisure/recreation","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","266"
"Other Europe (14)","Holiday/leisure/recreation","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Holiday/leisure/recreation","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Other Europe (14)","Holiday/leisure/recreation","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","259"
"Other Europe (14)","Holiday/leisure/recreation","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Holiday/leisure/recreation","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Other Europe (14)","Holiday/leisure/recreation","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","353"
"Other Europe (14)","Holiday/leisure/recreation","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Holiday/leisure/recreation","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Other Europe (14)","Holiday/leisure/recreation","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","391"
"Other Europe (14)","Holiday/leisure/recreation","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Holiday/leisure/recreation","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"Other Europe (14)","Holiday/leisure/recreation","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","434"
"Other Europe (14)","Holiday/leisure/recreation","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Holiday/leisure/recreation","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"Other Europe (14)","Holiday/leisure/recreation","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","461"
"Other Europe (14)","Holiday/leisure/recreation","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","Holiday/leisure/recreation","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"Other Europe (14)","Holiday/leisure/recreation","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","508"
"Other Europe (14)","Holiday/leisure/recreation","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Visit to friends/relatives","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"Other Europe (14)","Visit to friends/relatives","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","108"
"Other Europe (14)","Visit to friends/relatives","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"Other Europe (14)","Visit to friends/relatives","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"Other Europe (14)","Visit to friends/relatives","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","101"
"Other Europe (14)","Visit to friends/relatives","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"Other Europe (14)","Visit to friends/relatives","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Other Europe (14)","Visit to friends/relatives","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","95"
"Other Europe (14)","Visit to friends/relatives","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"Other Europe (14)","Visit to friends/relatives","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"Other Europe (14)","Visit to friends/relatives","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","132"
"Other Europe (14)","Visit to friends/relatives","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"Other Europe (14)","Visit to friends/relatives","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"Other Europe (14)","Visit to friends/relatives","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","124"
"Other Europe (14)","Visit to friends/relatives","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Visit to friends/relatives","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"Other Europe (14)","Visit to friends/relatives","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","143"
"Other Europe (14)","Visit to friends/relatives","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Visit to friends/relatives","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Other Europe (14)","Visit to friends/relatives","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","130"
"Other Europe (14)","Visit to friends/relatives","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"Other Europe (14)","Visit to friends/relatives","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Other Europe (14)","Visit to friends/relatives","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"Other Europe (14)","Visit to friends/relatives","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Visit to friends/relatives","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"Other Europe (14)","Visit to friends/relatives","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","156"
"Other Europe (14)","Visit to friends/relatives","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Business","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Other Europe (14)","Business","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","131"
"Other Europe (14)","Business","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"Other Europe (14)","Business","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"Other Europe (14)","Business","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","120"
"Other Europe (14)","Business","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Business","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Other Europe (14)","Business","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","158"
"Other Europe (14)","Business","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"Other Europe (14)","Business","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Other Europe (14)","Business","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","145"
"Other Europe (14)","Business","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"Other Europe (14)","Business","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Other Europe (14)","Business","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","170"
"Other Europe (14)","Business","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"Other Europe (14)","Business","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.4"
"Other Europe (14)","Business","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","161"
"Other Europe (14)","Business","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"Other Europe (14)","Business","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"Other Europe (14)","Business","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","184"
"Other Europe (14)","Business","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","25"
"Other Europe (14)","Business","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","11"
"Other Europe (14)","Business","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","167"
"Other Europe (14)","Business","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"Other Europe (14)","Business","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"Other Europe (14)","Business","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","182"
"Other Europe (14)","Business","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","26"
"Other Europe (14)","Other reason for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.8"
"Other Europe (14)","Other reason for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","110"
"Other Europe (14)","Other reason for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","36"
"Other Europe (14)","Other reason for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.1"
"Other Europe (14)","Other reason for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","103"
"Other Europe (14)","Other reason for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","41"
"Other Europe (14)","Other reason for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","17"
"Other Europe (14)","Other reason for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","109"
"Other Europe (14)","Other reason for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","36"
"Other Europe (14)","Other reason for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","17"
"Other Europe (14)","Other reason for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","103"
"Other Europe (14)","Other reason for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","31"
"Other Europe (14)","Other reason for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.5"
"Other Europe (14)","Other reason for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","125"
"Other Europe (14)","Other reason for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"Other Europe (14)","Other reason for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.3"
"Other Europe (14)","Other reason for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","126"
"Other Europe (14)","Other reason for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","32"
"Other Europe (14)","Other reason for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.2"
"Other Europe (14)","Other reason for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"Other Europe (14)","Other reason for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","33"
"Other Europe (14)","Other reason for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.8"
"Other Europe (14)","Other reason for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","126"
"Other Europe (14)","Other reason for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","31"
"Other Europe (14)","Other reason for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.1"
"Other Europe (14)","Other reason for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","113"
"Other Europe (14)","Other reason for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"Other countries (24)","All reasons for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.9"
"Other countries (24)","All reasons for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","271"
"Other countries (24)","All reasons for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","All reasons for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.9"
"Other countries (24)","All reasons for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","288"
"Other countries (24)","All reasons for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","All reasons for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.1"
"Other countries (24)","All reasons for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","359"
"Other countries (24)","All reasons for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","All reasons for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.9"
"Other countries (24)","All reasons for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","421"
"Other countries (24)","All reasons for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","All reasons for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","14"
"Other countries (24)","All reasons for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","482"
"Other countries (24)","All reasons for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","All reasons for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.4"
"Other countries (24)","All reasons for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","524"
"Other countries (24)","All reasons for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","All reasons for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.5"
"Other countries (24)","All reasons for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","577"
"Other countries (24)","All reasons for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Other countries (24)","All reasons for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.6"
"Other countries (24)","All reasons for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","587"
"Other countries (24)","All reasons for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Other countries (24)","All reasons for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.9"
"Other countries (24)","All reasons for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","582"
"Other countries (24)","All reasons for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Other countries (24)","Holiday/leisure/recreation","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"Other countries (24)","Holiday/leisure/recreation","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","128"
"Other countries (24)","Holiday/leisure/recreation","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Holiday/leisure/recreation","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"Other countries (24)","Holiday/leisure/recreation","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","142"
"Other countries (24)","Holiday/leisure/recreation","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Holiday/leisure/recreation","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Other countries (24)","Holiday/leisure/recreation","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","159"
"Other countries (24)","Holiday/leisure/recreation","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Other countries (24)","Holiday/leisure/recreation","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"Other countries (24)","Holiday/leisure/recreation","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","161"
"Other countries (24)","Holiday/leisure/recreation","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Holiday/leisure/recreation","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Other countries (24)","Holiday/leisure/recreation","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","185"
"Other countries (24)","Holiday/leisure/recreation","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Holiday/leisure/recreation","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.7"
"Other countries (24)","Holiday/leisure/recreation","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","194"
"Other countries (24)","Holiday/leisure/recreation","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"Other countries (24)","Holiday/leisure/recreation","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"Other countries (24)","Holiday/leisure/recreation","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","218"
"Other countries (24)","Holiday/leisure/recreation","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Holiday/leisure/recreation","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"Other countries (24)","Holiday/leisure/recreation","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","247"
"Other countries (24)","Holiday/leisure/recreation","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Holiday/leisure/recreation","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"Other countries (24)","Holiday/leisure/recreation","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","250"
"Other countries (24)","Holiday/leisure/recreation","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Visit to friends/relatives","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.1"
"Other countries (24)","Visit to friends/relatives","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","78"
"Other countries (24)","Visit to friends/relatives","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Visit to friends/relatives","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.6"
"Other countries (24)","Visit to friends/relatives","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","81"
"Other countries (24)","Visit to friends/relatives","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Visit to friends/relatives","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.6"
"Other countries (24)","Visit to friends/relatives","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","108"
"Other countries (24)","Visit to friends/relatives","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Visit to friends/relatives","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.7"
"Other countries (24)","Visit to friends/relatives","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","145"
"Other countries (24)","Visit to friends/relatives","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Other countries (24)","Visit to friends/relatives","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.5"
"Other countries (24)","Visit to friends/relatives","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","160"
"Other countries (24)","Visit to friends/relatives","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Other countries (24)","Visit to friends/relatives","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.9"
"Other countries (24)","Visit to friends/relatives","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","154"
"Other countries (24)","Visit to friends/relatives","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"Other countries (24)","Visit to friends/relatives","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.6"
"Other countries (24)","Visit to friends/relatives","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","178"
"Other countries (24)","Visit to friends/relatives","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Other countries (24)","Visit to friends/relatives","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.5"
"Other countries (24)","Visit to friends/relatives","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","172"
"Other countries (24)","Visit to friends/relatives","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Other countries (24)","Visit to friends/relatives","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.7"
"Other countries (24)","Visit to friends/relatives","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","181"
"Other countries (24)","Visit to friends/relatives","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Other countries (24)","Business","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.2"
"Other countries (24)","Business","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"Other countries (24)","Business","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"Other countries (24)","Business","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Other countries (24)","Business","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","42"
"Other countries (24)","Business","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"Other countries (24)","Business","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Other countries (24)","Business","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","58"
"Other countries (24)","Business","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"Other countries (24)","Business","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"Other countries (24)","Business","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","61"
"Other countries (24)","Business","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"Other countries (24)","Business","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.5"
