"Area of Residence","Year","Statistic Label","UNIT","VALUE"
"Other Areas","1986","Average Length of Stay in Nights by Visitors to Ireland","Nights","12"
"Other Areas","1987","Expenditure by Visitors to Ireland","Euro Million","32"
"Other Areas","1987","Visitors to Ireland","Thousand","66"
"Other Areas","1987","Average Length of Stay in Nights by Visitors to Ireland","Nights","14.8"
"Other Areas","1988","Expenditure by Visitors to Ireland","Euro Million","44"
"Other Areas","1988","Visitors to Ireland","Thousand","82"
"Other Areas","1988","Average Length of Stay in Nights by Visitors to Ireland","Nights","14.4"
"Other Areas","1989","Expenditure by Visitors to Ireland","Euro Million","56"
"Other Areas","1989","Visitors to Ireland","Thousand","109"
"Other Areas","1989","Average Length of Stay in Nights by Visitors to Ireland","Nights","15.2"
"Other Areas","1990","Expenditure by Visitors to Ireland","Euro Million","58"
"Other Areas","1990","Visitors to Ireland","Thousand","118"
"Other Areas","1990","Average Length of Stay in Nights by Visitors to Ireland","Nights","14.4"
"Other Areas","1991","Expenditure by Visitors to Ireland","Euro Million","61"
"Other Areas","1991","Visitors to Ireland","Thousand","102"
"Other Areas","1991","Average Length of Stay in Nights by Visitors to Ireland","Nights","16.3"
"Other Areas","1992","Expenditure by Visitors to Ireland","Euro Million","57"
"Other Areas","1992","Visitors to Ireland","Thousand","111"
"Other Areas","1992","Average Length of Stay in Nights by Visitors to Ireland","Nights","13.5"
"Other Areas","1993","Expenditure by Visitors to Ireland","Euro Million","67"
"Other Areas","1993","Visitors to Ireland","Thousand","116"
"Other Areas","1993","Average Length of Stay in Nights by Visitors to Ireland","Nights","13"
"Other Areas","1994","Expenditure by Visitors to Ireland","Euro Million","95"
"Other Areas","1994","Visitors to Ireland","Thousand","150"
"Other Areas","1994","Average Length of Stay in Nights by Visitors to Ireland","Nights","13.3"
"Other Areas","1995","Expenditure by Visitors to Ireland","Euro Million","117"
"Other Areas","1995","Visitors to Ireland","Thousand","190"
"Other Areas","1995","Average Length of Stay in Nights by Visitors to Ireland","Nights","12.6"
