"Type of Expenditure","Year","Statistic Label","UNIT","VALUE"
"Sea Cross-Channel","2005","Visitors to Ireland","Euro Million","493"
"Sea Cross-Channel","2005","Visits Abroad by Irish Residents","Euro Million","202"
"Sea Cross-Channel","2006","Visitors to Ireland","Euro Million","453"
"Sea Cross-Channel","2006","Visits Abroad by Irish Residents","Euro Million","192"
"Sea Cross-Channel","2007","Visitors to Ireland","Euro Million","465"
"Sea Cross-Channel","2007","Visits Abroad by Irish Residents","Euro Million","190"
"Sea Cross-Channel","2008","Visitors to Ireland","Euro Million","396"
"Sea Cross-Channel","2008","Visits Abroad by Irish Residents","Euro Million","245"
"Continental European","1976","Visitors to Ireland","Euro Million","17"
"Continental European","1976","Visits Abroad by Irish Residents","Euro Million","56"
"Continental European","1977","Visitors to Ireland","Euro Million","25"
"Continental European","1977","Visits Abroad by Irish Residents","Euro Million","66"
"Continental European","1978","Visitors to Ireland","Euro Million","32"
"Continental European","1978","Visits Abroad by Irish Residents","Euro Million","88"
"Continental European","1979","Visitors to Ireland","Euro Million","41"
"Continental European","1979","Visits Abroad by Irish Residents","Euro Million","135"
"Continental European","1980","Visitors to Ireland","Euro Million","47"
"Continental European","1980","Visits Abroad by Irish Residents","Euro Million","151"
"Continental European","1981","Visitors to Ireland","Euro Million","56"
"Continental European","1981","Visits Abroad by Irish Residents","Euro Million","207"
"Continental European","1982","Visitors to Ireland","Euro Million","66"
"Continental European","1982","Visits Abroad by Irish Residents","Euro Million","222"
"Continental European","1983","Visitors to Ireland","Euro Million","70"
"Continental European","1983","Visits Abroad by Irish Residents","Euro Million","244"
"Continental European","1984","Visitors to Ireland","Euro Million","76"
"Continental European","1984","Visits Abroad by Irish Residents","Euro Million","250"
"Continental European","1985","Visitors to Ireland","Euro Million","93"
"Continental European","1985","Visits Abroad by Irish Residents","Euro Million","227"
"Continental European","1986","Visitors to Ireland","Euro Million","81"
"Continental European","1986","Visits Abroad by Irish Residents","Euro Million","264"
"Continental European","1987","Visitors to Ireland","Euro Million","95"
"Continental European","1987","Visits Abroad by Irish Residents","Euro Million","301"
"Continental European","1988","Visitors to Ireland","Euro Million","118"
"Continental European","1988","Visits Abroad by Irish Residents","Euro Million","335"
"Continental European","1989","Visitors to Ireland","Euro Million","138"
"Continental European","1989","Visits Abroad by Irish Residents","Euro Million","366"
"Continental European","1990","Visitors to Ireland","Euro Million","227"
"Continental European","1990","Visits Abroad by Irish Residents","Euro Million","315"
"Continental European","1991","Visitors to Ireland","Euro Million","283"
"Continental European","1991","Visits Abroad by Irish Residents","Euro Million","312"
"Continental European","1992","Visitors to Ireland","Euro Million","293"
