"Statistic Label","Quarter","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2021Q1","EU27 excluding Ireland","Thousand","54"
"Number of Trips by Irish Residents","2021Q1","Other Europe (20)","Thousand","54"
"Number of Trips by Irish Residents","2021Q1","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Other countries (24)","Thousand",""
"Number of Trips by Irish Residents","2021Q2","All Countries","Thousand","168"
"Number of Trips by Irish Residents","2021Q2","United States and Canada","Thousand","9"
"Number of Trips by Irish Residents","2021Q2","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2021Q2","EU27 excluding Ireland","Thousand","48"
"Number of Trips by Irish Residents","2021Q2","Other Europe (20)","Thousand","111"
"Number of Trips by Irish Residents","2021Q2","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Other countries (24)","Thousand",""
"Number of Trips by Irish Residents","2021Q3","All Countries","Thousand","907"
"Number of Trips by Irish Residents","2021Q3","United States and Canada","Thousand","1"
"Number of Trips by Irish Residents","2021Q3","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2021Q3","EU27 excluding Ireland","Thousand","359"
"Number of Trips by Irish Residents","2021Q3","Other Europe (20)","Thousand","498"
"Number of Trips by Irish Residents","2021Q3","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Other countries (24)","Thousand","49"
"Number of Trips by Irish Residents","2021Q4","All Countries","Thousand","1094"
"Number of Trips by Irish Residents","2021Q4","United States and Canada","Thousand","38"
"Number of Trips by Irish Residents","2021Q4","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2021Q4","EU27 excluding Ireland","Thousand","534"
"Number of Trips by Irish Residents","2021Q4","Other Europe (20)","Thousand","475"
"Number of Trips by Irish Residents","2021Q4","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Other countries (24)","Thousand","47"
"Number of Trips by Irish Residents","2022Q1","All Countries","Thousand","1063"
"Number of Trips by Irish Residents","2022Q1","United States and Canada","Thousand","46"
"Number of Trips by Irish Residents","2022Q1","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2022Q1","EU27 excluding Ireland","Thousand","491"
"Number of Trips by Irish Residents","2022Q1","Other Europe (20)","Thousand","486"
"Number of Trips by Irish Residents","2022Q1","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Other countries (24)","Thousand","40"
"Number of Trips by Irish Residents","2022Q2","All Countries","Thousand","2175"
"Number of Trips by Irish Residents","2022Q2","United States and Canada","Thousand","95"
"Number of Trips by Irish Residents","2022Q2","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2022Q2","EU27 excluding Ireland","Thousand","1257"
"Number of Trips by Irish Residents","2022Q2","Other Europe (20)","Thousand","725"
"Number of Trips by Irish Residents","2022Q2","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Other countries (24)","Thousand","98"
"Number of Trips by Irish Residents","2022Q3","All Countries","Thousand","3020"
"Number of Trips by Irish Residents","2022Q3","United States and Canada","Thousand","128"
"Number of Trips by Irish Residents","2022Q3","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2022Q3","EU27 excluding Ireland","Thousand","2023"
"Number of Trips by Irish Residents","2022Q3","Other Europe (20)","Thousand","746"
"Number of Trips by Irish Residents","2022Q3","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Other countries (24)","Thousand","124"
"Number of Trips by Irish Residents","2022Q4","All Countries","Thousand","2287"
"Number of Trips by Irish Residents","2022Q4","United States and Canada","Thousand","157"
"Number of Trips by Irish Residents","2022Q4","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2022Q4","EU27 excluding Ireland","Thousand","1224"
"Number of Trips by Irish Residents","2022Q4","Other Europe (20)","Thousand","802"
"Number of Trips by Irish Residents","2022Q4","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Other countries (24)","Thousand","104"
"Number of Trips by Irish Residents","2023Q1","All Countries","Thousand","2082"
"Number of Trips by Irish Residents","2023Q1","United States and Canada","Thousand","40"
"Number of Trips by Irish Residents","2023Q1","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2023Q1","EU27 excluding Ireland","Thousand","1050"
"Number of Trips by Irish Residents","2023Q1","Other Europe (20)","Thousand","787"
