"Domestic or Outbound","Mode of Transport","Quarter","Statistic Label","UNIT","VALUE"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.2"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q2","Number of Trips by Irish Residents","Thousand","26"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q2","Number of Nights by Irish Residents","Thousand","177"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","6.8"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q3","Number of Trips by Irish Residents","Thousand","45"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q3","Number of Nights by Irish Residents","Thousand","482"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.7"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q4","Number of Trips by Irish Residents","Thousand","8"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q4","Number of Nights by Irish Residents","Thousand","81"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","10.1"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q1","Number of Trips by Irish Residents","Thousand","13"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q1","Number of Nights by Irish Residents","Thousand","108"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","8.3"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q2","Number of Trips by Irish Residents","Thousand","31"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q2","Number of Nights by Irish Residents","Thousand","310"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","10"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q3","Number of Trips by Irish Residents","Thousand","23"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q3","Number of Nights by Irish Residents","Thousand","311"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","13.5"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q4","Number of Trips by Irish Residents","Thousand","12"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q4","Number of Nights by Irish Residents","Thousand","89"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.4"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q1","Number of Trips by Irish Residents","Thousand","6"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q1","Number of Nights by Irish Residents","Thousand","65"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","10.8"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q2","Number of Trips by Irish Residents","Thousand","17"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q2","Number of Nights by Irish Residents","Thousand","104"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q3","Number of Trips by Irish Residents","Thousand","31"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q3","Number of Nights by Irish Residents","Thousand","413"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","13.3"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q4","Number of Trips by Irish Residents","Thousand","6"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q4","Number of Nights by Irish Residents","Thousand","49"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","8.2"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q1","Number of Trips by Irish Residents","Thousand","15"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q1","Number of Nights by Irish Residents","Thousand","116"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.7"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q2","Number of Trips by Irish Residents","Thousand","18"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q2","Number of Nights by Irish Residents","Thousand","220"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","12.2"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q3","Number of Trips by Irish Residents","Thousand","25"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q3","Number of Nights by Irish Residents","Thousand","283"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.3"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q4","Number of Trips by Irish Residents","Thousand","11"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q4","Number of Nights by Irish Residents","Thousand","69"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
