"Statistic Label","Quarter","Length of Stay","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2001Q4","1 + Nights","Midland","Thousand","63"
"Number of Trips by Irish Residents","2001Q4","1 + Nights","West","Thousand","265"
"Number of Trips by Irish Residents","2001Q4","1 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q4","1 + Nights","Dublin","Thousand","305"
"Number of Trips by Irish Residents","2001Q4","1 + Nights","Mid-East","Thousand","101"
"Number of Trips by Irish Residents","2001Q4","1 + Nights","Mid-West","Thousand","151"
"Number of Trips by Irish Residents","2001Q4","1 + Nights","South-East","Thousand","225"
"Number of Trips by Irish Residents","2001Q4","1 + Nights","South-West","Thousand","299"
"Number of Trips by Irish Residents","2001Q4","1 - 3 Nights","State","Thousand","1285"
"Number of Trips by Irish Residents","2001Q4","1 - 3 Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q4","1 - 3 Nights","Border","Thousand","127"
"Number of Trips by Irish Residents","2001Q4","1 - 3 Nights","Midland","Thousand","57"
"Number of Trips by Irish Residents","2001Q4","1 - 3 Nights","West","Thousand","216"
"Number of Trips by Irish Residents","2001Q4","1 - 3 Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q4","1 - 3 Nights","Dublin","Thousand","255"
"Number of Trips by Irish Residents","2001Q4","1 - 3 Nights","Mid-East","Thousand","81"
"Number of Trips by Irish Residents","2001Q4","1 - 3 Nights","Mid-West","Thousand","122"
"Number of Trips by Irish Residents","2001Q4","1 - 3 Nights","South-East","Thousand","190"
"Number of Trips by Irish Residents","2001Q4","1 - 3 Nights","South-West","Thousand","235"
"Number of Trips by Irish Residents","2001Q4","4 + Nights","State","Thousand","285"
"Number of Trips by Irish Residents","2001Q4","4 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q4","4 + Nights","Border","Thousand","35"
"Number of Trips by Irish Residents","2001Q4","4 + Nights","Midland","Thousand","7"
"Number of Trips by Irish Residents","2001Q4","4 + Nights","West","Thousand","49"
"Number of Trips by Irish Residents","2001Q4","4 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q4","4 + Nights","Dublin","Thousand","49"
"Number of Trips by Irish Residents","2001Q4","4 + Nights","Mid-East","Thousand","20"
"Number of Trips by Irish Residents","2001Q4","4 + Nights","Mid-West","Thousand","29"
"Number of Trips by Irish Residents","2001Q4","4 + Nights","South-East","Thousand","34"
"Number of Trips by Irish Residents","2001Q4","4 + Nights","South-West","Thousand","63"
"Number of Trips by Irish Residents","2002Q1","1 + Nights","State","Thousand","1360"
"Number of Trips by Irish Residents","2002Q1","1 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q1","1 + Nights","Border","Thousand","148"
"Number of Trips by Irish Residents","2002Q1","1 + Nights","Midland","Thousand","72"
"Number of Trips by Irish Residents","2002Q1","1 + Nights","West","Thousand","265"
"Number of Trips by Irish Residents","2002Q1","1 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q1","1 + Nights","Dublin","Thousand","207"
"Number of Trips by Irish Residents","2002Q1","1 + Nights","Mid-East","Thousand","74"
"Number of Trips by Irish Residents","2002Q1","1 + Nights","Mid-West","Thousand","137"
"Number of Trips by Irish Residents","2002Q1","1 + Nights","South-East","Thousand","193"
"Number of Trips by Irish Residents","2002Q1","1 + Nights","South-West","Thousand","265"
"Number of Trips by Irish Residents","2002Q1","1 - 3 Nights","State","Thousand","1137"
"Number of Trips by Irish Residents","2002Q1","1 - 3 Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q1","1 - 3 Nights","Border","Thousand","117"
"Number of Trips by Irish Residents","2002Q1","1 - 3 Nights","Midland","Thousand","64"
"Number of Trips by Irish Residents","2002Q1","1 - 3 Nights","West","Thousand","219"
"Number of Trips by Irish Residents","2002Q1","1 - 3 Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q1","1 - 3 Nights","Dublin","Thousand","176"
"Number of Trips by Irish Residents","2002Q1","1 - 3 Nights","Mid-East","Thousand","69"
"Number of Trips by Irish Residents","2002Q1","1 - 3 Nights","Mid-West","Thousand","121"
"Number of Trips by Irish Residents","2002Q1","1 - 3 Nights","South-East","Thousand","165"
"Number of Trips by Irish Residents","2002Q1","1 - 3 Nights","South-West","Thousand","205"
"Number of Trips by Irish Residents","2002Q1","4 + Nights","State","Thousand","224"
"Number of Trips by Irish Residents","2002Q1","4 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q1","4 + Nights","Border","Thousand","31"
"Number of Trips by Irish Residents","2002Q1","4 + Nights","Midland","Thousand","8"
"Number of Trips by Irish Residents","2002Q1","4 + Nights","West","Thousand","46"
"Number of Trips by Irish Residents","2002Q1","4 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q1","4 + Nights","Dublin","Thousand","31"
"Number of Trips by Irish Residents","2002Q1","4 + Nights","Mid-East","Thousand","5"
"Number of Trips by Irish Residents","2002Q1","4 + Nights","Mid-West","Thousand","15"
"Number of Trips by Irish Residents","2002Q1","4 + Nights","South-East","Thousand","28"
"Number of Trips by Irish Residents","2002Q1","4 + Nights","South-West","Thousand","60"
"Number of Trips by Irish Residents","2002Q2","1 + Nights","State","Thousand","1446"
"Number of Trips by Irish Residents","2002Q2","1 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q2","1 + Nights","Border","Thousand","151"
"Number of Trips by Irish Residents","2002Q2","1 + Nights","Midland","Thousand","59"
"Number of Trips by Irish Residents","2002Q2","1 + Nights","West","Thousand","247"
"Number of Trips by Irish Residents","2002Q2","1 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q2","1 + Nights","Dublin","Thousand","164"
"Number of Trips by Irish Residents","2002Q2","1 + Nights","Mid-East","Thousand","87"
"Number of Trips by Irish Residents","2002Q2","1 + Nights","Mid-West","Thousand","169"
"Number of Trips by Irish Residents","2002Q2","1 + Nights","South-East","Thousand","247"
"Number of Trips by Irish Residents","2002Q2","1 + Nights","South-West","Thousand","323"
"Number of Trips by Irish Residents","2002Q2","1 - 3 Nights","State","Thousand","1126"
"Number of Trips by Irish Residents","2002Q2","1 - 3 Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q2","1 - 3 Nights","Border","Thousand","119"
"Number of Trips by Irish Residents","2002Q2","1 - 3 Nights","Midland","Thousand","55"
"Number of Trips by Irish Residents","2002Q2","1 - 3 Nights","West","Thousand","180"
"Number of Trips by Irish Residents","2002Q2","1 - 3 Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q2","1 - 3 Nights","Dublin","Thousand","131"
"Number of Trips by Irish Residents","2002Q2","1 - 3 Nights","Mid-East","Thousand","77"
"Number of Trips by Irish Residents","2002Q2","1 - 3 Nights","Mid-West","Thousand","132"
"Number of Trips by Irish Residents","2002Q2","1 - 3 Nights","South-East","Thousand","209"
"Number of Trips by Irish Residents","2002Q2","1 - 3 Nights","South-West","Thousand","225"
"Number of Trips by Irish Residents","2002Q2","4 + Nights","State","Thousand","320"
"Number of Trips by Irish Residents","2002Q2","4 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q2","4 + Nights","Border","Thousand","32"
"Number of Trips by Irish Residents","2002Q2","4 + Nights","Midland","Thousand","4"
"Number of Trips by Irish Residents","2002Q2","4 + Nights","West","Thousand","67"
"Number of Trips by Irish Residents","2002Q2","4 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q2","4 + Nights","Dublin","Thousand","33"
"Number of Trips by Irish Residents","2002Q2","4 + Nights","Mid-East","Thousand","10"
"Number of Trips by Irish Residents","2002Q2","4 + Nights","Mid-West","Thousand","37"
"Number of Trips by Irish Residents","2002Q2","4 + Nights","South-East","Thousand","38"
"Number of Trips by Irish Residents","2002Q2","4 + Nights","South-West","Thousand","98"
