"Statistic Label","Quarter","Domestic","Region of Residence","UNIT","VALUE"
"Number of Trips by Irish Residents","2014Q2","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Domestic","Southern and Eastern","Thousand","1720"
"Number of Trips by Irish Residents","2014Q2","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Outbound","State","Thousand","1839"
"Number of Trips by Irish Residents","2014Q2","Outbound","Border, Midland and Western","Thousand","427"
"Number of Trips by Irish Residents","2014Q2","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Outbound","Southern and Eastern","Thousand","1412"
"Number of Trips by Irish Residents","2014Q2","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2014Q2","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Domestic","State","Thousand","3093"
"Number of Trips by Irish Residents","2014Q3","Domestic","Border, Midland and Western","Thousand","761"
"Number of Trips by Irish Residents","2014Q3","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Domestic","Southern and Eastern","Thousand","2332"
"Number of Trips by Irish Residents","2014Q3","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Outbound","State","Thousand","2153"
"Number of Trips by Irish Residents","2014Q3","Outbound","Border, Midland and Western","Thousand","467"
"Number of Trips by Irish Residents","2014Q3","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Outbound","Southern and Eastern","Thousand","1687"
"Number of Trips by Irish Residents","2014Q3","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Domestic","State","Thousand","2013"
"Number of Trips by Irish Residents","2014Q4","Domestic","Border, Midland and Western","Thousand","469"
"Number of Trips by Irish Residents","2014Q4","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Domestic","Southern and Eastern","Thousand","1544"
"Number of Trips by Irish Residents","2014Q4","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Outbound","State","Thousand","1522"
"Number of Trips by Irish Residents","2014Q4","Outbound","Border, Midland and Western","Thousand","321"
"Number of Trips by Irish Residents","2014Q4","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Outbound","Southern and Eastern","Thousand","1201"
"Number of Trips by Irish Residents","2014Q4","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Domestic","State","Thousand","1731"
"Number of Trips by Irish Residents","2015Q1","Domestic","Border, Midland and Western","Thousand","442"
"Number of Trips by Irish Residents","2015Q1","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Domestic","Southern and Eastern","Thousand","1289"
"Number of Trips by Irish Residents","2015Q1","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Outbound","State","Thousand","1350"
"Number of Trips by Irish Residents","2015Q1","Outbound","Border, Midland and Western","Thousand","298"
"Number of Trips by Irish Residents","2015Q1","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Outbound","Southern and Eastern","Thousand","1052"
"Number of Trips by Irish Residents","2015Q1","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Domestic","State","Thousand","2181"
"Number of Trips by Irish Residents","2015Q2","Domestic","Border, Midland and Western","Thousand","551"
"Number of Trips by Irish Residents","2015Q2","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Domestic","Southern and Eastern","Thousand","1630"
"Number of Trips by Irish Residents","2015Q2","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Outbound","State","Thousand","1926"
"Number of Trips by Irish Residents","2015Q2","Outbound","Border, Midland and Western","Thousand","336"
"Number of Trips by Irish Residents","2015Q2","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Outbound","Southern and Eastern","Thousand","1590"
"Number of Trips by Irish Residents","2015Q2","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Domestic","State","Thousand","3187"
"Number of Trips by Irish Residents","2015Q3","Domestic","Border, Midland and Western","Thousand","697"
"Number of Trips by Irish Residents","2015Q3","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Domestic","Southern and Eastern","Thousand","2489"
"Number of Trips by Irish Residents","2015Q3","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Outbound","State","Thousand","2218"
"Number of Trips by Irish Residents","2015Q3","Outbound","Border, Midland and Western","Thousand","516"
"Number of Trips by Irish Residents","2015Q3","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Outbound","Southern and Eastern","Thousand","1701"
"Number of Trips by Irish Residents","2015Q3","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Domestic","State","Thousand","2026"
"Number of Trips by Irish Residents","2015Q4","Domestic","Border, Midland and Western","Thousand","464"
"Number of Trips by Irish Residents","2015Q4","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Domestic","Southern and Eastern","Thousand","1562"
"Number of Trips by Irish Residents","2015Q4","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Outbound","State","Thousand","1600"
"Number of Trips by Irish Residents","2015Q4","Outbound","Border, Midland and Western","Thousand","392"
"Number of Trips by Irish Residents","2015Q4","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Outbound","Southern and Eastern","Thousand","1208"
"Number of Trips by Irish Residents","2015Q4","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Domestic","State","Thousand","2088"
"Number of Trips by Irish Residents","2016Q1","Domestic","Border, Midland and Western","Thousand","500"
"Number of Trips by Irish Residents","2016Q1","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Domestic","Southern and Eastern","Thousand","1588"
"Number of Trips by Irish Residents","2016Q1","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Outbound","State","Thousand","1522"
"Number of Trips by Irish Residents","2016Q1","Outbound","Border, Midland and Western","Thousand","317"
"Number of Trips by Irish Residents","2016Q1","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Outbound","Southern and Eastern","Thousand","1204"
"Number of Trips by Irish Residents","2016Q1","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Domestic","State","Thousand","2055"
"Number of Trips by Irish Residents","2016Q2","Domestic","Border, Midland and Western","Thousand","440"
"Number of Trips by Irish Residents","2016Q2","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Domestic","Southern and Eastern","Thousand","1615"
"Number of Trips by Irish Residents","2016Q2","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Outbound","State","Thousand","2002"
"Number of Trips by Irish Residents","2016Q2","Outbound","Border, Midland and Western","Thousand","395"
"Number of Trips by Irish Residents","2016Q2","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Outbound","Southern and Eastern","Thousand","1607"
"Number of Trips by Irish Residents","2016Q2","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Domestic","State","Thousand","3175"
"Number of Trips by Irish Residents","2016Q3","Domestic","Border, Midland and Western","Thousand","694"
"Number of Trips by Irish Residents","2016Q3","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Domestic","Southern and Eastern","Thousand","2481"
"Number of Trips by Irish Residents","2016Q3","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Outbound","State","Thousand","2321"
"Number of Trips by Irish Residents","2016Q3","Outbound","Border, Midland and Western","Thousand","505"
"Number of Trips by Irish Residents","2016Q3","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Outbound","Southern and Eastern","Thousand","1816"
"Number of Trips by Irish Residents","2016Q3","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Domestic","State","Thousand","2041"
"Number of Trips by Irish Residents","2016Q4","Domestic","Border, Midland and Western","Thousand","498"
"Number of Trips by Irish Residents","2016Q4","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Domestic","Southern and Eastern","Thousand","1543"
"Number of Trips by Irish Residents","2016Q4","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Outbound","State","Thousand","1799"
"Number of Trips by Irish Residents","2016Q4","Outbound","Border, Midland and Western","Thousand","358"
"Number of Trips by Irish Residents","2016Q4","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Outbound","Southern and Eastern","Thousand","1441"
"Number of Trips by Irish Residents","2016Q4","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Domestic","State","Thousand","1908"
"Number of Trips by Irish Residents","2017Q1","Domestic","Border, Midland and Western","Thousand","476"
"Number of Trips by Irish Residents","2017Q1","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Domestic","Southern and Eastern","Thousand","1432"
"Number of Trips by Irish Residents","2017Q1","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Outbound","State","Thousand","1607"
"Number of Trips by Irish Residents","2017Q1","Outbound","Border, Midland and Western","Thousand","295"
"Number of Trips by Irish Residents","2017Q1","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Outbound","Southern and Eastern","Thousand","1312"
"Number of Trips by Irish Residents","2017Q1","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Domestic","State","Thousand","2363"
"Number of Trips by Irish Residents","2017Q2","Domestic","Border, Midland and Western","Thousand","569"
"Number of Trips by Irish Residents","2017Q2","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Domestic","Southern and Eastern","Thousand","1794"
"Number of Trips by Irish Residents","2017Q2","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Outbound","State","Thousand","2162"
"Number of Trips by Irish Residents","2017Q2","Outbound","Border, Midland and Western","Thousand","456"
"Number of Trips by Irish Residents","2017Q2","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Outbound","Southern and Eastern","Thousand","1706"
"Number of Trips by Irish Residents","2017Q2","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Domestic","State","Thousand","3033"
"Number of Trips by Irish Residents","2017Q3","Domestic","Border, Midland and Western","Thousand","701"
"Number of Trips by Irish Residents","2017Q3","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Domestic","Southern and Eastern","Thousand","2332"
"Number of Trips by Irish Residents","2017Q3","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Outbound","State","Thousand","2572"
"Number of Trips by Irish Residents","2017Q3","Outbound","Border, Midland and Western","Thousand","581"
"Number of Trips by Irish Residents","2017Q3","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Outbound","Southern and Eastern","Thousand","1991"
"Number of Trips by Irish Residents","2017Q3","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Domestic","State","Thousand","2322"
"Number of Trips by Irish Residents","2017Q4","Domestic","Border, Midland and Western","Thousand","535"
"Number of Trips by Irish Residents","2017Q4","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Domestic","Southern and Eastern","Thousand","1787"
"Number of Trips by Irish Residents","2017Q4","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Outbound","State","Thousand","1830"
"Number of Trips by Irish Residents","2017Q4","Outbound","Border, Midland and Western","Thousand","392"
"Number of Trips by Irish Residents","2017Q4","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Outbound","Southern and Eastern","Thousand","1438"
"Number of Trips by Irish Residents","2017Q4","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2000Q1","Domestic","State","Thousand","3578"
"Number of Nights by Irish Residents","2000Q1","Domestic","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2000Q1","Domestic","Border","Thousand","240"
"Number of Nights by Irish Residents","2000Q1","Domestic","Midland","Thousand","141"
"Number of Nights by Irish Residents","2000Q1","Domestic","West","Thousand","354"
"Number of Nights by Irish Residents","2000Q1","Domestic","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2000Q1","Domestic","Dublin","Thousand","1241"
"Number of Nights by Irish Residents","2000Q1","Domestic","Mid-East","Thousand","451"
"Number of Nights by Irish Residents","2000Q1","Domestic","Mid-West","Thousand","304"
"Number of Nights by Irish Residents","2000Q1","Domestic","South-East","Thousand","307"
"Number of Nights by Irish Residents","2000Q1","Domestic","South-West","Thousand","542"
"Number of Nights by Irish Residents","2000Q1","Outbound","State","Thousand","5518"
"Number of Nights by Irish Residents","2000Q1","Outbound","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2000Q1","Outbound","Border","Thousand","483"
"Number of Nights by Irish Residents","2000Q1","Outbound","Midland","Thousand","229"
"Number of Nights by Irish Residents","2000Q1","Outbound","West","Thousand","579"
"Number of Nights by Irish Residents","2000Q1","Outbound","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2000Q1","Outbound","Dublin","Thousand","1974"
"Number of Nights by Irish Residents","2000Q1","Outbound","Mid-East","Thousand","609"
"Number of Nights by Irish Residents","2000Q1","Outbound","Mid-West","Thousand","437"
"Number of Nights by Irish Residents","2000Q1","Outbound","South-East","Thousand","373"
"Number of Nights by Irish Residents","2000Q1","Outbound","South-West","Thousand","835"
"Number of Nights by Irish Residents","2000Q2","Domestic","State","Thousand","4340"
"Number of Nights by Irish Residents","2000Q2","Domestic","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2000Q2","Domestic","Border","Thousand","378"
"Number of Nights by Irish Residents","2000Q2","Domestic","Midland","Thousand","173"
"Number of Nights by Irish Residents","2000Q2","Domestic","West","Thousand","360"
"Number of Nights by Irish Residents","2000Q2","Domestic","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2000Q2","Domestic","Dublin","Thousand","1497"
"Number of Nights by Irish Residents","2000Q2","Domestic","Mid-East","Thousand","473"
"Number of Nights by Irish Residents","2000Q2","Domestic","Mid-West","Thousand","333"
"Number of Nights by Irish Residents","2000Q2","Domestic","South-East","Thousand","382"
"Number of Nights by Irish Residents","2000Q2","Domestic","South-West","Thousand","745"
"Number of Nights by Irish Residents","2000Q2","Outbound","State","Thousand","10537"
"Number of Nights by Irish Residents","2000Q2","Outbound","Border, Midland and Western","Thousand",""
