"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q3","United States and Canada","Euro Million","292.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q3","Great Britain","Euro Million","240.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q3","Northern Ireland","Euro Million","25.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q3","Asia (7)","Euro Million","61.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q3","Other Europe (22)","Euro Million","260.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q3","Other countries (26)","Euro Million","100.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","All Countries","Euro Million","1324.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","Germany","Euro Million","43.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","Spain","Euro Million","227.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","France","Euro Million","47"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","293.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","Italy","Euro Million","72.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","Portugal","Euro Million","31.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","United States and Canada","Euro Million","222.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","Great Britain","Euro Million","271.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","Northern Ireland","Euro Million","22.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","Asia (7)","Euro Million","129.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","Other Europe (22)","Euro Million","148.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2015Q4","Other countries (26)","Euro Million","108.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","All Countries","Euro Million","1224.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","Germany","Euro Million","36.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","Spain","Euro Million","200.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","France","Euro Million","88.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","240.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","Italy","Euro Million","63.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","Portugal","Euro Million","22.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","United States and Canada","Euro Million","185.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","Great Britain","Euro Million","226.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","Northern Ireland","Euro Million","14"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","Asia (7)","Euro Million","97.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","Other Europe (22)","Euro Million","180.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q1","Other countries (26)","Euro Million","108.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","All Countries","Euro Million","1582.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","Germany","Euro Million","38.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","Spain","Euro Million","397.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","France","Euro Million","114.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","185.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","Italy","Euro Million","80.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","Portugal","Euro Million","128.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","United States and Canada","Euro Million","254.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","Great Britain","Euro Million","170.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","Northern Ireland","Euro Million","15.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","Asia (7)","Euro Million","84.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","Other Europe (22)","Euro Million","194.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q2","Other countries (26)","Euro Million","104.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","All Countries","Euro Million","2273.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","Germany","Euro Million","41.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","Spain","Euro Million","622"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","France","Euro Million","197.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","291.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","Italy","Euro Million","184.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","Portugal","Euro Million","174.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","United States and Canada","Euro Million","323.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","Great Britain","Euro Million","268.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","Northern Ireland","Euro Million","22.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","Asia (7)","Euro Million","95.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","Other Europe (22)","Euro Million","259.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q3","Other countries (26)","Euro Million","82.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","All Countries","Euro Million","1459.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","Germany","Euro Million","43.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","Spain","Euro Million","208.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","France","Euro Million","48.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","281.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","Italy","Euro Million","28.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","Portugal","Euro Million","57.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","United States and Canada","Euro Million","288"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","Great Britain","Euro Million","248"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","Northern Ireland","Euro Million","33.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","Asia (7)","Euro Million","195.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","Other Europe (22)","Euro Million","149"
"Estimated Expenditure by Irish Residents on Outbound Travel","2016Q4","Other countries (26)","Euro Million","159.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","All Countries","Euro Million","1240.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","Germany","Euro Million","30.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","Spain","Euro Million","184.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","France","Euro Million","73"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","252.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","Italy","Euro Million","44.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","Portugal","Euro Million","26.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","United States and Canada","Euro Million","180"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","Great Britain","Euro Million","229.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","Northern Ireland","Euro Million","22.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","Asia (7)","Euro Million","162.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","Other Europe (22)","Euro Million","196.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q1","Other countries (26)","Euro Million","89"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","All Countries","Euro Million","1730.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","Germany","Euro Million","42.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","Spain","Euro Million","465.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","France","Euro Million","141.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","239.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","Italy","Euro Million","105.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","Portugal","Euro Million","109.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","United States and Canada","Euro Million","277.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","Great Britain","Euro Million","215.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","Northern Ireland","Euro Million","23.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","Asia (7)","Euro Million","88.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","Other Europe (22)","Euro Million","195.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q2","Other countries (26)","Euro Million","65.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","All Countries","Euro Million","2438.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","Germany","Euro Million","42.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","Spain","Euro Million","606.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","France","Euro Million","219"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","267.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","Italy","Euro Million","154.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","Portugal","Euro Million","260.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","United States and Canada","Euro Million","375.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","Great Britain","Euro Million","245.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","Northern Ireland","Euro Million","21.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","Asia (7)","Euro Million","125.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","Other Europe (22)","Euro Million","316.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q3","Other countries (26)","Euro Million","70.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","All Countries","Euro Million","1481.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","Germany","Euro Million","55.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","Spain","Euro Million","270.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","France","Euro Million","43.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","273.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","Italy","Euro Million","88.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","Portugal","Euro Million","52.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","United States and Canada","Euro Million","304.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","Great Britain","Euro Million","238.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","Northern Ireland","Euro Million","34.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","Asia (7)","Euro Million","100.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","Other Europe (22)","Euro Million","222"
"Estimated Expenditure by Irish Residents on Outbound Travel","2017Q4","Other countries (26)","Euro Million","70.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","All Countries","Euro Million","1395.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","Germany","Euro Million","39.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","Spain","Euro Million","219.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","France","Euro Million","87"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","283.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","Italy","Euro Million","51"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","Portugal","Euro Million","23.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","United States and Canada","Euro Million","213.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","Great Britain","Euro Million","258.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","Northern Ireland","Euro Million","25.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","Asia (7)","Euro Million","141.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","Other Europe (22)","Euro Million","199.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q1","Other countries (26)","Euro Million","135.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","All Countries","Euro Million","1908.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","Germany","Euro Million","56.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","Spain","Euro Million","563.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","France","Euro Million","106.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","214.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","Italy","Euro Million","125"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","Portugal","Euro Million","107.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","United States and Canada","Euro Million","225.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","Great Britain","Euro Million","198.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","Northern Ireland","Euro Million","16.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","Asia (7)","Euro Million","166"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","Other Europe (22)","Euro Million","252.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q2","Other countries (26)","Euro Million","91.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","All Countries","Euro Million","2517.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","Germany","Euro Million","55.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","Spain","Euro Million","508.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","France","Euro Million","221.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","281.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","Italy","Euro Million","186.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","Portugal","Euro Million","180.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","United States and Canada","Euro Million","414.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","Great Britain","Euro Million","240.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","Northern Ireland","Euro Million","40.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","Asia (7)","Euro Million","178.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","Other Europe (22)","Euro Million","339"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q3","Other countries (26)","Euro Million","152.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","All Countries","Euro Million","1613"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","Germany","Euro Million","91.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","Spain","Euro Million","254.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","France","Euro Million","71.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","331.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","Italy","Euro Million","56.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","Portugal","Euro Million","43.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","United States and Canada","Euro Million","349.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","Great Britain","Euro Million","291.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","Northern Ireland","Euro Million","40"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","Asia (7)","Euro Million","102.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","Other Europe (22)","Euro Million","200.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2018Q4","Other countries (26)","Euro Million","111"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","All Countries","Euro Million","1579.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","Germany","Euro Million","38.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","Spain","Euro Million","250.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","France","Euro Million","67.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","255.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","Italy","Euro Million","56.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","Portugal","Euro Million","24.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","United States and Canada","Euro Million","297.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","Great Britain","Euro Million","232.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","Northern Ireland","Euro Million","23"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","Asia (7)","Euro Million","182.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","Other Europe (22)","Euro Million","267.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q1","Other countries (26)","Euro Million","138.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","All Countries","Euro Million","2194.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","Germany","Euro Million","45.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","Spain","Euro Million","463"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","France","Euro Million","146.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","324.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","Italy","Euro Million","211"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","Portugal","Euro Million","148.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","United States and Canada","Euro Million","244.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","Great Britain","Euro Million","275.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","Northern Ireland","Euro Million","48.8"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","Asia (7)","Euro Million","258.2"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","Other Europe (22)","Euro Million","256.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q2","Other countries (26)","Euro Million","97.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","All Countries","Euro Million","2833.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","Germany","Euro Million","47.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","Spain","Euro Million","725.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","France","Euro Million","244.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","314"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","Italy","Euro Million","229.1"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","Portugal","Euro Million","224.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","United States and Canada","Euro Million","399.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","Great Britain","Euro Million","275"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","Northern Ireland","Euro Million","39"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","Asia (7)","Euro Million","165.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","Other Europe (22)","Euro Million","420.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q3","Other countries (26)","Euro Million","61.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","All Countries","Euro Million","1645.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","Germany","Euro Million","41.3"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","Spain","Euro Million","260.6"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","France","Euro Million","65.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","308.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","Italy","Euro Million","55.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","Portugal","Euro Million","45.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","United States and Canada","Euro Million","389.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","Great Britain","Euro Million","257.5"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","Northern Ireland","Euro Million","50.9"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","Asia (7)","Euro Million","192.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","Other Europe (22)","Euro Million","188.4"
"Estimated Expenditure by Irish Residents on Outbound Travel","2019Q4","Other countries (26)","Euro Million","97.7"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","All Countries","Euro Million","1517"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","Germany","Euro Million","27"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","Spain","Euro Million","239"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","France","Euro Million","71"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million","201"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","Italy","Euro Million","46"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","Portugal","Euro Million","21"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","United States and Canada","Euro Million","335"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","Great Britain","Euro Million","186"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","Northern Ireland","Euro Million","16"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","Asia (7)","Euro Million","147"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","Other Europe (22)","Euro Million","256"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q1","Other countries (26)","Euro Million","173"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","All Countries","Euro Million","38"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","Germany","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","Spain","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","France","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","Italy","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","Portugal","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","United States and Canada","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","Great Britain","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","Northern Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","Asia (7)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","Other Europe (22)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q2","Other countries (26)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","All Countries","Euro Million","412"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","Germany","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","Spain","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","France","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","Italy","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","Portugal","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","United States and Canada","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","Great Britain","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","Northern Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","Asia (7)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","Other Europe (22)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q3","Other countries (26)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","All Countries","Euro Million","155"
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","Germany","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","Spain","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","France","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","United Kingdom (includes Great Britain & Northern Ireland)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","Italy","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","Portugal","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","United States and Canada","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","Great Britain","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","Northern Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","Asia (7)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","Other Europe (22)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2020Q4","Other countries (26)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","All Countries","Euro Million","63"
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","Germany","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel","2021Q1","Spain","Euro Million","4"
