"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2015Q4","Other Europe (22)","Thousand","242"
"Number of Trips by Irish Residents","2015Q4","Other countries (26)","Thousand","43"
"Number of Trips by Irish Residents","2016Q1","All Countries","Thousand","1522"
"Number of Trips by Irish Residents","2016Q1","Germany","Thousand","48"
"Number of Trips by Irish Residents","2016Q1","Spain","Thousand","232"
"Number of Trips by Irish Residents","2016Q1","France","Thousand","131"
"Number of Trips by Irish Residents","2016Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","606"
"Number of Trips by Irish Residents","2016Q1","Italy","Thousand","77"
"Number of Trips by Irish Residents","2016Q1","Portugal","Thousand","34"
"Number of Trips by Irish Residents","2016Q1","United States and Canada","Thousand","89"
"Number of Trips by Irish Residents","2016Q1","Great Britain","Thousand","515"
"Number of Trips by Irish Residents","2016Q1","Northern Ireland","Thousand","91"
"Number of Trips by Irish Residents","2016Q1","Asia (7)","Thousand","33"
"Number of Trips by Irish Residents","2016Q1","Other Europe (22)","Thousand","224"
"Number of Trips by Irish Residents","2016Q1","Other countries (26)","Thousand","47"
"Number of Trips by Irish Residents","2016Q2","All Countries","Thousand","2002"
"Number of Trips by Irish Residents","2016Q2","Germany","Thousand","59"
"Number of Trips by Irish Residents","2016Q2","Spain","Thousand","514"
"Number of Trips by Irish Residents","2016Q2","France","Thousand","164"
"Number of Trips by Irish Residents","2016Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","521"
"Number of Trips by Irish Residents","2016Q2","Italy","Thousand","92"
"Number of Trips by Irish Residents","2016Q2","Portugal","Thousand","176"
"Number of Trips by Irish Residents","2016Q2","United States and Canada","Thousand","106"
"Number of Trips by Irish Residents","2016Q2","Great Britain","Thousand","435"
"Number of Trips by Irish Residents","2016Q2","Northern Ireland","Thousand","86"
"Number of Trips by Irish Residents","2016Q2","Asia (7)","Thousand","50"
"Number of Trips by Irish Residents","2016Q2","Other Europe (22)","Thousand","269"
"Number of Trips by Irish Residents","2016Q2","Other countries (26)","Thousand","53"
"Number of Trips by Irish Residents","2016Q3","All Countries","Thousand","2321"
"Number of Trips by Irish Residents","2016Q3","Germany","Thousand","51"
"Number of Trips by Irish Residents","2016Q3","Spain","Thousand","573"
"Number of Trips by Irish Residents","2016Q3","France","Thousand","216"
"Number of Trips by Irish Residents","2016Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","632"
"Number of Trips by Irish Residents","2016Q3","Italy","Thousand","140"
"Number of Trips by Irish Residents","2016Q3","Portugal","Thousand","183"
"Number of Trips by Irish Residents","2016Q3","United States and Canada","Thousand","153"
"Number of Trips by Irish Residents","2016Q3","Great Britain","Thousand","526"
"Number of Trips by Irish Residents","2016Q3","Northern Ireland","Thousand","106"
"Number of Trips by Irish Residents","2016Q3","Asia (7)","Thousand","55"
"Number of Trips by Irish Residents","2016Q3","Other Europe (22)","Thousand","283"
"Number of Trips by Irish Residents","2016Q3","Other countries (26)","Thousand","34"
"Number of Trips by Irish Residents","2016Q4","All Countries","Thousand","1799"
"Number of Trips by Irish Residents","2016Q4","Germany","Thousand","72"
"Number of Trips by Irish Residents","2016Q4","Spain","Thousand","269"
"Number of Trips by Irish Residents","2016Q4","France","Thousand","99"
"Number of Trips by Irish Residents","2016Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","704"
"Number of Trips by Irish Residents","2016Q4","Italy","Thousand","53"
"Number of Trips by Irish Residents","2016Q4","Portugal","Thousand","86"
"Number of Trips by Irish Residents","2016Q4","United States and Canada","Thousand","144"
"Number of Trips by Irish Residents","2016Q4","Great Britain","Thousand","534"
"Number of Trips by Irish Residents","2016Q4","Northern Ireland","Thousand","171"
"Number of Trips by Irish Residents","2016Q4","Asia (7)","Thousand","84"
"Number of Trips by Irish Residents","2016Q4","Other Europe (22)","Thousand","231"
"Number of Trips by Irish Residents","2016Q4","Other countries (26)","Thousand","57"
"Number of Trips by Irish Residents","2017Q1","All Countries","Thousand","1607"
"Number of Trips by Irish Residents","2017Q1","Germany","Thousand","53"
"Number of Trips by Irish Residents","2017Q1","Spain","Thousand","265"
"Number of Trips by Irish Residents","2017Q1","France","Thousand","90"
"Number of Trips by Irish Residents","2017Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","625"
"Number of Trips by Irish Residents","2017Q1","Italy","Thousand","67"
"Number of Trips by Irish Residents","2017Q1","Portugal","Thousand","56"
"Number of Trips by Irish Residents","2017Q1","United States and Canada","Thousand","92"
"Number of Trips by Irish Residents","2017Q1","Great Britain","Thousand","519"
"Number of Trips by Irish Residents","2017Q1","Northern Ireland","Thousand","106"
"Number of Trips by Irish Residents","2017Q1","Asia (7)","Thousand","52"
"Number of Trips by Irish Residents","2017Q1","Other Europe (22)","Thousand","272"
"Number of Trips by Irish Residents","2017Q1","Other countries (26)","Thousand","36"
"Number of Trips by Irish Residents","2017Q2","All Countries","Thousand","2162"
"Number of Trips by Irish Residents","2017Q2","Germany","Thousand","54"
