"Statistic Label","Quarter","Domestic","Region of Residence","UNIT","VALUE"
"Number of Trips by Irish Residents","2021Q2","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Outbound","Eastern and Midland","Thousand","94"
"Number of Trips by Irish Residents","2021Q2","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Domestic","State","Thousand","2808"
"Number of Trips by Irish Residents","2021Q3","Domestic","Northern and Western","Thousand","444"
"Number of Trips by Irish Residents","2021Q3","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Domestic","Southern","Thousand","1083"
"Number of Trips by Irish Residents","2021Q3","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Domestic","Eastern and Midland","Thousand","1282"
"Number of Trips by Irish Residents","2021Q3","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Outbound","State","Thousand","907"
"Number of Trips by Irish Residents","2021Q3","Outbound","Northern and Western","Thousand","144"
"Number of Trips by Irish Residents","2021Q3","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Outbound","Southern","Thousand","213"
"Number of Trips by Irish Residents","2021Q3","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Outbound","Eastern and Midland","Thousand","550"
"Number of Trips by Irish Residents","2021Q3","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Domestic","State","Thousand","1587"
"Number of Trips by Irish Residents","2021Q4","Domestic","Northern and Western","Thousand","355"
"Number of Trips by Irish Residents","2021Q4","Domestic","Border","Thousand",""
