"Method of Booking","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"All methods of booking","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand","1447"
"All methods of booking","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand","3819"
"All methods of booking","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"All methods of booking","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand","1509"
"All methods of booking","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand","4589"
"All methods of booking","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"All methods of booking","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand","2087"
"All methods of booking","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand","10346"
"All methods of booking","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","5"
"All methods of booking","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand","1614"
"All methods of booking","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand","4861"
"All methods of booking","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","3"
"All methods of booking","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand","1585"
"All methods of booking","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand","4174"
"All methods of booking","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"All methods of booking","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand","1533"
"All methods of booking","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand","4689"
"All methods of booking","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"All methods of booking","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand","2167"
"All methods of booking","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand","10653"
"All methods of booking","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.9"
"All methods of booking","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand","1715"
"All methods of booking","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand","4673"
"All methods of booking","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"All methods of booking","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","1490"
"All methods of booking","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","4170"
"All methods of booking","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"All methods of booking","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","1705"
"All methods of booking","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","5195"
"All methods of booking","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"All methods of booking","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","2300"
"All methods of booking","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","10685"
"All methods of booking","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"All methods of booking","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","1678"
"All methods of booking","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","4557"
"All methods of booking","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"All methods of booking","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","1457"
"All methods of booking","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","3708"
"All methods of booking","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"All methods of booking","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","1721"
"All methods of booking","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","5357"
"All methods of booking","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"All methods of booking","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","2301"
"All methods of booking","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","10659"
"All methods of booking","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"All methods of booking","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","1831"
"All methods of booking","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","4479"
"All methods of booking","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"All methods of booking","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","1579"
"All methods of booking","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","3983"
"All methods of booking","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"All methods of booking","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","1983"
"All methods of booking","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","5909"
"All methods of booking","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"All methods of booking","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand","2448"
"All methods of booking","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand","11415"
"All methods of booking","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.7"
"All methods of booking","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand","1932"
"All methods of booking","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand","5021"
"All methods of booking","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"All methods of booking","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand","1851"
"All methods of booking","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand","4626"
"All methods of booking","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"All methods of booking","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand","1867"
"All methods of booking","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand","5380"
"All methods of booking","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"All methods of booking","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand","2544"
"All methods of booking","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand","10919"
"All methods of booking","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.3"
"All methods of booking","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand","2077"
"All methods of booking","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand","5271"
"All methods of booking","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"All methods of booking","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand","1760"
"All methods of booking","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand","4221"
"All methods of booking","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"All methods of booking","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand","2042"
"All methods of booking","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand","6087"
"All methods of booking","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"All methods of booking","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand","2512"
"All methods of booking","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand","10555"
"All methods of booking","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.2"
"All methods of booking","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand","2026"
"All methods of booking","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand","5164"
"All methods of booking","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"All methods of booking","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand","954"
"All methods of booking","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand","6491"
"All methods of booking","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.8"
"All methods of booking","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand","1330"
"All methods of booking","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand","12331"
"All methods of booking","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.3"
"All methods of booking","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand","1595"
"All methods of booking","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand","16776"
"All methods of booking","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.5"
"All methods of booking","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand","1095"
"All methods of booking","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand","8104"
"All methods of booking","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.4"
"All methods of booking","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand","1069"
"All methods of booking","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand","7567"
"All methods of booking","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.1"
"All methods of booking","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand","1425"
"All methods of booking","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand","12688"
"All methods of booking","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.9"
"All methods of booking","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand","1751"
"All methods of booking","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand","18193"
"All methods of booking","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.4"
"All methods of booking","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand","1220"
"All methods of booking","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand","7854"
"All methods of booking","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"All methods of booking","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","1212"
"All methods of booking","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","8502"
"All methods of booking","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","7"
"All methods of booking","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand","1661"
"All methods of booking","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand","14592"
"All methods of booking","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"All methods of booking","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand","1961"
"All methods of booking","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand","19828"
"All methods of booking","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.1"
"All methods of booking","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","1355"
"All methods of booking","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","8581"
"All methods of booking","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"All methods of booking","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","1397"
"All methods of booking","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","9140"
"All methods of booking","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.5"
"All methods of booking","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","1850"
"All methods of booking","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","14731"
"All methods of booking","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","8"
"All methods of booking","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","2174"
"All methods of booking","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","20378"
"All methods of booking","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"All methods of booking","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","1560"
"All methods of booking","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","10017"
"All methods of booking","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"All methods of booking","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","1580"
"All methods of booking","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","10431"
"All methods of booking","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.6"
"All methods of booking","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","2073"
"All methods of booking","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","16460"
"All methods of booking","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.9"
"All methods of booking","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand","2387"
"All methods of booking","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand","22941"
"All methods of booking","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.6"
"All methods of booking","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand","1790"
"All methods of booking","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand","12404"
"All methods of booking","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"All methods of booking","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand","1800"
"All methods of booking","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand","12426"
"All methods of booking","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"All methods of booking","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand","2060"
"All methods of booking","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand","16742"
"All methods of booking","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.1"
"All methods of booking","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand","2471"
"All methods of booking","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand","23485"
"All methods of booking","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.5"
"All methods of booking","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand","1710"
"All methods of booking","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand","10846"
"All methods of booking","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"All methods of booking","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand","1597"
"All methods of booking","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand","10144"
"All methods of booking","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"All methods of booking","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand","1927"
"All methods of booking","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand","16031"
"All methods of booking","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.3"
"All methods of booking","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand","2232"
"All methods of booking","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand","19731"
"All methods of booking","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"All methods of booking","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand","1536"
"All methods of booking","Outbound","2009Q4","Number of Nights by Irish Residents","Thousand","9761"
"All methods of booking","Outbound","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"Travel agent","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand","23"
"Travel agent","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand","70"
"Travel agent","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","3"
"Travel agent","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand","27"
"Travel agent","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand","123"
"Travel agent","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"Travel agent","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand","59"
"Travel agent","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand","378"
"Travel agent","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"Travel agent","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand","22"
"Travel agent","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand","79"
"Travel agent","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.6"
"Travel agent","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand","22"
"Travel agent","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand","65"
"Travel agent","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","3"
"Travel agent","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand","38"
"Travel agent","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand","181"
"Travel agent","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","4.8"
"Travel agent","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand","72"
"Travel agent","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand","331"
"Travel agent","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"Travel agent","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand","19"
"Travel agent","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand","63"
"Travel agent","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.3"
"Travel agent","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","40"
"Travel agent","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","106"
"Travel agent","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"Travel agent","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","27"
"Travel agent","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","139"
"Travel agent","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","5.1"
"Travel agent","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","41"
"Travel agent","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","221"
"Travel agent","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.4"
"Travel agent","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","6"
"Travel agent","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","38"
"Travel agent","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"Travel agent","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","12"
"Travel agent","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","30"
"Travel agent","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"Travel agent","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","16"
"Travel agent","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","85"
"Travel agent","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","5.3"
"Travel agent","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","42"
"Travel agent","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","228"
"Travel agent","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.4"
"Travel agent","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","21"
"Travel agent","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","59"
"Travel agent","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"Travel agent","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","13"
"Travel agent","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","45"
"Travel agent","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"Travel agent","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","28"
"Travel agent","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","130"
"Travel agent","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"Travel agent","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand","25"
"Travel agent","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand","140"
"Travel agent","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.6"
"Travel agent","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand","11"
"Travel agent","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand","45"
"Travel agent","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","4.1"
"Travel agent","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand","20"
"Travel agent","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand","54"
"Travel agent","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"Travel agent","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand","19"
"Travel agent","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand","73"
"Travel agent","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.8"
"Travel agent","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand","31"
"Travel agent","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand","145"
"Travel agent","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.7"
"Travel agent","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand","21"
"Travel agent","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand","84"
"Travel agent","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","4"
"Travel agent","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand","13"
"Travel agent","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand","42"
"Travel agent","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"Travel agent","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand","13"
"Travel agent","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand","59"
"Travel agent","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","4.5"
"Travel agent","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand","13"
"Travel agent","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand","59"
"Travel agent","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.5"
"Travel agent","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand","9"
"Travel agent","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand","32"
"Travel agent","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.6"
"Travel agent","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand","227"
"Travel agent","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand","1652"
"Travel agent","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.3"
"Travel agent","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand","532"
"Travel agent","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand","5906"
"Travel agent","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","11.1"
"Travel agent","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand","669"
"Travel agent","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand","7689"
"Travel agent","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.5"
"Travel agent","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand","248"
"Travel agent","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand","2266"
"Travel agent","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","9.1"
"Travel agent","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand","233"
"Travel agent","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand","1973"
"Travel agent","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","8.5"
"Travel agent","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand","520"
"Travel agent","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand","5272"
"Travel agent","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.1"
"Travel agent","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand","671"
"Travel agent","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand","7681"
"Travel agent","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.4"
"Travel agent","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand","263"
"Travel agent","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand","2286"
"Travel agent","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","8.7"
"Travel agent","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","275"
"Travel agent","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","2399"
"Travel agent","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","8.7"
"Travel agent","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand","491"
"Travel agent","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand","5208"
"Travel agent","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.6"
"Travel agent","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand","633"
"Travel agent","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand","6971"
"Travel agent","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","11"
"Travel agent","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","255"
"Travel agent","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","2358"
"Travel agent","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","9.2"
"Travel agent","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","292"
"Travel agent","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","2674"
"Travel agent","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","9.2"
"Travel agent","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","458"
"Travel agent","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","4383"
"Travel agent","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.6"
"Travel agent","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","621"
"Travel agent","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","6456"
"Travel agent","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.4"
"Travel agent","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","267"
"Travel agent","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","2596"
"Travel agent","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","9.7"
"Travel agent","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","291"
"Travel agent","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","2554"
"Travel agent","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"Travel agent","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","496"
"Travel agent","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","4652"
"Travel agent","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"Travel agent","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand","606"
"Travel agent","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand","6283"
"Travel agent","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.4"
"Travel agent","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand","305"
"Travel agent","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand","3831"
"Travel agent","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","12.6"
"Travel agent","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand","321"
"Travel agent","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand","3303"
"Travel agent","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","10.3"
"Travel agent","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand","427"
"Travel agent","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand","4203"
"Travel agent","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.8"
"Travel agent","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand","568"
"Travel agent","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand","6007"
"Travel agent","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.6"
"Travel agent","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand","225"
"Travel agent","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand","2208"
