"Age Group","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"0 - 19 years","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","360"
"0 - 19 years","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","1024"
"0 - 19 years","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"0 - 19 years","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","387"
"0 - 19 years","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","1415"
"0 - 19 years","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.7"
"0 - 19 years","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","660"
"0 - 19 years","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","3800"
"0 - 19 years","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.8"
"0 - 19 years","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","348"
"0 - 19 years","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","1058"
"0 - 19 years","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","3"
"0 - 19 years","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","290"
"0 - 19 years","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","777"
"0 - 19 years","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"0 - 19 years","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","396"
