"Age Group","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"50 - 59 years","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","2469"
"50 - 59 years","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.3"
"50 - 59 years","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","377"
"50 - 59 years","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","3191"
"50 - 59 years","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.5"
"50 - 59 years","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","332"
"50 - 59 years","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","2074"
"50 - 59 years","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.2"
"50 - 59 years","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","411"
"50 - 59 years","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","2476"
"50 - 59 years","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","6"
"50 - 59 years","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","521"
"50 - 59 years","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","3641"
"50 - 59 years","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","7"
"50 - 59 years","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 - 59 years","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 - 59 years","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 - 59 years","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 - 59 years","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 - 59 years","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 - 59 years","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 - 59 years","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 - 59 years","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 - 59 years","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2009Q4","Number of Nights by Irish Residents","Thousand",""
"50 - 59 years","Outbound","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Domestic","2000Q1","Number of Trips by Irish Residents","Thousand","93"
"60 - 69 years","Domestic","2000Q1","Number of Nights by Irish Residents","Thousand","312"
"60 - 69 years","Domestic","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"60 - 69 years","Domestic","2000Q2","Number of Trips by Irish Residents","Thousand","111"
"60 - 69 years","Domestic","2000Q2","Number of Nights by Irish Residents","Thousand","464"
"60 - 69 years","Domestic","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip","4.2"
"60 - 69 years","Domestic","2000Q3","Number of Trips by Irish Residents","Thousand","136"
"60 - 69 years","Domestic","2000Q3","Number of Nights by Irish Residents","Thousand","662"
"60 - 69 years","Domestic","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.9"
"60 - 69 years","Domestic","2000Q4","Number of Trips by Irish Residents","Thousand","91"
"60 - 69 years","Domestic","2000Q4","Number of Nights by Irish Residents","Thousand","229"
"60 - 69 years","Domestic","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"60 - 69 years","Domestic","2001Q1","Number of Trips by Irish Residents","Thousand","72"
"60 - 69 years","Domestic","2001Q1","Number of Nights by Irish Residents","Thousand","268"
"60 - 69 years","Domestic","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.7"
"60 - 69 years","Domestic","2001Q2","Number of Trips by Irish Residents","Thousand","80"
"60 - 69 years","Domestic","2001Q2","Number of Nights by Irish Residents","Thousand","329"
"60 - 69 years","Domestic","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip","4.1"
"60 - 69 years","Domestic","2001Q3","Number of Trips by Irish Residents","Thousand","123"
"60 - 69 years","Domestic","2001Q3","Number of Nights by Irish Residents","Thousand","500"
"60 - 69 years","Domestic","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.1"
"60 - 69 years","Domestic","2001Q4","Number of Trips by Irish Residents","Thousand","93"
"60 - 69 years","Domestic","2001Q4","Number of Nights by Irish Residents","Thousand","281"
"60 - 69 years","Domestic","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip","3"
"60 - 69 years","Domestic","2002Q1","Number of Trips by Irish Residents","Thousand","74"
"60 - 69 years","Domestic","2002Q1","Number of Nights by Irish Residents","Thousand","237"
"60 - 69 years","Domestic","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"60 - 69 years","Domestic","2002Q2","Number of Trips by Irish Residents","Thousand","90"
"60 - 69 years","Domestic","2002Q2","Number of Nights by Irish Residents","Thousand","288"
"60 - 69 years","Domestic","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"60 - 69 years","Domestic","2002Q3","Number of Trips by Irish Residents","Thousand","134"
"60 - 69 years","Domestic","2002Q3","Number of Nights by Irish Residents","Thousand","612"
"60 - 69 years","Domestic","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"60 - 69 years","Domestic","2002Q4","Number of Trips by Irish Residents","Thousand","105"
"60 - 69 years","Domestic","2002Q4","Number of Nights by Irish Residents","Thousand","325"
"60 - 69 years","Domestic","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"60 - 69 years","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand","97"
"60 - 69 years","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand","276"
"60 - 69 years","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"60 - 69 years","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand","103"
"60 - 69 years","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand","331"
"60 - 69 years","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"60 - 69 years","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand","167"
"60 - 69 years","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand","856"
"60 - 69 years","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.1"
"60 - 69 years","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand","131"
"60 - 69 years","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand","464"
"60 - 69 years","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"60 - 69 years","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand","112"
"60 - 69 years","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand","381"
"60 - 69 years","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"60 - 69 years","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand","118"
"60 - 69 years","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand","409"
"60 - 69 years","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"60 - 69 years","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand","138"
"60 - 69 years","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand","618"
"60 - 69 years","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.5"
"60 - 69 years","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand","152"
"60 - 69 years","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand","519"
"60 - 69 years","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"60 - 69 years","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","115"
"60 - 69 years","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","428"
"60 - 69 years","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.7"
"60 - 69 years","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","152"
"60 - 69 years","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","474"
"60 - 69 years","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"60 - 69 years","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","201"
"60 - 69 years","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","845"
"60 - 69 years","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.2"
"60 - 69 years","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","118"
"60 - 69 years","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","327"
"60 - 69 years","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"60 - 69 years","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","168"
"60 - 69 years","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","449"
"60 - 69 years","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"60 - 69 years","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","187"
"60 - 69 years","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","622"
"60 - 69 years","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.3"
"60 - 69 years","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","253"
"60 - 69 years","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","1026"
"60 - 69 years","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.1"
"60 - 69 years","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","189"
"60 - 69 years","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","507"
"60 - 69 years","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"60 - 69 years","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","265"
"60 - 69 years","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","726"
"60 - 69 years","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"60 - 69 years","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","338"
"60 - 69 years","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","1043"
"60 - 69 years","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"60 - 69 years","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Outbound","2000Q1","Number of Trips by Irish Residents","Thousand","70"
"60 - 69 years","Outbound","2000Q1","Number of Nights by Irish Residents","Thousand","609"
"60 - 69 years","Outbound","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip","8.7"
"60 - 69 years","Outbound","2000Q2","Number of Trips by Irish Residents","Thousand","96"
"60 - 69 years","Outbound","2000Q2","Number of Nights by Irish Residents","Thousand","948"
"60 - 69 years","Outbound","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.9"
"60 - 69 years","Outbound","2000Q3","Number of Trips by Irish Residents","Thousand","91"
"60 - 69 years","Outbound","2000Q3","Number of Nights by Irish Residents","Thousand","938"
"60 - 69 years","Outbound","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.3"
"60 - 69 years","Outbound","2000Q4","Number of Trips by Irish Residents","Thousand","73"
"60 - 69 years","Outbound","2000Q4","Number of Nights by Irish Residents","Thousand","739"
"60 - 69 years","Outbound","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip","10.1"
"60 - 69 years","Outbound","2001Q1","Number of Trips by Irish Residents","Thousand","63"
"60 - 69 years","Outbound","2001Q1","Number of Nights by Irish Residents","Thousand","645"
"60 - 69 years","Outbound","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip","10.2"
"60 - 69 years","Outbound","2001Q2","Number of Trips by Irish Residents","Thousand","74"
"60 - 69 years","Outbound","2001Q2","Number of Nights by Irish Residents","Thousand","787"
"60 - 69 years","Outbound","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.6"
"60 - 69 years","Outbound","2001Q3","Number of Trips by Irish Residents","Thousand","74"
"60 - 69 years","Outbound","2001Q3","Number of Nights by Irish Residents","Thousand","760"
"60 - 69 years","Outbound","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.3"
"60 - 69 years","Outbound","2001Q4","Number of Trips by Irish Residents","Thousand","62"
"60 - 69 years","Outbound","2001Q4","Number of Nights by Irish Residents","Thousand","633"
"60 - 69 years","Outbound","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip","10.2"
"60 - 69 years","Outbound","2002Q1","Number of Trips by Irish Residents","Thousand","59"
"60 - 69 years","Outbound","2002Q1","Number of Nights by Irish Residents","Thousand","632"
"60 - 69 years","Outbound","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip","10.7"
"60 - 69 years","Outbound","2002Q2","Number of Trips by Irish Residents","Thousand","90"
"60 - 69 years","Outbound","2002Q2","Number of Nights by Irish Residents","Thousand","879"
"60 - 69 years","Outbound","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.8"
"60 - 69 years","Outbound","2002Q3","Number of Trips by Irish Residents","Thousand","99"
"60 - 69 years","Outbound","2002Q3","Number of Nights by Irish Residents","Thousand","997"
"60 - 69 years","Outbound","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.1"
"60 - 69 years","Outbound","2002Q4","Number of Trips by Irish Residents","Thousand","100"
"60 - 69 years","Outbound","2002Q4","Number of Nights by Irish Residents","Thousand","936"
"60 - 69 years","Outbound","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"60 - 69 years","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand","82"
"60 - 69 years","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand","789"
"60 - 69 years","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","9.6"
"60 - 69 years","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand","103"
"60 - 69 years","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand","906"
"60 - 69 years","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"60 - 69 years","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand","124"
"60 - 69 years","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand","1235"
"60 - 69 years","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","10"
"60 - 69 years","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand","108"
"60 - 69 years","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand","958"
"60 - 69 years","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","8.9"
"60 - 69 years","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand","96"
"60 - 69 years","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand","1083"
"60 - 69 years","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","11.3"
"60 - 69 years","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand","128"
"60 - 69 years","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand","1256"
"60 - 69 years","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.8"
"60 - 69 years","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand","115"
"60 - 69 years","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand","1168"
"60 - 69 years","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.2"
"60 - 69 years","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand","127"
"60 - 69 years","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand","1117"
"60 - 69 years","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"60 - 69 years","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","109"
"60 - 69 years","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","1122"
"60 - 69 years","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","10.3"
"60 - 69 years","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand","152"
"60 - 69 years","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand","1432"
"60 - 69 years","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"60 - 69 years","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand","149"
"60 - 69 years","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand","1484"
"60 - 69 years","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","10"
"60 - 69 years","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","161"
"60 - 69 years","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","1257"
"60 - 69 years","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.8"
"60 - 69 years","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","176"
"60 - 69 years","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","1654"
"60 - 69 years","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"60 - 69 years","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","220"
"60 - 69 years","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","1999"
"60 - 69 years","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.1"
"60 - 69 years","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","225"
"60 - 69 years","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","1820"
"60 - 69 years","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.1"
"60 - 69 years","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","194"
"60 - 69 years","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","1356"
"60 - 69 years","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","7"
"60 - 69 years","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","222"
"60 - 69 years","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","1969"
"60 - 69 years","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","8.9"
"60 - 69 years","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","320"
"60 - 69 years","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","2640"
"60 - 69 years","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.3"
"60 - 69 years","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"60 - 69 years","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2009Q4","Number of Nights by Irish Residents","Thousand",""
"60 - 69 years","Outbound","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"70 years and over","Domestic","2000Q1","Number of Trips by Irish Residents","Thousand","47"
"70 years and over","Domestic","2000Q1","Number of Nights by Irish Residents","Thousand","195"
"70 years and over","Domestic","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip","4.1"
"70 years and over","Domestic","2000Q2","Number of Trips by Irish Residents","Thousand","59"
"70 years and over","Domestic","2000Q2","Number of Nights by Irish Residents","Thousand","285"
"70 years and over","Domestic","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip","4.8"
"70 years and over","Domestic","2000Q3","Number of Trips by Irish Residents","Thousand","79"
"70 years and over","Domestic","2000Q3","Number of Nights by Irish Residents","Thousand","468"
"70 years and over","Domestic","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.9"
"70 years and over","Domestic","2000Q4","Number of Trips by Irish Residents","Thousand","55"
"70 years and over","Domestic","2000Q4","Number of Nights by Irish Residents","Thousand","217"
"70 years and over","Domestic","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.9"
"70 years and over","Domestic","2001Q1","Number of Trips by Irish Residents","Thousand","44"
"70 years and over","Domestic","2001Q1","Number of Nights by Irish Residents","Thousand","154"
"70 years and over","Domestic","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"70 years and over","Domestic","2001Q2","Number of Trips by Irish Residents","Thousand","60"
"70 years and over","Domestic","2001Q2","Number of Nights by Irish Residents","Thousand","331"
"70 years and over","Domestic","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip","5.5"
"70 years and over","Domestic","2001Q3","Number of Trips by Irish Residents","Thousand","81"
"70 years and over","Domestic","2001Q3","Number of Nights by Irish Residents","Thousand","503"
"70 years and over","Domestic","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.2"
"70 years and over","Domestic","2001Q4","Number of Trips by Irish Residents","Thousand","59"
"70 years and over","Domestic","2001Q4","Number of Nights by Irish Residents","Thousand","232"
"70 years and over","Domestic","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.9"
"70 years and over","Domestic","2002Q1","Number of Trips by Irish Residents","Thousand","38"
"70 years and over","Domestic","2002Q1","Number of Nights by Irish Residents","Thousand","147"
"70 years and over","Domestic","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.9"
"70 years and over","Domestic","2002Q2","Number of Trips by Irish Residents","Thousand","70"
"70 years and over","Domestic","2002Q2","Number of Nights by Irish Residents","Thousand","264"
"70 years and over","Domestic","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.8"
"70 years and over","Domestic","2002Q3","Number of Trips by Irish Residents","Thousand","97"
"70 years and over","Domestic","2002Q3","Number of Nights by Irish Residents","Thousand","498"
"70 years and over","Domestic","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.1"
"70 years and over","Domestic","2002Q4","Number of Trips by Irish Residents","Thousand","68"
"70 years and over","Domestic","2002Q4","Number of Nights by Irish Residents","Thousand","218"
