"Statistic Label","Quarter","Length of Stay","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2021Q3","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q3","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 + Nights","State","Thousand","1587"
"Number of Trips by Irish Residents","2021Q4","1 + Nights","Northern and Western","Thousand","430"
"Number of Trips by Irish Residents","2021Q4","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 + Nights","Southern","Thousand","665"
"Number of Trips by Irish Residents","2021Q4","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 + Nights","Eastern and Midland","Thousand","492"
"Number of Trips by Irish Residents","2021Q4","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 - 3 Nights","State","Thousand","1338"
"Number of Trips by Irish Residents","2021Q4","1 - 3 Nights","Northern and Western","Thousand","351"
"Number of Trips by Irish Residents","2021Q4","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 - 3 Nights","Southern","Thousand","532"
"Number of Trips by Irish Residents","2021Q4","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 - 3 Nights","Eastern and Midland","Thousand","455"
"Number of Trips by Irish Residents","2021Q4","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q4","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q4","4 + Nights","State","Thousand","248"
"Number of Trips by Irish Residents","2021Q4","4 + Nights","Northern and Western","Thousand","79"
"Number of Trips by Irish Residents","2021Q4","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q4","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","4 + Nights","Southern","Thousand","132"
"Number of Trips by Irish Residents","2021Q4","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q4","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","4 + Nights","Eastern and Midland","Thousand","37"
"Number of Trips by Irish Residents","2021Q4","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q4","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q4","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 + Nights","State","Thousand","2308"
"Number of Trips by Irish Residents","2022Q1","1 + Nights","Northern and Western","Thousand","555"
"Number of Trips by Irish Residents","2022Q1","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 + Nights","Southern","Thousand","987"
"Number of Trips by Irish Residents","2022Q1","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 + Nights","Eastern and Midland","Thousand","765"
"Number of Trips by Irish Residents","2022Q1","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 - 3 Nights","State","Thousand","1994"
"Number of Trips by Irish Residents","2022Q1","1 - 3 Nights","Northern and Western","Thousand","487"
"Number of Trips by Irish Residents","2022Q1","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 - 3 Nights","Southern","Thousand","846"
"Number of Trips by Irish Residents","2022Q1","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 - 3 Nights","Eastern and Midland","Thousand","661"
"Number of Trips by Irish Residents","2022Q1","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q1","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q1","4 + Nights","State","Thousand","314"
"Number of Trips by Irish Residents","2022Q1","4 + Nights","Northern and Western","Thousand","68"
"Number of Trips by Irish Residents","2022Q1","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q1","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","4 + Nights","Southern","Thousand","142"
"Number of Trips by Irish Residents","2022Q1","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q1","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","4 + Nights","Eastern and Midland","Thousand","104"
"Number of Trips by Irish Residents","2022Q1","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q1","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q1","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 + Nights","State","Thousand","3397"
"Number of Trips by Irish Residents","2022Q2","1 + Nights","Northern and Western","Thousand","742"
"Number of Trips by Irish Residents","2022Q2","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 + Nights","Southern","Thousand","1568"
"Number of Trips by Irish Residents","2022Q2","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 + Nights","Eastern and Midland","Thousand","1087"
"Number of Trips by Irish Residents","2022Q2","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 - 3 Nights","State","Thousand","2926"
"Number of Trips by Irish Residents","2022Q2","1 - 3 Nights","Northern and Western","Thousand","615"
"Number of Trips by Irish Residents","2022Q2","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 - 3 Nights","Southern","Thousand","1349"
"Number of Trips by Irish Residents","2022Q2","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 - 3 Nights","Eastern and Midland","Thousand","962"
"Number of Trips by Irish Residents","2022Q2","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q2","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q2","4 + Nights","State","Thousand","471"
"Number of Trips by Irish Residents","2022Q2","4 + Nights","Northern and Western","Thousand","127"
"Number of Trips by Irish Residents","2022Q2","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q2","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","4 + Nights","Southern","Thousand","219"
"Number of Trips by Irish Residents","2022Q2","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q2","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","4 + Nights","Eastern and Midland","Thousand","125"
"Number of Trips by Irish Residents","2022Q2","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q2","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q2","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 + Nights","State","Thousand","4506"
"Number of Trips by Irish Residents","2022Q3","1 + Nights","Northern and Western","Thousand","1334"
"Number of Trips by Irish Residents","2022Q3","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 + Nights","Southern","Thousand","2148"
"Number of Trips by Irish Residents","2022Q3","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 + Nights","Eastern and Midland","Thousand","1025"
"Number of Trips by Irish Residents","2022Q3","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 - 3 Nights","State","Thousand","3348"
"Number of Trips by Irish Residents","2022Q3","1 - 3 Nights","Northern and Western","Thousand","1017"
"Number of Trips by Irish Residents","2022Q3","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 - 3 Nights","Southern","Thousand","1479"
"Number of Trips by Irish Residents","2022Q3","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 - 3 Nights","Eastern and Midland","Thousand","852"
"Number of Trips by Irish Residents","2022Q3","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q3","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q3","4 + Nights","State","Thousand","1158"
"Number of Trips by Irish Residents","2022Q3","4 + Nights","Northern and Western","Thousand","317"
"Number of Trips by Irish Residents","2022Q3","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q3","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","4 + Nights","Southern","Thousand","669"
"Number of Trips by Irish Residents","2022Q3","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q3","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","4 + Nights","Eastern and Midland","Thousand","173"
"Number of Trips by Irish Residents","2022Q3","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q3","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q3","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 + Nights","State","Thousand","3064"
"Number of Trips by Irish Residents","2022Q4","1 + Nights","Northern and Western","Thousand","841"
"Number of Trips by Irish Residents","2022Q4","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 + Nights","Southern","Thousand","1282"
"Number of Trips by Irish Residents","2022Q4","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 + Nights","Eastern and Midland","Thousand","941"
"Number of Trips by Irish Residents","2022Q4","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 - 3 Nights","State","Thousand","2578"
"Number of Trips by Irish Residents","2022Q4","1 - 3 Nights","Northern and Western","Thousand","686"
"Number of Trips by Irish Residents","2022Q4","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 - 3 Nights","Southern","Thousand","1095"
"Number of Trips by Irish Residents","2022Q4","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 - 3 Nights","Eastern and Midland","Thousand","796"
"Number of Trips by Irish Residents","2022Q4","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q4","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q4","4 + Nights","State","Thousand","486"
"Number of Trips by Irish Residents","2022Q4","4 + Nights","Northern and Western","Thousand","155"
"Number of Trips by Irish Residents","2022Q4","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q4","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","4 + Nights","Southern","Thousand","187"
"Number of Trips by Irish Residents","2022Q4","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q4","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","4 + Nights","Eastern and Midland","Thousand","144"
"Number of Trips by Irish Residents","2022Q4","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q4","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q4","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 + Nights","State","Thousand","2571"
"Number of Trips by Irish Residents","2023Q1","1 + Nights","Northern and Western","Thousand","613"
"Number of Trips by Irish Residents","2023Q1","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 + Nights","Southern","Thousand","1085"
"Number of Trips by Irish Residents","2023Q1","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 + Nights","Eastern and Midland","Thousand","873"
"Number of Trips by Irish Residents","2023Q1","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 - 3 Nights","State","Thousand","2314"
"Number of Trips by Irish Residents","2023Q1","1 - 3 Nights","Northern and Western","Thousand","519"
"Number of Trips by Irish Residents","2023Q1","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 - 3 Nights","Southern","Thousand","983"
"Number of Trips by Irish Residents","2023Q1","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 - 3 Nights","Eastern and Midland","Thousand","812"
"Number of Trips by Irish Residents","2023Q1","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q1","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q1","4 + Nights","State","Thousand","257"
"Number of Trips by Irish Residents","2023Q1","4 + Nights","Northern and Western","Thousand","94"
"Number of Trips by Irish Residents","2023Q1","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q1","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","4 + Nights","Southern","Thousand","102"
"Number of Trips by Irish Residents","2023Q1","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q1","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","4 + Nights","Eastern and Midland","Thousand","61"
"Number of Trips by Irish Residents","2023Q1","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q1","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q1","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 + Nights","State","Thousand","3826"
"Number of Trips by Irish Residents","2023Q2","1 + Nights","Northern and Western","Thousand","956"
"Number of Trips by Irish Residents","2023Q2","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 + Nights","Southern","Thousand","1612"
"Number of Trips by Irish Residents","2023Q2","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 + Nights","Eastern and Midland","Thousand","1258"
"Number of Trips by Irish Residents","2023Q2","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 - 3 Nights","State","Thousand","3376"
"Number of Trips by Irish Residents","2023Q2","1 - 3 Nights","Northern and Western","Thousand","867"
"Number of Trips by Irish Residents","2023Q2","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 - 3 Nights","Southern","Thousand","1371"
"Number of Trips by Irish Residents","2023Q2","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 - 3 Nights","Eastern and Midland","Thousand","1138"
"Number of Trips by Irish Residents","2023Q2","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q2","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q2","4 + Nights","State","Thousand","450"
"Number of Trips by Irish Residents","2023Q2","4 + Nights","Northern and Western","Thousand","89"
"Number of Trips by Irish Residents","2023Q2","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q2","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","4 + Nights","Southern","Thousand","241"
"Number of Trips by Irish Residents","2023Q2","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q2","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","4 + Nights","Eastern and Midland","Thousand","120"
"Number of Trips by Irish Residents","2023Q2","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q2","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q2","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 + Nights","State","Thousand","4518"
"Number of Trips by Irish Residents","2023Q3","1 + Nights","Northern and Western","Thousand","1150"
"Number of Trips by Irish Residents","2023Q3","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 + Nights","Southern","Thousand","2337"
"Number of Trips by Irish Residents","2023Q3","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 + Nights","Eastern and Midland","Thousand","1031"
"Number of Trips by Irish Residents","2023Q3","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 - 3 Nights","State","Thousand","3536"
"Number of Trips by Irish Residents","2023Q3","1 - 3 Nights","Northern and Western","Thousand","927"
"Number of Trips by Irish Residents","2023Q3","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 - 3 Nights","Southern","Thousand","1673"
"Number of Trips by Irish Residents","2023Q3","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 - 3 Nights","Eastern and Midland","Thousand","936"
"Number of Trips by Irish Residents","2023Q3","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q3","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q3","4 + Nights","State","Thousand","982"
"Number of Trips by Irish Residents","2023Q3","4 + Nights","Northern and Western","Thousand","222"
"Number of Trips by Irish Residents","2023Q3","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q3","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","4 + Nights","Southern","Thousand","664"
"Number of Trips by Irish Residents","2023Q3","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q3","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","4 + Nights","Eastern and Midland","Thousand","96"
"Number of Trips by Irish Residents","2023Q3","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q3","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q3","4 + Nights","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 + Nights","State","Thousand","4359"
"Number of Nights by Irish Residents","2018Q1","1 + Nights","Northern and Western","Thousand","924"
"Number of Nights by Irish Residents","2018Q1","1 + Nights","Border","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 + Nights","West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 + Nights","Southern","Thousand","2340"
"Number of Nights by Irish Residents","2018Q1","1 + Nights","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 + Nights","South-East","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 + Nights","South-West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 + Nights","Eastern and Midland","Thousand","1094"
"Number of Nights by Irish Residents","2018Q1","1 + Nights","Dublin","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 + Nights","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 + Nights","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 - 3 Nights","State","Thousand","3178"
"Number of Nights by Irish Residents","2018Q1","1 - 3 Nights","Northern and Western","Thousand","680"
"Number of Nights by Irish Residents","2018Q1","1 - 3 Nights","Border","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 - 3 Nights","West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 - 3 Nights","Southern","Thousand","1586"
"Number of Nights by Irish Residents","2018Q1","1 - 3 Nights","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 - 3 Nights","South-East","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 - 3 Nights","South-West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 - 3 Nights","Eastern and Midland","Thousand","911"
"Number of Nights by Irish Residents","2018Q1","1 - 3 Nights","Dublin","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 - 3 Nights","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2018Q1","1 - 3 Nights","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q1","4 + Nights","State","Thousand","1181"
"Number of Nights by Irish Residents","2018Q1","4 + Nights","Northern and Western","Thousand","244"
"Number of Nights by Irish Residents","2018Q1","4 + Nights","Border","Thousand",""
"Number of Nights by Irish Residents","2018Q1","4 + Nights","West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","4 + Nights","Southern","Thousand","753"
"Number of Nights by Irish Residents","2018Q1","4 + Nights","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","4 + Nights","South-East","Thousand",""
"Number of Nights by Irish Residents","2018Q1","4 + Nights","South-West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","4 + Nights","Eastern and Midland","Thousand","183"
"Number of Nights by Irish Residents","2018Q1","4 + Nights","Dublin","Thousand",""
"Number of Nights by Irish Residents","2018Q1","4 + Nights","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2018Q1","4 + Nights","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q2","1 + Nights","State","Thousand","6564"
"Number of Nights by Irish Residents","2018Q2","1 + Nights","Northern and Western","Thousand","1600"
"Number of Nights by Irish Residents","2018Q2","1 + Nights","Border","Thousand",""
"Number of Nights by Irish Residents","2018Q2","1 + Nights","West","Thousand",""
"Number of Nights by Irish Residents","2018Q2","1 + Nights","Southern","Thousand","3227"
"Number of Nights by Irish Residents","2018Q2","1 + Nights","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2018Q2","1 + Nights","South-East","Thousand",""
"Number of Nights by Irish Residents","2018Q2","1 + Nights","South-West","Thousand",""
"Number of Nights by Irish Residents","2018Q2","1 + Nights","Eastern and Midland","Thousand","1737"
"Number of Nights by Irish Residents","2018Q2","1 + Nights","Dublin","Thousand",""
"Number of Nights by Irish Residents","2018Q2","1 + Nights","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2018Q2","1 + Nights","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q2","1 - 3 Nights","State","Thousand","3820"
