"Statistic Label","Quarter","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2005Q4","Self catering/rented house","Outbound","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents","2005Q4","Other","Domestic","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2005Q4","Other","Outbound","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2006Q1","All types of accommodation","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2006Q1","All types of accommodation","Outbound","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2006Q1","Friends/relatives","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2006Q1","Friends/relatives","Outbound","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2006Q1","Hotel/conference centre","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2006Q1","Hotel/conference centre","Outbound","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents","2006Q1","Self catering/rented house","Domestic","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2006Q1","Self catering/rented house","Outbound","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2006Q1","Other","Domestic","Nights per Trip","5.2"
"Average Length of Stay by Irish Residents","2006Q1","Other","Outbound","Nights per Trip","12.6"
"Average Length of Stay by Irish Residents","2006Q2","All types of accommodation","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2006Q2","All types of accommodation","Outbound","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2006Q2","Friends/relatives","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2006Q2","Friends/relatives","Outbound","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2006Q2","Hotel/conference centre","Domestic","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2006Q2","Hotel/conference centre","Outbound","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2006Q2","Self catering/rented house","Domestic","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2006Q2","Self catering/rented house","Outbound","Nights per Trip","10.5"
"Average Length of Stay by Irish Residents","2006Q2","Other","Domestic","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2006Q2","Other","Outbound","Nights per Trip","11.4"
"Average Length of Stay by Irish Residents","2006Q3","All types of accommodation","Domestic","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2006Q3","All types of accommodation","Outbound","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2006Q3","Friends/relatives","Domestic","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2006Q3","Friends/relatives","Outbound","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2006Q3","Hotel/conference centre","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2006Q3","Hotel/conference centre","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2006Q3","Self catering/rented house","Domestic","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2006Q3","Self catering/rented house","Outbound","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents","2006Q3","Other","Domestic","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2006Q3","Other","Outbound","Nights per Trip","11.4"
"Average Length of Stay by Irish Residents","2006Q4","All types of accommodation","Domestic","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2006Q4","All types of accommodation","Outbound","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2006Q4","Friends/relatives","Domestic","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2006Q4","Friends/relatives","Outbound","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2006Q4","Hotel/conference centre","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2006Q4","Hotel/conference centre","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2006Q4","Self catering/rented house","Domestic","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2006Q4","Self catering/rented house","Outbound","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents","2006Q4","Other","Domestic","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2006Q4","Other","Outbound","Nights per Trip","11.4"
"Average Length of Stay by Irish Residents","2007Q1","All types of accommodation","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2007Q1","All types of accommodation","Outbound","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2007Q1","Friends/relatives","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2007Q1","Friends/relatives","Outbound","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2007Q1","Hotel/conference centre","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2007Q1","Hotel/conference centre","Outbound","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2007Q1","Self catering/rented house","Domestic","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2007Q1","Self catering/rented house","Outbound","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2007Q1","Other","Domestic","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2007Q1","Other","Outbound","Nights per Trip","12.8"
"Average Length of Stay by Irish Residents","2007Q2","All types of accommodation","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2007Q2","All types of accommodation","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2007Q2","Friends/relatives","Domestic","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2007Q2","Friends/relatives","Outbound","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2007Q2","Hotel/conference centre","Domestic","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2007Q2","Hotel/conference centre","Outbound","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2007Q2","Self catering/rented house","Domestic","Nights per Trip","5.7"
"Average Length of Stay by Irish Residents","2007Q2","Self catering/rented house","Outbound","Nights per Trip","10.6"
"Average Length of Stay by Irish Residents","2007Q2","Other","Domestic","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2007Q2","Other","Outbound","Nights per Trip","13.4"
"Average Length of Stay by Irish Residents","2007Q3","All types of accommodation","Domestic","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2007Q3","All types of accommodation","Outbound","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2007Q3","Friends/relatives","Domestic","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2007Q3","Friends/relatives","Outbound","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents","2007Q3","Hotel/conference centre","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2007Q3","Hotel/conference centre","Outbound","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2007Q3","Self catering/rented house","Domestic","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2007Q3","Self catering/rented house","Outbound","Nights per Trip","11.1"
"Average Length of Stay by Irish Residents","2007Q3","Other","Domestic","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2007Q3","Other","Outbound","Nights per Trip","13.7"
"Average Length of Stay by Irish Residents","2007Q4","All types of accommodation","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2007Q4","All types of accommodation","Outbound","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2007Q4","Friends/relatives","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2007Q4","Friends/relatives","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2007Q4","Hotel/conference centre","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2007Q4","Hotel/conference centre","Outbound","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2007Q4","Self catering/rented house","Domestic","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2007Q4","Self catering/rented house","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2007Q4","Other","Domestic","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents","2007Q4","Other","Outbound","Nights per Trip","10.5"
"Average Length of Stay by Irish Residents","2008Q1","All types of accommodation","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2008Q1","All types of accommodation","Outbound","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2008Q1","Friends/relatives","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2008Q1","Friends/relatives","Outbound","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2008Q1","Hotel/conference centre","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2008Q1","Hotel/conference centre","Outbound","Nights per Trip","5.2"
"Average Length of Stay by Irish Residents","2008Q1","Self catering/rented house","Domestic","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2008Q1","Self catering/rented house","Outbound","Nights per Trip","10.2"
"Average Length of Stay by Irish Residents","2008Q1","Other","Domestic","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2008Q1","Other","Outbound","Nights per Trip","15.4"
"Average Length of Stay by Irish Residents","2008Q2","All types of accommodation","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2008Q2","All types of accommodation","Outbound","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2008Q2","Friends/relatives","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2008Q2","Friends/relatives","Outbound","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2008Q2","Hotel/conference centre","Domestic","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2008Q2","Hotel/conference centre","Outbound","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2008Q2","Self catering/rented house","Domestic","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2008Q2","Self catering/rented house","Outbound","Nights per Trip","11.3"
"Average Length of Stay by Irish Residents","2008Q2","Other","Domestic","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2008Q2","Other","Outbound","Nights per Trip","12.6"
"Average Length of Stay by Irish Residents","2008Q3","All types of accommodation","Domestic","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2008Q3","All types of accommodation","Outbound","Nights per Trip","9.5"
"Average Length of Stay by Irish Residents","2008Q3","Friends/relatives","Domestic","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2008Q3","Friends/relatives","Outbound","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2008Q3","Hotel/conference centre","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2008Q3","Hotel/conference centre","Outbound","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2008Q3","Self catering/rented house","Domestic","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2008Q3","Self catering/rented house","Outbound","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents","2008Q3","Other","Domestic","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2008Q3","Other","Outbound","Nights per Trip","14.6"
"Average Length of Stay by Irish Residents","2008Q4","All types of accommodation","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2008Q4","All types of accommodation","Outbound","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2008Q4","Friends/relatives","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2008Q4","Friends/relatives","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2008Q4","Hotel/conference centre","Domestic","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2008Q4","Hotel/conference centre","Outbound","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents","2008Q4","Self catering/rented house","Domestic","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2008Q4","Self catering/rented house","Outbound","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2008Q4","Other","Domestic","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2008Q4","Other","Outbound","Nights per Trip","13"
"Average Length of Stay by Irish Residents","2009Q1","All types of accommodation","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2009Q1","All types of accommodation","Outbound","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2009Q1","Friends/relatives","Domestic","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2009Q1","Friends/relatives","Outbound","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2009Q1","Hotel/conference centre","Domestic","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2009Q1","Hotel/conference centre","Outbound","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2009Q1","Self catering/rented house","Domestic","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2009Q1","Self catering/rented house","Outbound","Nights per Trip","10.4"
"Average Length of Stay by Irish Residents","2009Q1","Other","Domestic","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2009Q1","Other","Outbound","Nights per Trip","11"
"Average Length of Stay by Irish Residents","2009Q2","All types of accommodation","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2009Q2","All types of accommodation","Outbound","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2009Q2","Friends/relatives","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2009Q2","Friends/relatives","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2009Q2","Hotel/conference centre","Domestic","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2009Q2","Hotel/conference centre","Outbound","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2009Q2","Self catering/rented house","Domestic","Nights per Trip","5.2"
"Average Length of Stay by Irish Residents","2009Q2","Self catering/rented house","Outbound","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents","2009Q2","Other","Domestic","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2009Q2","Other","Outbound","Nights per Trip","17.9"
"Average Length of Stay by Irish Residents","2009Q3","All types of accommodation","Domestic","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2009Q3","All types of accommodation","Outbound","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2009Q3","Friends/relatives","Domestic","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2009Q3","Friends/relatives","Outbound","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2009Q3","Hotel/conference centre","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2009Q3","Hotel/conference centre","Outbound","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2009Q3","Self catering/rented house","Domestic","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2009Q3","Self catering/rented house","Outbound","Nights per Trip","10.9"
"Average Length of Stay by Irish Residents","2009Q3","Other","Domestic","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2009Q3","Other","Outbound","Nights per Trip","12.1"
"Average Length of Stay by Irish Residents","2009Q4","All types of accommodation","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2009Q4","All types of accommodation","Outbound","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2009Q4","Friends/relatives","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2009Q4","Friends/relatives","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2009Q4","Hotel/conference centre","Domestic","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2009Q4","Hotel/conference centre","Outbound","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2009Q4","Self catering/rented house","Domestic","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents","2009Q4","Self catering/rented house","Outbound","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents","2009Q4","Other","Domestic","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2009Q4","Other","Outbound","Nights per Trip","9.8"
"Average Length of Stay by Irish Residents","2012Q1","All types of accommodation","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2012Q1","All types of accommodation","Outbound","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2012Q1","Friends/relatives","Domestic","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2012Q1","Friends/relatives","Outbound","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2012Q1","Hotel/conference centre","Domestic","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents","2012Q1","Hotel/conference centre","Outbound","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2012Q1","Self catering/rented house","Domestic","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2012Q1","Self catering/rented house","Outbound","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2012Q1","Other","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2012Q1","Other","Outbound","Nights per Trip","10.5"
"Average Length of Stay by Irish Residents","2012Q2","All types of accommodation","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2012Q2","All types of accommodation","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2012Q2","Friends/relatives","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2012Q2","Friends/relatives","Outbound","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2012Q2","Hotel/conference centre","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2012Q2","Hotel/conference centre","Outbound","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents","2012Q2","Self catering/rented house","Domestic","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents","2012Q2","Self catering/rented house","Outbound","Nights per Trip","9.7"
"Average Length of Stay by Irish Residents","2012Q2","Other","Domestic","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2012Q2","Other","Outbound","Nights per Trip","9.8"
"Average Length of Stay by Irish Residents","2012Q3","All types of accommodation","Domestic","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2012Q3","All types of accommodation","Outbound","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents","2012Q3","Friends/relatives","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2012Q3","Friends/relatives","Outbound","Nights per Trip","11.3"
"Average Length of Stay by Irish Residents","2012Q3","Hotel/conference centre","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2012Q3","Hotel/conference centre","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2012Q3","Self catering/rented house","Domestic","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2012Q3","Self catering/rented house","Outbound","Nights per Trip","12"
"Average Length of Stay by Irish Residents","2012Q3","Other","Domestic","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents","2012Q3","Other","Outbound","Nights per Trip","12.8"
"Average Length of Stay by Irish Residents","2012Q4","All types of accommodation","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2012Q4","All types of accommodation","Outbound","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2012Q4","Friends/relatives","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2012Q4","Friends/relatives","Outbound","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2012Q4","Hotel/conference centre","Domestic","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2012Q4","Hotel/conference centre","Outbound","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2012Q4","Self catering/rented house","Domestic","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2012Q4","Self catering/rented house","Outbound","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2012Q4","Other","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2012Q4","Other","Outbound","Nights per Trip","10.2"
"Average Length of Stay by Irish Residents","2013Q1","All types of accommodation","Domestic","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2013Q1","All types of accommodation","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2013Q1","Friends/relatives","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2013Q1","Friends/relatives","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2013Q1","Hotel/conference centre","Domestic","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents","2013Q1","Hotel/conference centre","Outbound","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2013Q1","Self catering/rented house","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2013Q1","Self catering/rented house","Outbound","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents","2013Q1","Other","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2013Q1","Other","Outbound","Nights per Trip","10.6"
"Average Length of Stay by Irish Residents","2013Q2","All types of accommodation","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2013Q2","All types of accommodation","Outbound","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2013Q2","Friends/relatives","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2013Q2","Friends/relatives","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2013Q2","Hotel/conference centre","Domestic","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2013Q2","Hotel/conference centre","Outbound","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2013Q2","Self catering/rented house","Domestic","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2013Q2","Self catering/rented house","Outbound","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents","2013Q2","Other","Domestic","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2013Q2","Other","Outbound","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2013Q3","All types of accommodation","Domestic","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2013Q3","All types of accommodation","Outbound","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents","2013Q3","Friends/relatives","Domestic","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2013Q3","Friends/relatives","Outbound","Nights per Trip","10"
"Average Length of Stay by Irish Residents","2013Q3","Hotel/conference centre","Domestic","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2013Q3","Hotel/conference centre","Outbound","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2013Q3","Self catering/rented house","Domestic","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2013Q3","Self catering/rented house","Outbound","Nights per Trip","13.2"
"Average Length of Stay by Irish Residents","2013Q3","Other","Domestic","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2013Q3","Other","Outbound","Nights per Trip","12.8"
"Average Length of Stay by Irish Residents","2013Q4","All types of accommodation","Domestic","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2013Q4","All types of accommodation","Outbound","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2013Q4","Friends/relatives","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2013Q4","Friends/relatives","Outbound","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2013Q4","Hotel/conference centre","Domestic","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents","2013Q4","Hotel/conference centre","Outbound","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2013Q4","Self catering/rented house","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2013Q4","Self catering/rented house","Outbound","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents","2013Q4","Other","Domestic","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2013Q4","Other","Outbound","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents","2014Q1","All types of accommodation","Domestic","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2014Q1","All types of accommodation","Outbound","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2014Q1","Friends/relatives","Domestic","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2014Q1","Friends/relatives","Outbound","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2014Q1","Hotel/conference centre","Domestic","Nights per Trip","1.7"
"Average Length of Stay by Irish Residents","2014Q1","Hotel/conference centre","Outbound","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2014Q1","Self catering/rented house","Domestic","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2014Q1","Self catering/rented house","Outbound","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents","2014Q1","Other","Domestic","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2014Q1","Other","Outbound","Nights per Trip","9.5"
"Average Length of Stay by Irish Residents","2014Q2","All types of accommodation","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2014Q2","All types of accommodation","Outbound","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2014Q2","Friends/relatives","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2014Q2","Friends/relatives","Outbound","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2014Q2","Hotel/conference centre","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2014Q2","Hotel/conference centre","Outbound","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2014Q2","Self catering/rented house","Domestic","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2014Q2","Self catering/rented house","Outbound","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents","2014Q2","Other","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2014Q2","Other","Outbound","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents","2014Q3","All types of accommodation","Domestic","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2014Q3","All types of accommodation","Outbound","Nights per Trip","10.1"
"Average Length of Stay by Irish Residents","2014Q3","Friends/relatives","Domestic","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2014Q3","Friends/relatives","Outbound","Nights per Trip","11.5"
"Average Length of Stay by Irish Residents","2014Q3","Hotel/conference centre","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2014Q3","Hotel/conference centre","Outbound","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2014Q3","Self catering/rented house","Domestic","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2014Q3","Self catering/rented house","Outbound","Nights per Trip","13.4"
"Average Length of Stay by Irish Residents","2014Q3","Other","Domestic","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2014Q3","Other","Outbound","Nights per Trip","12.2"
"Average Length of Stay by Irish Residents","2014Q4","All types of accommodation","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2014Q4","All types of accommodation","Outbound","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2014Q4","Friends/relatives","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2014Q4","Friends/relatives","Outbound","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2014Q4","Hotel/conference centre","Domestic","Nights per Trip","1.7"
"Average Length of Stay by Irish Residents","2014Q4","Hotel/conference centre","Outbound","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2014Q4","Self catering/rented house","Domestic","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2014Q4","Self catering/rented house","Outbound","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2014Q4","Other","Domestic","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2014Q4","Other","Outbound","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents","2015Q1","All types of accommodation","Domestic","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2015Q1","All types of accommodation","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2015Q1","Friends/relatives","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2015Q1","Friends/relatives","Outbound","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2015Q1","Hotel/conference centre","Domestic","Nights per Trip","1.7"
