"Statistic Label","Quarter","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2005Q3","Friends/relatives","Domestic","Thousand","626"
"Number of Trips by Irish Residents","2005Q3","Friends/relatives","Outbound","Thousand","395"
"Number of Trips by Irish Residents","2005Q3","Hotel/conference centre","Domestic","Thousand","735"
"Number of Trips by Irish Residents","2005Q3","Hotel/conference centre","Outbound","Thousand","743"
"Number of Trips by Irish Residents","2005Q3","Self catering/rented house","Domestic","Thousand","304"
"Number of Trips by Irish Residents","2005Q3","Self catering/rented house","Outbound","Thousand","461"
"Number of Trips by Irish Residents","2005Q3","Other","Domestic","Thousand","106"
"Number of Trips by Irish Residents","2005Q3","Other","Outbound","Thousand","95"
"Number of Trips by Irish Residents","2005Q4","All types of accommodation","Domestic","Thousand","1678"
"Number of Trips by Irish Residents","2005Q4","All types of accommodation","Outbound","Thousand","1355"
"Number of Trips by Irish Residents","2005Q4","Friends/relatives","Domestic","Thousand","715"
"Number of Trips by Irish Residents","2005Q4","Friends/relatives","Outbound","Thousand","402"
"Number of Trips by Irish Residents","2005Q4","Hotel/conference centre","Domestic","Thousand","659"
"Number of Trips by Irish Residents","2005Q4","Hotel/conference centre","Outbound","Thousand","696"
"Number of Trips by Irish Residents","2005Q4","Self catering/rented house","Domestic","Thousand","61"
"Number of Trips by Irish Residents","2005Q4","Self catering/rented house","Outbound","Thousand","138"
"Number of Trips by Irish Residents","2005Q4","Other","Domestic","Thousand","54"
"Number of Trips by Irish Residents","2005Q4","Other","Outbound","Thousand","30"
"Number of Trips by Irish Residents","2006Q1","All types of accommodation","Domestic","Thousand","1457"
"Number of Trips by Irish Residents","2006Q1","All types of accommodation","Outbound","Thousand","1397"
"Number of Trips by Irish Residents","2006Q1","Friends/relatives","Domestic","Thousand","515"
"Number of Trips by Irish Residents","2006Q1","Friends/relatives","Outbound","Thousand","344"
"Number of Trips by Irish Residents","2006Q1","Hotel/conference centre","Domestic","Thousand","661"
"Number of Trips by Irish Residents","2006Q1","Hotel/conference centre","Outbound","Thousand","737"
"Number of Trips by Irish Residents","2006Q1","Self catering/rented house","Domestic","Thousand","46"
"Number of Trips by Irish Residents","2006Q1","Self catering/rented house","Outbound","Thousand","152"
"Number of Trips by Irish Residents","2006Q1","Other","Domestic","Thousand","42"
"Number of Trips by Irish Residents","2006Q1","Other","Outbound","Thousand","44"
"Number of Trips by Irish Residents","2006Q2","All types of accommodation","Domestic","Thousand","1721"
"Number of Trips by Irish Residents","2006Q2","All types of accommodation","Outbound","Thousand","1850"
"Number of Trips by Irish Residents","2006Q2","Friends/relatives","Domestic","Thousand","628"
"Number of Trips by Irish Residents","2006Q2","Friends/relatives","Outbound","Thousand","379"
"Number of Trips by Irish Residents","2006Q2","Hotel/conference centre","Domestic","Thousand","602"
"Number of Trips by Irish Residents","2006Q2","Hotel/conference centre","Outbound","Thousand","838"
"Number of Trips by Irish Residents","2006Q2","Self catering/rented house","Domestic","Thousand","104"
"Number of Trips by Irish Residents","2006Q2","Self catering/rented house","Outbound","Thousand","380"
"Number of Trips by Irish Residents","2006Q2","Other","Domestic","Thousand","64"
"Number of Trips by Irish Residents","2006Q2","Other","Outbound","Thousand","66"
"Number of Trips by Irish Residents","2006Q3","All types of accommodation","Domestic","Thousand","2301"
"Number of Trips by Irish Residents","2006Q3","All types of accommodation","Outbound","Thousand","2174"
"Number of Trips by Irish Residents","2006Q3","Friends/relatives","Domestic","Thousand","631"
"Number of Trips by Irish Residents","2006Q3","Friends/relatives","Outbound","Thousand","454"
"Number of Trips by Irish Residents","2006Q3","Hotel/conference centre","Domestic","Thousand","817"
"Number of Trips by Irish Residents","2006Q3","Hotel/conference centre","Outbound","Thousand","852"
"Number of Trips by Irish Residents","2006Q3","Self catering/rented house","Domestic","Thousand","257"
"Number of Trips by Irish Residents","2006Q3","Self catering/rented house","Outbound","Thousand","506"
"Number of Trips by Irish Residents","2006Q3","Other","Domestic","Thousand","73"
"Number of Trips by Irish Residents","2006Q3","Other","Outbound","Thousand","87"
"Number of Trips by Irish Residents","2006Q4","All types of accommodation","Domestic","Thousand","2301"
"Number of Trips by Irish Residents","2006Q4","All types of accommodation","Outbound","Thousand","2174"
"Number of Trips by Irish Residents","2006Q4","Friends/relatives","Domestic","Thousand","631"
"Number of Trips by Irish Residents","2006Q4","Friends/relatives","Outbound","Thousand","454"
"Number of Trips by Irish Residents","2006Q4","Hotel/conference centre","Domestic","Thousand","817"
"Number of Trips by Irish Residents","2006Q4","Hotel/conference centre","Outbound","Thousand","852"
"Number of Trips by Irish Residents","2006Q4","Self catering/rented house","Domestic","Thousand","257"
"Number of Trips by Irish Residents","2006Q4","Self catering/rented house","Outbound","Thousand","506"
"Number of Trips by Irish Residents","2006Q4","Other","Domestic","Thousand","73"
"Number of Trips by Irish Residents","2006Q4","Other","Outbound","Thousand","87"
"Number of Trips by Irish Residents","2007Q1","All types of accommodation","Domestic","Thousand","1579"
"Number of Trips by Irish Residents","2007Q1","All types of accommodation","Outbound","Thousand","1580"
"Number of Trips by Irish Residents","2007Q1","Friends/relatives","Domestic","Thousand","570"
"Number of Trips by Irish Residents","2007Q1","Friends/relatives","Outbound","Thousand","360"
"Number of Trips by Irish Residents","2007Q1","Hotel/conference centre","Domestic","Thousand","736"
"Number of Trips by Irish Residents","2007Q1","Hotel/conference centre","Outbound","Thousand","843"
"Number of Trips by Irish Residents","2007Q1","Self catering/rented house","Domestic","Thousand","57"
"Number of Trips by Irish Residents","2007Q1","Self catering/rented house","Outbound","Thousand","178"
"Number of Trips by Irish Residents","2007Q1","Other","Domestic","Thousand","26"
"Number of Trips by Irish Residents","2007Q1","Other","Outbound","Thousand","57"
"Number of Trips by Irish Residents","2007Q2","All types of accommodation","Domestic","Thousand","1983"
"Number of Trips by Irish Residents","2007Q2","All types of accommodation","Outbound","Thousand","2073"
"Number of Trips by Irish Residents","2007Q2","Friends/relatives","Domestic","Thousand","587"
"Number of Trips by Irish Residents","2007Q2","Friends/relatives","Outbound","Thousand","416"
"Number of Trips by Irish Residents","2007Q2","Hotel/conference centre","Domestic","Thousand","780"
"Number of Trips by Irish Residents","2007Q2","Hotel/conference centre","Outbound","Thousand","943"
"Number of Trips by Irish Residents","2007Q2","Self catering/rented house","Domestic","Thousand","143"
"Number of Trips by Irish Residents","2007Q2","Self catering/rented house","Outbound","Thousand","422"
"Number of Trips by Irish Residents","2007Q2","Other","Domestic","Thousand","56"
"Number of Trips by Irish Residents","2007Q2","Other","Outbound","Thousand","66"
"Number of Trips by Irish Residents","2007Q3","All types of accommodation","Domestic","Thousand","2448"
"Number of Trips by Irish Residents","2007Q3","All types of accommodation","Outbound","Thousand","2387"
"Number of Trips by Irish Residents","2007Q3","Friends/relatives","Domestic","Thousand","712"
"Number of Trips by Irish Residents","2007Q3","Friends/relatives","Outbound","Thousand","489"
"Number of Trips by Irish Residents","2007Q3","Hotel/conference centre","Domestic","Thousand","861"
"Number of Trips by Irish Residents","2007Q3","Hotel/conference centre","Outbound","Thousand","924"
"Number of Trips by Irish Residents","2007Q3","Self catering/rented house","Domestic","Thousand","294"
"Number of Trips by Irish Residents","2007Q3","Self catering/rented house","Outbound","Thousand","578"
"Number of Trips by Irish Residents","2007Q3","Other","Domestic","Thousand","95"
"Number of Trips by Irish Residents","2007Q3","Other","Outbound","Thousand","89"
"Number of Trips by Irish Residents","2007Q4","All types of accommodation","Domestic","Thousand","1932"
"Number of Trips by Irish Residents","2007Q4","All types of accommodation","Outbound","Thousand","1790"
"Number of Trips by Irish Residents","2007Q4","Friends/relatives","Domestic","Thousand","784"
"Number of Trips by Irish Residents","2007Q4","Friends/relatives","Outbound","Thousand","457"
"Number of Trips by Irish Residents","2007Q4","Hotel/conference centre","Domestic","Thousand","824"
"Number of Trips by Irish Residents","2007Q4","Hotel/conference centre","Outbound","Thousand","960"
"Number of Trips by Irish Residents","2007Q4","Self catering/rented house","Domestic","Thousand","63"
"Number of Trips by Irish Residents","2007Q4","Self catering/rented house","Outbound","Thousand","207"
"Number of Trips by Irish Residents","2007Q4","Other","Domestic","Thousand","41"
"Number of Trips by Irish Residents","2007Q4","Other","Outbound","Thousand","46"
"Number of Trips by Irish Residents","2008Q1","All types of accommodation","Domestic","Thousand","1851"
"Number of Trips by Irish Residents","2008Q1","All types of accommodation","Outbound","Thousand","1800"
"Number of Trips by Irish Residents","2008Q1","Friends/relatives","Domestic","Thousand","671"
"Number of Trips by Irish Residents","2008Q1","Friends/relatives","Outbound","Thousand","421"
"Number of Trips by Irish Residents","2008Q1","Hotel/conference centre","Domestic","Thousand","819"
"Number of Trips by Irish Residents","2008Q1","Hotel/conference centre","Outbound","Thousand","940"
"Number of Trips by Irish Residents","2008Q1","Self catering/rented house","Domestic","Thousand","67"
"Number of Trips by Irish Residents","2008Q1","Self catering/rented house","Outbound","Thousand","234"
"Number of Trips by Irish Residents","2008Q1","Other","Domestic","Thousand","43"
"Number of Trips by Irish Residents","2008Q1","Other","Outbound","Thousand","55"
"Number of Trips by Irish Residents","2008Q2","All types of accommodation","Domestic","Thousand","1867"
