DATAFLOW,LAST UPDATE,freq,unit,meatitem,meat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EL,2015,41.92,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EL,2016,40.17,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EL,2017,44.11,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EL,2018,39.63,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EL,2019,33.46,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EL,2020,34.73,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EL,2021,33.04,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EL,2022,35.53,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EL,2023,35.68,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,ES,2012,591.38,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,ES,2013,580.84,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,ES,2014,578.60,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,ES,2015,626.10,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,ES,2016,637.01,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,ES,2017,643.86,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,ES,2018,669.01,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,ES,2019,695.17,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,ES,2020,677.74,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,ES,2021,717.88,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,ES,2022,731.53,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,ES,2023,694.87,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EU27_2020,2012,6696.96,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EU27_2020,2013,6420.31,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EU27_2020,2014,,c
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EU27_2020,2015,6701.96,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EU27_2020,2016,6886.28,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EU27_2020,2017,6894.94,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EU27_2020,2018,7008.99,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EU27_2020,2019,6907.98,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EU27_2020,2020,6822.29,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EU27_2020,2021,6801.91,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EU27_2020,2022,6640.26,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EU27_2020,2023,6375.60,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FI,2012,80.37,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FI,2013,80.42,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FI,2014,82.32,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FI,2015,85.76,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FI,2016,86.37,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FI,2017,85.39,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FI,2018,86.48,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,FI,2019,87.18,
