freq,animals,month,unit,geo\TIME_PERIOD	1959 	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,A2000,M12,THS_HD,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	499.69 	505.77 e	496.99 p	475.22 	467.32 	415.61 	362.58 	336.78 	297.66 	: 
A,A2000,M12,THS_HD,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2333.89 	2328.52 	2325.83 	2271.95 	2197.94 	2171.68 	2152.81 	2155.45 	2118.45 	2066.94 	2052.03 	2050.99 	2010.68 	2002.92 	2000.20 	1997.21 	2026.26 	2013.28 	1976.53 	1955.62 	1958.28 	1961.20 	1957.61 	1954.39 	1943.48 	1912.81 	1879.52 	1855.43 	1870.10 	1861.07 	1835.47 
A,A2000,M12,THS_HD,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	462.00 	455.00 e	446.00 e	447.00 e	444.00 e	455.00 e	455.00 e	445.00 e	438.00 	430.00 e	427.00 e	339.51 	339.15 	: 
A,A2000,M12,THS_HD,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2896.00 	2889.00 	2805.00 	2823.00 	2823.24 	2869.90 	2893.90 	2896.75 	2858.90 	2896.07 	2957.00 	2988.68 	2944.17 	2967.38 	2950.20 	2966.79 	3049.28 	3146.32 	3105.51 	3099.59 	3084.22 	3161.13 	3158.69 	3070.80 	2978.44 	2984.43 	2970.43 	3001.06 	2907.72 	2758.46 	2684.07 	2656.87 	2603.56 	2606.90 	2573.35 	2538.30 	2535.44 	2509.54 	2471.60 	2438.18 	2441.32 	2477.24 	2503.26 	2501.35 	2385.99 	2398.09 	2373.10 	2335.44 	2310.44 	2286.11 	2235.65 p
A,A2000,M12,THS_HD,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1673.00 	1637.00 	1598.00 	1482.00 	1336.00 	996.00 	768.00 	652.00 	645.00 	593.00 	622.30 	681.70 	690.90 	652.20 	641.10 	699.00 	736.20 	679.55 	630.00 	636.52 	611.02 	574.13 	547.87 	553.70 	567.53 	535.32 	585.55 	562.36 	561.04 	570.14 	552.92 p	542.12 	527.19 	588.91 	611.20 	579.86 	574.09 p
A,A2000,M12,THS_HD,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1567.14 	1560.09 	1560.73 	1540.24 	1528.92 	1518.16 	1529.76 	1536.19 	1532.60 
A,A2000,M12,THS_HD,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44.50 	46.00 	49.30 	54.70 	55.00 	55.80 	61.10 	64.40 	68.10 	70.00 	62.40 	55.74 	53.96 	53.98 	53.43 	58.16 	58.65 	60.31 	57.58 	56.11 	55.92 	55.59 	54.10 	54.72 	56.92 	56.92 	57.08 	59.54 	58.86 	63.14 	67.03 	70.82 	73.97 	83.03 	84.61 	81.44 	82.27 
A,A2000,M12,THS_HD,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3467.00 	3481.00 	3506.00 	3360.00 	2950.00 	2512.00 	2161.00 	2030.00 	1989.00 	1866.00 	1701.00 	1657.00 	1574.00 	1582.00 	1520.00 	1462.00 	1427.00 	1367.60 	1351.60 	1389.60 	1366.71 	1357.80 	1355.58 	1319.41 	1339.48 	1321.06 	1332.08 	1373.07 	1366.33 	1339.60 	1366.36 	1365.24 	1367.05 	1340.04 	1359.42 	1390.49 	1369.59 
A,A2000,M12,THS_HD,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19488.08 	17133.80 	16207.34 	15896.62 	15962.23 	15889.93 	15759.50 	15227.16 	14942.02 	14657.90 	14567.74 	14226.64 	13731.96 	13385.77 	13031.34 	12918.64 	12676.75 	12707.30 	12987.54 	12897.17 	12706.23 	12527.84 	12506.77 	12685.99 	12742.19 	12635.46 	12466.59 	12281.20 	11949.09 	11639.53 	11301.86 	11039.66 	10996.96 	10836.20 
A,A2000,M12,THS_HD,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2956.00 	3145.00 	3055.00 	3064.00 	3055.00 	3052.00 	2944.00 	2921.00 	2890.00 	2857.00 	2876.00 	2704.00 	2623.00 	2490.00 	2323.00 	2230.00 	2232.00 	2241.00 	2222.00 	2180.00 	2115.00 	2082.00 	2094.00 	2052.00 	2026.00 	1968.00 	1976.00 	1891.00 	1840.00 	1740.00 	1681.00 	1616.00 	1572.00 	1579.00 	1545.00 	1599.00 	1621.00 	1630.00 	1612.00 	1607.00 	1583.00 	1553.00 	1566.00 	1554.00 	1558.00 	1530.00 	1500.00 	1500.00 	1480.00 	1466.00 	1434.87 
