"Statistic Label","Month","Main Reason for Travel","UNIT","VALUE"
"Number of Nights by Foreign Visitors","2023 September","Other reason for journey","Thousand","345.3"
"Number of Nights by Foreign Visitors","2023 September","All reasons for journey","Thousand","4649.8"
"Number of Nights by Foreign Visitors","2023 October","Business","Thousand","527.6"
"Number of Nights by Foreign Visitors","2023 October","Holiday/leisure/recreation","Thousand","1766.1"
"Number of Nights by Foreign Visitors","2023 October","Visit to friends/relatives","Thousand","1351.1"
"Number of Nights by Foreign Visitors","2023 October","Other reason for journey","Thousand","313.5"
"Number of Nights by Foreign Visitors","2023 October","All reasons for journey","Thousand","3958.2"
"Number of Nights by Foreign Visitors","2023 November","Business","Thousand","463.3"
"Number of Nights by Foreign Visitors","2023 November","Holiday/leisure/recreation","Thousand","920.2"
"Number of Nights by Foreign Visitors","2023 November","Visit to friends/relatives","Thousand","1303.6"
"Number of Nights by Foreign Visitors","2023 November","Other reason for journey","Thousand","395.2"
"Number of Nights by Foreign Visitors","2023 November","All reasons for journey","Thousand","3082.3"
"Number of Nights by Foreign Visitors","2023 December","Business","Thousand","675.8"
"Number of Nights by Foreign Visitors","2023 December","Holiday/leisure/recreation","Thousand","724.6"
"Number of Nights by Foreign Visitors","2023 December","Visit to friends/relatives","Thousand","1172.9"
"Number of Nights by Foreign Visitors","2023 December","Other reason for journey","Thousand","1931"
"Number of Nights by Foreign Visitors","2023 December","All reasons for journey","Thousand","4504.3"
"Number of Nights by Foreign Visitors","2024 January","Business","Thousand","267.7"
"Number of Nights by Foreign Visitors","2024 January","Holiday/leisure/recreation","Thousand","910.4"
"Number of Nights by Foreign Visitors","2024 January","Visit to friends/relatives","Thousand","2205.5"
"Number of Nights by Foreign Visitors","2024 January","Other reason for journey","Thousand","430.2"
"Number of Nights by Foreign Visitors","2024 January","All reasons for journey","Thousand","3813.8"
"Percentage of Nights by Foreign Visitors","2023 April","Business","%","16.5"
"Percentage of Nights by Foreign Visitors","2023 April","Holiday/leisure/recreation","%","26.8"
"Percentage of Nights by Foreign Visitors","2023 April","Visit to friends/relatives","%","38.4"
