"Statistic Label","Month","Main Accommodation Type","UNIT","VALUE"
"Number of Nights by Foreign Visitors","2023 September","Self catering/rented house","Thousand","334.6"
"Number of Nights by Foreign Visitors","2023 September","Other private tourism accommodation n.e.c.","Thousand","359.1"
"Number of Nights by Foreign Visitors","2023 September","All types of accommodation","Thousand","4649.8"
"Number of Nights by Foreign Visitors","2023 October","Hotel/conference centre","Thousand","1299.5"
"Number of Nights by Foreign Visitors","2023 October","Guest house/bed & breakfast","Thousand","200.1"
"Number of Nights by Foreign Visitors","2023 October","Friends/relatives/own property","Thousand","1755.4"
"Number of Nights by Foreign Visitors","2023 October","Self catering/rented house","Thousand","311"
"Number of Nights by Foreign Visitors","2023 October","Other private tourism accommodation n.e.c.","Thousand","392.2"
"Number of Nights by Foreign Visitors","2023 October","All types of accommodation","Thousand","3958.2"
"Number of Nights by Foreign Visitors","2023 November","Hotel/conference centre","Thousand","819"
"Number of Nights by Foreign Visitors","2023 November","Guest house/bed & breakfast","Thousand","89.4"
"Number of Nights by Foreign Visitors","2023 November","Friends/relatives/own property","Thousand","1533.1"
"Number of Nights by Foreign Visitors","2023 November","Self catering/rented house","Thousand","244.2"
"Number of Nights by Foreign Visitors","2023 November","Other private tourism accommodation n.e.c.","Thousand","396.7"
"Number of Nights by Foreign Visitors","2023 November","All types of accommodation","Thousand","3082.3"
"Number of Nights by Foreign Visitors","2023 December","Hotel/conference centre","Thousand","716.8"
"Number of Nights by Foreign Visitors","2023 December","Guest house/bed & breakfast","Thousand","74.2"
"Number of Nights by Foreign Visitors","2023 December","Friends/relatives/own property","Thousand","1482.2"
"Number of Nights by Foreign Visitors","2023 December","Self catering/rented house","Thousand","356.1"
"Number of Nights by Foreign Visitors","2023 December","Other private tourism accommodation n.e.c.","Thousand","1875.1"
"Number of Nights by Foreign Visitors","2023 December","All types of accommodation","Thousand","4504.3"
"Number of Nights by Foreign Visitors","2024 January","Hotel/conference centre","Thousand","571.2"
"Number of Nights by Foreign Visitors","2024 January","Guest house/bed & breakfast","Thousand","61.3"
"Number of Nights by Foreign Visitors","2024 January","Friends/relatives/own property","Thousand","2684.4"
"Number of Nights by Foreign Visitors","2024 January","Self catering/rented house","Thousand","239.4"
"Number of Nights by Foreign Visitors","2024 January","Other private tourism accommodation n.e.c.","Thousand","257.5"
"Number of Nights by Foreign Visitors","2024 January","All types of accommodation","Thousand","3813.8"
"Percentage of Nights by Foreign Visitors","2023 April","Hotel/conference centre","%","21.9"
"Percentage of Nights by Foreign Visitors","2023 April","Guest house/bed & breakfast","%","2.4"
"Percentage of Nights by Foreign Visitors","2023 April","Friends/relatives/own property","%","51.9"
"Percentage of Nights by Foreign Visitors","2023 April","Self catering/rented house","%","10.6"
"Percentage of Nights by Foreign Visitors","2023 April","Other private tourism accommodation n.e.c.","%","13.2"
"Percentage of Nights by Foreign Visitors","2023 April","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 May","Hotel/conference centre","%","25.6"
"Percentage of Nights by Foreign Visitors","2023 May","Guest house/bed & breakfast","%","3.8"
