"Statistic Label","Month","Residency","UNIT","VALUE"
"Percentage of Nights by Foreign Visitors","2023 September","USA & Canada","%","23.9"
"Percentage of Nights by Foreign Visitors","2023 September","Other Residencies","%","15"
"Percentage of Nights by Foreign Visitors","2023 September","All Residencies","%","100"
"Percentage of Nights by Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","%","23"
"Percentage of Nights by Foreign Visitors","2023 October","Other Europe (3)","%","33.6"
"Percentage of Nights by Foreign Visitors","2023 October","USA & Canada","%","29.6"
"Percentage of Nights by Foreign Visitors","2023 October","Other Residencies","%","13.8"
"Percentage of Nights by Foreign Visitors","2023 October","All Residencies","%","100"
"Percentage of Nights by Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","%","24.2"
"Percentage of Nights by Foreign Visitors","2023 November","Other Europe (3)","%","37.5"
"Percentage of Nights by Foreign Visitors","2023 November","USA & Canada","%","22.7"
"Percentage of Nights by Foreign Visitors","2023 November","Other Residencies","%","15.5"
"Percentage of Nights by Foreign Visitors","2023 November","All Residencies","%","100"
"Percentage of Nights by Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","%","20.8"
"Percentage of Nights by Foreign Visitors","2023 December","Other Europe (3)","%","48.9"
"Percentage of Nights by Foreign Visitors","2023 December","USA & Canada","%","17.7"
"Percentage of Nights by Foreign Visitors","2023 December","Other Residencies","%","12.6"
"Percentage of Nights by Foreign Visitors","2023 December","All Residencies","%","100"
"Percentage of Nights by Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","%","28.1"
"Percentage of Nights by Foreign Visitors","2024 January","Other Europe (3)","%","39.1"
"Percentage of Nights by Foreign Visitors","2024 January","USA & Canada","%","15.2"
"Percentage of Nights by Foreign Visitors","2024 January","Other Residencies","%","17.7"
"Percentage of Nights by Foreign Visitors","2024 January","All Residencies","%","100"
"Average Length of Stay of Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Nights per trip","5.7"
"Average Length of Stay of Foreign Visitors","2023 April","Other Europe (3)","Nights per trip","9.2"
"Average Length of Stay of Foreign Visitors","2023 April","USA & Canada","Nights per trip","9.1"
"Average Length of Stay of Foreign Visitors","2023 April","Other Residencies","Nights per trip","14.8"
"Average Length of Stay of Foreign Visitors","2023 April","All Residencies","Nights per trip","7.9"
"Average Length of Stay of Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Nights per trip","4.5"
"Average Length of Stay of Foreign Visitors","2023 May","Other Europe (3)","Nights per trip","9.5"
"Average Length of Stay of Foreign Visitors","2023 May","USA & Canada","Nights per trip","8.4"
"Average Length of Stay of Foreign Visitors","2023 May","Other Residencies","Nights per trip","16.5"
"Average Length of Stay of Foreign Visitors","2023 May","All Residencies","Nights per trip","7.8"
"Average Length of Stay of Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Nights per trip","4.9"
"Average Length of Stay of Foreign Visitors","2023 June","Other Europe (3)","Nights per trip","8.7"
"Average Length of Stay of Foreign Visitors","2023 June","USA & Canada","Nights per trip","8.2"
"Average Length of Stay of Foreign Visitors","2023 June","Other Residencies","Nights per trip","10.9"
"Average Length of Stay of Foreign Visitors","2023 June","All Residencies","Nights per trip","7.3"
"Average Length of Stay of Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Nights per trip","5.3"
"Average Length of Stay of Foreign Visitors","2023 July","Other Europe (3)","Nights per trip","10.8"
"Average Length of Stay of Foreign Visitors","2023 July","USA & Canada","Nights per trip","8.6"
"Average Length of Stay of Foreign Visitors","2023 July","Other Residencies","Nights per trip","19.7"
"Average Length of Stay of Foreign Visitors","2023 July","All Residencies","Nights per trip","8.7"
"Average Length of Stay of Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Nights per trip","7"
"Average Length of Stay of Foreign Visitors","2023 August","Other Europe (3)","Nights per trip","12"
"Average Length of Stay of Foreign Visitors","2023 August","USA & Canada","Nights per trip","8.6"
"Average Length of Stay of Foreign Visitors","2023 August","Other Residencies","Nights per trip","20.8"
"Average Length of Stay of Foreign Visitors","2023 August","All Residencies","Nights per trip","9.9"
"Average Length of Stay of Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Nights per trip","6"
"Average Length of Stay of Foreign Visitors","2023 September","Other Europe (3)","Nights per trip","8.1"
"Average Length of Stay of Foreign Visitors","2023 September","USA & Canada","Nights per trip","7.9"
"Average Length of Stay of Foreign Visitors","2023 September","Other Residencies","Nights per trip","18.1"
"Average Length of Stay of Foreign Visitors","2023 September","All Residencies","Nights per trip","8"
"Average Length of Stay of Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Nights per trip","4.4"
"Average Length of Stay of Foreign Visitors","2023 October","Other Europe (3)","Nights per trip","6.6"
"Average Length of Stay of Foreign Visitors","2023 October","USA & Canada","Nights per trip","8.3"
"Average Length of Stay of Foreign Visitors","2023 October","Other Residencies","Nights per trip","18.1"
"Average Length of Stay of Foreign Visitors","2023 October","All Residencies","Nights per trip","6.9"
"Average Length of Stay of Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Nights per trip","4.1"
