"Statistic Label","Month","Detailed Residency","UNIT","VALUE"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Italy","%","3.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Spain/Portugal","%","6.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Other Europe (2)","%","5.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Australia/New Zealand","%","2.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Canada","%","3.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","United States","%","21.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Other Residencies","%","2.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","%","40.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Belgium/Netherlands/Luxembourg","%","4.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Denmark/Norway/Sweden/Finland","%","2.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","France","%","5"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Germany","%","6.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Italy","%","3.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Spain/Portugal","%","5.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Other Europe (2)","%","7.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Australia/New Zealand","%","1.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Canada","%","1.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","United States","%","16.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Other Residencies","%","3.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","%","42"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Belgium/Netherlands/Luxembourg","%","5.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Denmark/Norway/Sweden/Finland","%","2.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","France","%","6.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Germany","%","5.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Italy","%","3.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Spain/Portugal","%","8.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Other Europe (2)","%","7.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Australia/New Zealand","%","2"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Canada","%","1.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","United States","%","12"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Other Residencies","%","3.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","%","42.3"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Belgium/Netherlands/Luxembourg","%","5.7"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Denmark/Norway/Sweden/Finland","%","2.3"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","France","%","4.8"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Germany","%","5.8"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Italy","%","4.9"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Spain/Portugal","%","4.8"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Other Europe (2)","%","9.9"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Australia/New Zealand","%","2.4"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Canada","%","1.4"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","United States","%","11.1"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Other Residencies","%","4.5"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","All Residencies","%","100"
