"Statistic Label","Detailed Area of Residence","Quarter","UNIT","VALUE"
"Overseas Trips to Ireland","Great Britain","2012Q4","Thousand","646.4"
"Overseas Trips to Ireland","Great Britain","2013Q1","Thousand","570.2"
"Overseas Trips to Ireland","Great Britain","2013Q2","Thousand","726.9"
"Overseas Trips to Ireland","Great Britain","2013Q3","Thousand","904.7"
"Overseas Trips to Ireland","Great Britain","2013Q4","Thousand","727.1"
"Overseas Trips to Ireland","Great Britain","2014Q1","Thousand","635.5"
"Overseas Trips to Ireland","Great Britain","2014Q2","Thousand","837.7"
"Overseas Trips to Ireland","Great Britain","2014Q3","Thousand","922.6"
"Overseas Trips to Ireland","Great Britain","2014Q4","Thousand","768.1"
"Overseas Trips to Ireland","Great Britain","2015Q1","Thousand","725.8"
"Overseas Trips to Ireland","Great Britain","2015Q2","Thousand","886.2"
"Overseas Trips to Ireland","Great Britain","2015Q3","Thousand","1050.4"
"Overseas Trips to Ireland","Great Britain","2015Q4","Thousand","884.5"
"Overseas Trips to Ireland","Great Britain","2016Q1","Thousand","851.4"
"Overseas Trips to Ireland","Great Britain","2016Q2","Thousand","1013.6"
"Overseas Trips to Ireland","Great Britain","2016Q3","Thousand","1148.5"
"Overseas Trips to Ireland","Great Britain","2016Q4","Thousand","910.6"
"Overseas Trips to Ireland","Great Britain","2017Q1","Thousand","796.1"
"Overseas Trips to Ireland","Great Britain","2017Q2","Thousand","949.2"
"Overseas Trips to Ireland","Great Britain","2017Q3","Thousand","1065.2"
"Overseas Trips to Ireland","Great Britain","2017Q4","Thousand","918.4"
"Overseas Trips to Ireland","Great Britain","2018Q1","Thousand","798.3"
"Overseas Trips to Ireland","Great Britain","2018Q2","Thousand","987.9"
"Overseas Trips to Ireland","Great Britain","2018Q3","Thousand","1055.9"
"Overseas Trips to Ireland","Great Britain","2018Q4","Thousand","917"
"Overseas Trips to Ireland","Great Britain","2019Q1","Thousand","809.1"
"Overseas Trips to Ireland","Great Britain","2019Q2","Thousand","985.2"
"Overseas Trips to Ireland","Great Britain","2019Q3","Thousand","1065"
"Overseas Trips to Ireland","Great Britain","2019Q4","Thousand","928.3"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2010Q1","Thousand","19.2"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2010Q2","Thousand","33.1"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2010Q3","Thousand","49.9"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2010Q4","Thousand","33.1"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2011Q1","Thousand","21.4"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2011Q2","Thousand","38.2"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2011Q3","Thousand","54.6"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2011Q4","Thousand","26.9"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2012Q1","Thousand","21.6"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2012Q2","Thousand","43.3"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2012Q3","Thousand","56.5"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2012Q4","Thousand","34.3"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2013Q1","Thousand","26.2"
