"Area of Residence","Month","Statistic Label","UNIT","VALUE"
"USA and Canada","2019M07","Overseas Trips to Ireland","Thousand","291.2"
"USA and Canada","2019M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","196.1"
"USA and Canada","2019M08","Overseas Trips to Ireland","Thousand","282.5"
"USA and Canada","2019M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","197.8"
"USA and Canada","2019M09","Overseas Trips to Ireland","Thousand","250.9"
"USA and Canada","2019M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","195.3"
"USA and Canada","2019M10","Overseas Trips to Ireland","Thousand","208.8"
"USA and Canada","2019M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","193.8"
"USA and Canada","2019M11","Overseas Trips to Ireland","Thousand","131.1"
"USA and Canada","2019M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","191.6"
"USA and Canada","2019M12","Overseas Trips to Ireland","Thousand","134.6"
"USA and Canada","2019M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","202.1"
"USA and Canada","2020M01","Overseas Trips to Ireland","Thousand","108.4"
"USA and Canada","2020M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","209.9"
"USA and Canada","2020M02","Overseas Trips to Ireland","Thousand","81.3"
"USA and Canada","2020M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","194.4"
"Great Britain","2016M01","Overseas Trips to Ireland","Thousand","249.9"
"Great Britain","2016M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","315.8"
"Great Britain","2016M02","Overseas Trips to Ireland","Thousand","300.7"
"Great Britain","2016M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","355.5"
"Great Britain","2016M03","Overseas Trips to Ireland","Thousand","300.8"
"Great Britain","2016M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","317.1"
"Great Britain","2016M04","Overseas Trips to Ireland","Thousand","356.6"
"Great Britain","2016M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","341.7"
"Great Britain","2016M05","Overseas Trips to Ireland","Thousand","333"
"Great Britain","2016M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","311.7"
"Great Britain","2016M06","Overseas Trips to Ireland","Thousand","324"
"Great Britain","2016M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","328.3"
