"STATISTIC Label","Month","Direction","Route","UNIT","VALUE"
"Air and Sea Travel","2012 February","Arrivals","All routes of travel","Thousand","767.1"
"Air and Sea Travel","2012 February","Arrivals","Cross channel","Thousand","404.4"
"Air and Sea Travel","2012 February","Arrivals","Continental Europe","Thousand","302.9"
"Air and Sea Travel","2012 February","Arrivals","Transatlantic","Thousand","41.1"
"Air and Sea Travel","2012 February","Arrivals","Other","Thousand","18.7"
"Air and Sea Travel","2012 February","Departures","All routes of travel","Thousand","757.6"
"Air and Sea Travel","2012 February","Departures","Cross channel","Thousand","403"
"Air and Sea Travel","2012 February","Departures","Continental Europe","Thousand","294.4"
"Air and Sea Travel","2012 February","Departures","Transatlantic","Thousand","41.2"
"Air and Sea Travel","2012 February","Departures","Other","Thousand","19"
"Air and Sea Travel","2012 March","Arrivals","All routes of travel","Thousand","945.2"
"Air and Sea Travel","2012 March","Arrivals","Cross channel","Thousand","480.3"
"Air and Sea Travel","2012 March","Arrivals","Continental Europe","Thousand","381.9"
"Air and Sea Travel","2012 March","Arrivals","Transatlantic","Thousand","61.1"
"Air and Sea Travel","2012 March","Arrivals","Other","Thousand","21.9"
"Air and Sea Travel","2012 March","Departures","All routes of travel","Thousand","947.1"
"Air and Sea Travel","2012 March","Departures","Cross channel","Thousand","467.2"
"Air and Sea Travel","2012 March","Departures","Continental Europe","Thousand","394.9"
"Air and Sea Travel","2012 March","Departures","Transatlantic","Thousand","61.8"
"Air and Sea Travel","2012 March","Departures","Other","Thousand","23.2"
"Air and Sea Travel","2012 April","Arrivals","All routes of travel","Thousand","1123.3"
"Air and Sea Travel","2012 April","Arrivals","Cross channel","Thousand","506.6"
"Air and Sea Travel","2012 April","Arrivals","Continental Europe","Thousand","518.3"
"Air and Sea Travel","2012 April","Arrivals","Transatlantic","Thousand","73.3"
"Air and Sea Travel","2012 April","Arrivals","Other","Thousand","25.1"
"Air and Sea Travel","2012 April","Departures","All routes of travel","Thousand","1101.6"
"Air and Sea Travel","2012 April","Departures","Cross channel","Thousand","515.3"
"Air and Sea Travel","2012 April","Departures","Continental Europe","Thousand","495"
"Air and Sea Travel","2012 April","Departures","Transatlantic","Thousand","70.5"
"Air and Sea Travel","2012 April","Departures","Other","Thousand","20.7"
"Air and Sea Travel","2012 May","Arrivals","All routes of travel","Thousand","1147.5"
"Air and Sea Travel","2012 May","Arrivals","Cross channel","Thousand","502.9"
"Air and Sea Travel","2012 May","Arrivals","Continental Europe","Thousand","526"
"Air and Sea Travel","2012 May","Arrivals","Transatlantic","Thousand","92.5"
"Air and Sea Travel","2012 May","Arrivals","Other","Thousand","26"
"Air and Sea Travel","2012 May","Departures","All routes of travel","Thousand","1197.1"
"Air and Sea Travel","2012 May","Departures","Cross channel","Thousand","500.5"
"Air and Sea Travel","2012 May","Departures","Continental Europe","Thousand","580.7"
"Air and Sea Travel","2012 May","Departures","Transatlantic","Thousand","88"
"Air and Sea Travel","2012 May","Departures","Other","Thousand","27.9"
"Air and Sea Travel","2012 June","Arrivals","All routes of travel","Thousand","1288.6"
"Air and Sea Travel","2012 June","Arrivals","Cross channel","Thousand","524"
"Air and Sea Travel","2012 June","Arrivals","Continental Europe","Thousand","622.8"
"Air and Sea Travel","2012 June","Arrivals","Transatlantic","Thousand","107.2"
"Air and Sea Travel","2012 June","Arrivals","Other","Thousand","34.6"
