"STATISTIC Label","Month","Direction","Mode","UNIT","VALUE"
"Air and Sea Travel","2014 July","Arrivals","Sea","Thousand","241.5"
"Air and Sea Travel","2014 July","Departures","All modes of transport","Thousand","1626.6"
"Air and Sea Travel","2014 July","Departures","Air","Thousand","1418.4"
"Air and Sea Travel","2014 July","Departures","Sea","Thousand","208.2"
"Air and Sea Travel","2014 August","Arrivals","All modes of transport","Thousand","1737.1"
"Air and Sea Travel","2014 August","Arrivals","Air","Thousand","1457.6"
"Air and Sea Travel","2014 August","Arrivals","Sea","Thousand","279.5"
"Air and Sea Travel","2014 August","Departures","All modes of transport","Thousand","1682.8"
"Air and Sea Travel","2014 August","Departures","Air","Thousand","1403.9"
"Air and Sea Travel","2014 August","Departures","Sea","Thousand","278.9"
"Air and Sea Travel","2014 September","Arrivals","All modes of transport","Thousand","1344.6"
"Air and Sea Travel","2014 September","Arrivals","Air","Thousand","1229.3"
"Air and Sea Travel","2014 September","Arrivals","Sea","Thousand","115.3"
"Air and Sea Travel","2014 September","Departures","All modes of transport","Thousand","1350.7"
"Air and Sea Travel","2014 September","Departures","Air","Thousand","1231.2"
"Air and Sea Travel","2014 September","Departures","Sea","Thousand","119.5"
"Air and Sea Travel","2014 October","Arrivals","All modes of transport","Thousand","1276.6"
"Air and Sea Travel","2014 October","Arrivals","Air","Thousand","1185.7"
"Air and Sea Travel","2014 October","Arrivals","Sea","Thousand","90.9"
"Air and Sea Travel","2014 October","Departures","All modes of transport","Thousand","1268.7"
"Air and Sea Travel","2014 October","Departures","Air","Thousand","1179.9"
"Air and Sea Travel","2014 October","Departures","Sea","Thousand","88.9"
"Air and Sea Travel","2014 November","Arrivals","All modes of transport","Thousand","987.5"
"Air and Sea Travel","2014 November","Arrivals","Air","Thousand","934.4"
"Air and Sea Travel","2014 November","Arrivals","Sea","Thousand","53.1"
"Air and Sea Travel","2014 November","Departures","All modes of transport","Thousand","981.7"
"Air and Sea Travel","2014 November","Departures","Air","Thousand","925.4"
"Air and Sea Travel","2014 November","Departures","Sea","Thousand","56.3"
"Air and Sea Travel","2014 December","Arrivals","All modes of transport","Thousand","1016.7"
"Air and Sea Travel","2014 December","Arrivals","Air","Thousand","924.8"
"Air and Sea Travel","2014 December","Arrivals","Sea","Thousand","91.8"
"Air and Sea Travel","2014 December","Departures","All modes of transport","Thousand","977.1"
"Air and Sea Travel","2014 December","Departures","Air","Thousand","912.3"
"Air and Sea Travel","2014 December","Departures","Sea","Thousand","64.8"
"Air and Sea Travel","2015 January","Arrivals","All modes of transport","Thousand","871"
"Air and Sea Travel","2015 January","Arrivals","Air","Thousand","833.6"
"Air and Sea Travel","2015 January","Arrivals","Sea","Thousand","37.3"
"Air and Sea Travel","2015 January","Departures","All modes of transport","Thousand","923.4"
"Air and Sea Travel","2015 January","Departures","Air","Thousand","861.5"
"Air and Sea Travel","2015 January","Departures","Sea","Thousand","61.9"
"Air and Sea Travel","2015 February","Arrivals","All modes of transport","Thousand","911.4"
"Air and Sea Travel","2015 February","Arrivals","Air","Thousand","863.5"
"Air and Sea Travel","2015 February","Arrivals","Sea","Thousand","47.9"
"Air and Sea Travel","2015 February","Departures","All modes of transport","Thousand","894.9"
"Air and Sea Travel","2015 February","Departures","Air","Thousand","850.3"
"Air and Sea Travel","2015 February","Departures","Sea","Thousand","44.6"
"Air and Sea Travel","2015 March","Arrivals","All modes of transport","Thousand","1126.8"
"Air and Sea Travel","2015 March","Arrivals","Air","Thousand","1048.5"
"Air and Sea Travel","2015 March","Arrivals","Sea","Thousand","78.3"
"Air and Sea Travel","2015 March","Departures","All modes of transport","Thousand","1135.6"
"Air and Sea Travel","2015 March","Departures","Air","Thousand","1063.4"
"Air and Sea Travel","2015 March","Departures","Sea","Thousand","72.2"
"Air and Sea Travel","2015 April","Arrivals","All modes of transport","Thousand","1324"
"Air and Sea Travel","2015 April","Arrivals","Air","Thousand","1208.9"
"Air and Sea Travel","2015 April","Arrivals","Sea","Thousand","115.1"
"Air and Sea Travel","2015 April","Departures","All modes of transport","Thousand","1291.6"
"Air and Sea Travel","2015 April","Departures","Air","Thousand","1178.5"
"Air and Sea Travel","2015 April","Departures","Sea","Thousand","113.1"
"Air and Sea Travel","2015 May","Arrivals","All modes of transport","Thousand","1429.8"
"Air and Sea Travel","2015 May","Arrivals","Air","Thousand","1308.5"
