"STATISTIC Label","Year","Country","Direction","UNIT","VALUE"
"Air and Sea Travel","2012","Other Countries(43)","Arrivals","Thousand","18.8"
"Air and Sea Travel","2012","Other Countries(43)","Departures","Thousand","18.7"
"Air and Sea Travel","2012","Other transatlantic countries(2)","Arrivals","Thousand","0.4"
"Air and Sea Travel","2012","Other transatlantic countries(2)","Departures","Thousand","0.1"
"Air and Sea Travel","2013","All countries","Arrivals","Thousand","13632.9"
"Air and Sea Travel","2013","All countries","Departures","Thousand","13655.2"
"Air and Sea Travel","2013","United Arab Emirates","Arrivals","Thousand","253.6"
"Air and Sea Travel","2013","United Arab Emirates","Departures","Thousand","252.1"
"Air and Sea Travel","2013","Austria","Arrivals","Thousand","63.7"
"Air and Sea Travel","2013","Austria","Departures","Thousand","63.3"
"Air and Sea Travel","2013","Belgium","Arrivals","Thousand","211.1"
"Air and Sea Travel","2013","Belgium","Departures","Thousand","211.5"
"Air and Sea Travel","2013","Bulgaria","Arrivals","Thousand","14.2"
"Air and Sea Travel","2013","Bulgaria","Departures","Thousand","14.2"
"Air and Sea Travel","2013","Canada","Arrivals","Thousand","54.6"
"Air and Sea Travel","2013","Canada","Departures","Thousand","55.9"
"Air and Sea Travel","2013","Switzerland","Arrivals","Thousand","159.9"
"Air and Sea Travel","2013","Switzerland","Departures","Thousand","160.4"
"Air and Sea Travel","2013","Cyprus","Arrivals","Thousand","3.5"
"Air and Sea Travel","2013","Cyprus","Departures","Thousand","3.5"
"Air and Sea Travel","2013","Czech Republic","Arrivals","Thousand","52.7"
"Air and Sea Travel","2013","Czech Republic","Departures","Thousand","53.5"
"Air and Sea Travel","2013","Germany","Arrivals","Thousand","752.9"
"Air and Sea Travel","2013","Germany","Departures","Thousand","751.2"
"Air and Sea Travel","2013","Denmark","Arrivals","Thousand","127.8"
"Air and Sea Travel","2013","Denmark","Departures","Thousand","124.9"
"Air and Sea Travel","2013","Estonia","Arrivals","Thousand","10.8"
"Air and Sea Travel","2013","Estonia","Departures","Thousand","10.8"
"Air and Sea Travel","2013","Spain","Arrivals","Thousand","1523.5"
"Air and Sea Travel","2013","Spain","Departures","Thousand","1515.6"
"Air and Sea Travel","2013","Finland","Arrivals","Thousand","18.4"
"Air and Sea Travel","2013","Finland","Departures","Thousand","18.2"
"Air and Sea Travel","2013","France","Arrivals","Thousand","947"
"Air and Sea Travel","2013","France","Departures","Thousand","952.9"
"Air and Sea Travel","2013","Other UK (1)","Arrivals","Thousand","28.3"
"Air and Sea Travel","2013","Other UK (1)","Departures","Thousand","28.2"
"Air and Sea Travel","2013","Greece","Arrivals","Thousand","28.5"
"Air and Sea Travel","2013","Greece","Departures","Thousand","28.4"
"Air and Sea Travel","2013","Croatia","Arrivals","Thousand","39.9"
"Air and Sea Travel","2013","Croatia","Departures","Thousand","38.9"
"Air and Sea Travel","2013","Hungary","Arrivals","Thousand","83.4"
"Air and Sea Travel","2013","Hungary","Departures","Thousand","80"
"Air and Sea Travel","2013","Iceland","Arrivals","Thousand","3.6"
"Air and Sea Travel","2013","Iceland","Departures","Thousand","3.5"
"Air and Sea Travel","2013","Italy","Arrivals","Thousand","486.6"
"Air and Sea Travel","2013","Italy","Departures","Thousand","478.9"
"Air and Sea Travel","2013","Lithuania","Arrivals","Thousand","83.5"
"Air and Sea Travel","2013","Lithuania","Departures","Thousand","83.4"
"Air and Sea Travel","2013","Luxembourg","Arrivals","Thousand","0"
"Air and Sea Travel","2013","Luxembourg","Departures","Thousand","0.1"
"Air and Sea Travel","2013","Latvia","Arrivals","Thousand","53.5"
"Air and Sea Travel","2013","Latvia","Departures","Thousand","54.3"
"Air and Sea Travel","2013","Malta","Arrivals","Thousand","29.8"
"Air and Sea Travel","2013","Malta","Departures","Thousand","29.8"
"Air and Sea Travel","2013","Netherlands","Arrivals","Thousand","401.5"
"Air and Sea Travel","2013","Netherlands","Departures","Thousand","405.2"
"Air and Sea Travel","2013","Norway","Arrivals","Thousand","63.7"
"Air and Sea Travel","2013","Norway","Departures","Thousand","66.6"
"Air and Sea Travel","2013","Poland","Arrivals","Thousand","468.9"
"Air and Sea Travel","2013","Poland","Departures","Thousand","459.2"
"Air and Sea Travel","2013","Portugal","Arrivals","Thousand","343.1"
"Air and Sea Travel","2013","Portugal","Departures","Thousand","340.5"
"Air and Sea Travel","2013","Qatar","Arrivals","Thousand","0"
"Air and Sea Travel","2013","Qatar","Departures","Thousand","0"
"Air and Sea Travel","2013","Romania","Arrivals","Thousand","38.8"
"Air and Sea Travel","2013","Romania","Departures","Thousand","35.8"
"Air and Sea Travel","2013","Sweden","Arrivals","Thousand","74.9"
"Air and Sea Travel","2013","Sweden","Departures","Thousand","75.5"
"Air and Sea Travel","2013","Slovenia","Arrivals","Thousand","0"
"Air and Sea Travel","2013","Slovenia","Departures","Thousand","0"
"Air and Sea Travel","2013","Slovakia","Arrivals","Thousand","49.9"
"Air and Sea Travel","2013","Slovakia","Departures","Thousand","48.3"
"Air and Sea Travel","2013","Turkey","Arrivals","Thousand","112.8"
"Air and Sea Travel","2013","Turkey","Departures","Thousand","112.7"
"Air and Sea Travel","2013","United States","Arrivals","Thousand","1038.3"
"Air and Sea Travel","2013","United States","Departures","Thousand","1050.7"
"Air and Sea Travel","2013","Great Britain","Arrivals","Thousand","5987.8"
"Air and Sea Travel","2013","Great Britain","Departures","Thousand","6024.5"
"Air and Sea Travel","2013","Other Europe (33)","Arrivals","Thousand","5"
"Air and Sea Travel","2013","Other Europe (33)","Departures","Thousand","5.1"
"Air and Sea Travel","2013","Other Countries(43)","Arrivals","Thousand","17.3"
"Air and Sea Travel","2013","Other Countries(43)","Departures","Thousand","17.4"
"Air and Sea Travel","2013","Other transatlantic countries(2)","Arrivals","Thousand","0.2"
"Air and Sea Travel","2013","Other transatlantic countries(2)","Departures","Thousand","0.1"
"Air and Sea Travel","2014","All countries","Arrivals","Thousand","14546.8"
"Air and Sea Travel","2014","All countries","Departures","Thousand","14570.5"
"Air and Sea Travel","2014","United Arab Emirates","Arrivals","Thousand","295.7"
"Air and Sea Travel","2014","United Arab Emirates","Departures","Thousand","294.9"
"Air and Sea Travel","2014","Austria","Arrivals","Thousand","59.4"
"Air and Sea Travel","2014","Austria","Departures","Thousand","59.8"
"Air and Sea Travel","2014","Belgium","Arrivals","Thousand","210.1"
"Air and Sea Travel","2014","Belgium","Departures","Thousand","207.9"
"Air and Sea Travel","2014","Bulgaria","Arrivals","Thousand","13.8"
"Air and Sea Travel","2014","Bulgaria","Departures","Thousand","13.9"
"Air and Sea Travel","2014","Canada","Arrivals","Thousand","115.5"
"Air and Sea Travel","2014","Canada","Departures","Thousand","123.5"
"Air and Sea Travel","2014","Switzerland","Arrivals","Thousand","165"
"Air and Sea Travel","2014","Switzerland","Departures","Thousand","165.4"
"Air and Sea Travel","2014","Cyprus","Arrivals","Thousand","0"
"Air and Sea Travel","2014","Cyprus","Departures","Thousand","0"
"Air and Sea Travel","2014","Czech Republic","Arrivals","Thousand","75.3"
"Air and Sea Travel","2014","Czech Republic","Departures","Thousand","76.8"
"Air and Sea Travel","2014","Germany","Arrivals","Thousand","825"
"Air and Sea Travel","2014","Germany","Departures","Thousand","825.2"
"Air and Sea Travel","2014","Denmark","Arrivals","Thousand","137.7"
"Air and Sea Travel","2014","Denmark","Departures","Thousand","133.2"
"Air and Sea Travel","2014","Estonia","Arrivals","Thousand","3.1"
"Air and Sea Travel","2014","Estonia","Departures","Thousand","3"
"Air and Sea Travel","2014","Spain","Arrivals","Thousand","1541.7"
"Air and Sea Travel","2014","Spain","Departures","Thousand","1531.3"
"Air and Sea Travel","2014","Finland","Arrivals","Thousand","11.4"
"Air and Sea Travel","2014","Finland","Departures","Thousand","10.9"
"Air and Sea Travel","2014","France","Arrivals","Thousand","1052.3"
"Air and Sea Travel","2014","France","Departures","Thousand","1060.5"
"Air and Sea Travel","2014","Other UK (1)","Arrivals","Thousand","29.3"
"Air and Sea Travel","2014","Other UK (1)","Departures","Thousand","28.8"
"Air and Sea Travel","2014","Greece","Arrivals","Thousand","39.1"
"Air and Sea Travel","2014","Greece","Departures","Thousand","40.1"
"Air and Sea Travel","2014","Croatia","Arrivals","Thousand","44.7"
"Air and Sea Travel","2014","Croatia","Departures","Thousand","43.4"
"Air and Sea Travel","2014","Hungary","Arrivals","Thousand","91.5"
"Air and Sea Travel","2014","Hungary","Departures","Thousand","88.2"
"Air and Sea Travel","2014","Iceland","Arrivals","Thousand","4.4"
"Air and Sea Travel","2014","Iceland","Departures","Thousand","4.9"
"Air and Sea Travel","2014","Italy","Arrivals","Thousand","513.7"
"Air and Sea Travel","2014","Italy","Departures","Thousand","509.1"
"Air and Sea Travel","2014","Lithuania","Arrivals","Thousand","88.8"
"Air and Sea Travel","2014","Lithuania","Departures","Thousand","89.7"
"Air and Sea Travel","2014","Luxembourg","Arrivals","Thousand","9.3"
"Air and Sea Travel","2014","Luxembourg","Departures","Thousand","9.7"
