"Method of Booking","Domestic or Outbound","Year","Statistic Label","UNIT","VALUE"
"Employer","Domestic","2003","Number of Nights by Irish Residents","Thousand","838"
"Employer","Domestic","2003","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"Employer","Domestic","2004","Number of Trips by Irish Residents","Thousand","357"
"Employer","Domestic","2004","Number of Nights by Irish Residents","Thousand","1008"
"Employer","Domestic","2004","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"Employer","Domestic","2005","Number of Trips by Irish Residents","Thousand","309"
"Employer","Domestic","2005","Number of Nights by Irish Residents","Thousand","901"
"Employer","Domestic","2005","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"Employer","Domestic","2006","Number of Trips by Irish Residents","Thousand","235"
"Employer","Domestic","2006","Number of Nights by Irish Residents","Thousand","569"
"Employer","Domestic","2006","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"Employer","Domestic","2007","Number of Trips by Irish Residents","Thousand","227"
"Employer","Domestic","2007","Number of Nights by Irish Residents","Thousand","531"
"Employer","Domestic","2007","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"Employer","Domestic","2008","Number of Trips by Irish Residents","Thousand","219"
"Employer","Domestic","2008","Number of Nights by Irish Residents","Thousand","565"
"Employer","Domestic","2008","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"Employer","Domestic","2009","Number of Trips by Irish Residents","Thousand","152"
"Employer","Domestic","2009","Number of Nights by Irish Residents","Thousand","415"
"Employer","Domestic","2009","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"Employer","Outbound","2003","Number of Trips by Irish Residents","Thousand","379"
"Employer","Outbound","2003","Number of Nights by Irish Residents","Thousand","2038"
"Employer","Outbound","2003","Average Length of Stay by Irish Residents","Nights per Trip","5.4"
"Employer","Outbound","2004","Number of Trips by Irish Residents","Thousand","400"
"Employer","Outbound","2004","Number of Nights by Irish Residents","Thousand","1720"
"Employer","Outbound","2004","Average Length of Stay by Irish Residents","Nights per Trip","4.3"
"Employer","Outbound","2005","Number of Trips by Irish Residents","Thousand","382"
"Employer","Outbound","2005","Number of Nights by Irish Residents","Thousand","1669"
"Employer","Outbound","2005","Average Length of Stay by Irish Residents","Nights per Trip","4.4"
"Employer","Outbound","2006","Number of Trips by Irish Residents","Thousand","265"
"Employer","Outbound","2006","Number of Nights by Irish Residents","Thousand","1406"
