"Region of Residence","Region Visited","Year","Statistic Label","UNIT","VALUE"
"Border, Midland and Western","Border","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Border","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Border","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Border","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Border","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Border","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Border","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Midland","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Midland","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Midland","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Midland","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Midland","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
