"Region of Residence","Region Visited","Year","Statistic Label","UNIT","VALUE"
"Mid-West","South-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","170"
"Mid-West","South-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","606"
"Mid-West","South-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"Mid-West","South-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Mid-West","South-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Mid-West","South-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Mid-West","South-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Mid-West","South-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Mid-West","South-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Mid-West","South-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Mid-West","South-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Mid-West","South-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Border, Midland and Western","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Border, Midland and Western","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Border, Midland and Western","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Border, Midland and Western","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Border, Midland and Western","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Border, Midland and Western","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Border, Midland and Western","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border, Midland and Western","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Border","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","33"
"South-East","Border","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","140"
"South-East","Border","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.2"
"South-East","Border","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","29"
"South-East","Border","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","113"
"South-East","Border","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.9"
"South-East","Border","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","44"
"South-East","Border","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","204"
"South-East","Border","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.6"
"South-East","Border","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","33"
"South-East","Border","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","110"
"South-East","Border","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"South-East","Border","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Border","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Border","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Border","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Midland","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","17"
"South-East","Midland","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","61"
"South-East","Midland","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"South-East","Midland","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","20"
"South-East","Midland","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","65"
"South-East","Midland","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"South-East","Midland","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","30"
"South-East","Midland","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","60"
"South-East","Midland","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2"
"South-East","Midland","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","26"
"South-East","Midland","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","112"
"South-East","Midland","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.3"
"South-East","Midland","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Midland","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Midland","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Midland","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Midland","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Midland","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Midland","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Midland","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Midland","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","60"
"South-East","West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","242"
"South-East","West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4"
"South-East","West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","70"
"South-East","West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","281"
"South-East","West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4"
"South-East","West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","78"
"South-East","West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","277"
"South-East","West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"South-East","West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","77"
"South-East","West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","268"
"South-East","West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"South-East","West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Southern and Eastern","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Southern and Eastern","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Southern and Eastern","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Southern and Eastern","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Southern and Eastern","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Southern and Eastern","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Southern and Eastern","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Southern and Eastern","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Dublin","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","127"
"South-East","Dublin","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","288"
"South-East","Dublin","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.3"
"South-East","Dublin","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","124"
"South-East","Dublin","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","304"
"South-East","Dublin","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.5"
"South-East","Dublin","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","183"
"South-East","Dublin","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","376"
"South-East","Dublin","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.1"
"South-East","Dublin","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","193"
"South-East","Dublin","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","482"
"South-East","Dublin","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.5"
"South-East","Dublin","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Dublin","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Dublin","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Dublin","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Dublin","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Dublin","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Dublin","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Dublin","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Dublin","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Mid-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","40"
"South-East","Mid-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","87"
"South-East","Mid-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.2"
"South-East","Mid-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","34"
"South-East","Mid-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","74"
"South-East","Mid-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.2"
"South-East","Mid-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","49"
"South-East","Mid-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","150"
"South-East","Mid-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.1"
"South-East","Mid-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","37"
"South-East","Mid-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","104"
"South-East","Mid-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.8"
"South-East","Mid-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Mid-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Mid-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Mid-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Mid-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Mid-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Mid-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Mid-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Mid-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Mid-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","66"
"South-East","Mid-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","218"
"South-East","Mid-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"South-East","Mid-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","49"
"South-East","Mid-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","142"
"South-East","Mid-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.9"
"South-East","Mid-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","61"
"South-East","Mid-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","206"
"South-East","Mid-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"South-East","Mid-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","75"
"South-East","Mid-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","285"
"South-East","Mid-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.8"
"South-East","Mid-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Mid-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Mid-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Mid-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Mid-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Mid-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","Mid-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","Mid-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","Mid-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","South-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","103"
"South-East","South-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","443"
"South-East","South-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.3"
"South-East","South-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","94"
"South-East","South-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","278"
"South-East","South-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3"
"South-East","South-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","121"
"South-East","South-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","484"
"South-East","South-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4"
"South-East","South-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","82"
"South-East","South-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","396"
"South-East","South-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.8"
"South-East","South-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","South-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","South-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","South-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","South-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","South-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","South-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","South-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","South-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","South-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","150"
"South-East","South-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","526"
"South-East","South-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"South-East","South-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","214"
"South-East","South-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","769"
"South-East","South-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"South-East","South-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","185"
"South-East","South-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","612"
"South-East","South-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"South-East","South-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","196"
"South-East","South-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","637"
"South-East","South-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"South-East","South-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","South-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","South-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","South-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","South-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","South-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-East","South-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-East","South-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-East","South-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Border, Midland and Western","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Border, Midland and Western","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Border, Midland and Western","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Border, Midland and Western","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Border, Midland and Western","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Border, Midland and Western","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Border, Midland and Western","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border, Midland and Western","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Border","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","30"
"South-West","Border","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","115"
"South-West","Border","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.8"
"South-West","Border","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","34"
"South-West","Border","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","112"
"South-West","Border","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"South-West","Border","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","34"
"South-West","Border","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","145"
"South-West","Border","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.3"
"South-West","Border","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","34"
"South-West","Border","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","109"
"South-West","Border","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"South-West","Border","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Border","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Border","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Border","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Midland","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","29"
"South-West","Midland","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","75"
"South-West","Midland","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.6"
"South-West","Midland","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","38"
"South-West","Midland","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","131"
"South-West","Midland","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"South-West","Midland","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","31"
"South-West","Midland","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","84"
"South-West","Midland","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"South-West","Midland","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","32"
"South-West","Midland","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","80"
"South-West","Midland","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.5"
"South-West","Midland","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Midland","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Midland","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Midland","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Midland","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Midland","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Midland","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Midland","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Midland","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","94"
"South-West","West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","331"
"South-West","West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"South-West","West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","103"
"South-West","West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","395"
"South-West","West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.8"
"South-West","West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","96"
"South-West","West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","355"
"South-West","West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.7"
"South-West","West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","109"
"South-West","West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","348"
"South-West","West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"South-West","West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Southern and Eastern","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Southern and Eastern","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"South-West","Southern and Eastern","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"South-West","Southern and Eastern","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
