"Statistic Label","Year","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2016","Self catering/rented house","Outbound","Nights per Trip","9.7"
"Average Length of Stay by Irish Residents","2016","Other","Domestic","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2016","Other","Outbound","Nights per Trip","11.5"
"Average Length of Stay by Irish Residents","2017","All types of accommodation","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2017","All types of accommodation","Outbound","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2017","Caravan/camping","Domestic","Nights per Trip",""
"Average Length of Stay by Irish Residents","2017","Caravan/camping","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2017","Friends/relatives","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2017","Friends/relatives","Outbound","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2017","Own holiday home","Domestic","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2017","Own holiday home","Outbound","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2017","Guest house/bed &breakfast","Domestic","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2017","Guest house/bed &breakfast","Outbound","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2017","Hotel/conference centre","Domestic","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2017","Hotel/conference centre","Outbound","Nights per Trip","5.2"
"Average Length of Stay by Irish Residents","2017","Self catering/rented house","Domestic","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents","2017","Self catering/rented house","Outbound","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2017","Other","Domestic","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2017","Other","Outbound","Nights per Trip","10.4"
"Average Length of Stay by Irish Residents","2018","All types of accommodation","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2018","All types of accommodation","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2018","Caravan/camping","Domestic","Nights per Trip",""
"Average Length of Stay by Irish Residents","2018","Caravan/camping","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2018","Friends/relatives","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2018","Friends/relatives","Outbound","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2018","Own holiday home","Domestic","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2018","Own holiday home","Outbound","Nights per Trip","14"
"Average Length of Stay by Irish Residents","2018","Guest house/bed &breakfast","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2018","Guest house/bed &breakfast","Outbound","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2018","Hotel/conference centre","Domestic","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2018","Hotel/conference centre","Outbound","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2018","Self catering/rented house","Domestic","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents","2018","Self catering/rented house","Outbound","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2018","Other","Domestic","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2018","Other","Outbound","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents","2019","All types of accommodation","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2019","All types of accommodation","Outbound","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2019","Caravan/camping","Domestic","Nights per Trip",""
"Average Length of Stay by Irish Residents","2019","Caravan/camping","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2019","Friends/relatives","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2019","Friends/relatives","Outbound","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2019","Own holiday home","Domestic","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2019","Own holiday home","Outbound","Nights per Trip","12.5"
"Average Length of Stay by Irish Residents","2019","Guest house/bed &breakfast","Domestic","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2019","Guest house/bed &breakfast","Outbound","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2019","Hotel/conference centre","Domestic","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents","2019","Hotel/conference centre","Outbound","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2019","Self catering/rented house","Domestic","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2019","Self catering/rented house","Outbound","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2019","Other","Domestic","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2019","Other","Outbound","Nights per Trip","12.1"
"Average Length of Stay by Irish Residents","2020","All types of accommodation","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2020","All types of accommodation","Outbound","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2020","Caravan/camping","Domestic","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Caravan/camping","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Friends/relatives","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2020","Friends/relatives","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Own holiday home","Domestic","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2020","Own holiday home","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Guest house/bed &breakfast","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2020","Guest house/bed &breakfast","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Hotel/conference centre","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2020","Hotel/conference centre","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Self catering/rented house","Domestic","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2020","Self catering/rented house","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Other","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2020","Other","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","All types of accommodation","Domestic","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2021","All types of accommodation","Outbound","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2021","Caravan/camping","Domestic","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Caravan/camping","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Friends/relatives","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2021","Friends/relatives","Outbound","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2021","Own holiday home","Domestic","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2021","Own holiday home","Outbound","Nights per Trip","13.9"
"Average Length of Stay by Irish Residents","2021","Guest house/bed &breakfast","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2021","Guest house/bed &breakfast","Outbound","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2021","Hotel/conference centre","Domestic","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2021","Hotel/conference centre","Outbound","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2021","Self catering/rented house","Domestic","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2021","Self catering/rented house","Outbound","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents","2021","Other","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2021","Other","Outbound","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2022","All types of accommodation","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2022","All types of accommodation","Outbound","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2022","Caravan/camping","Domestic","Nights per Trip",""
"Average Length of Stay by Irish Residents","2022","Caravan/camping","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2022","Friends/relatives","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2022","Friends/relatives","Outbound","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2022","Own holiday home","Domestic","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2022","Own holiday home","Outbound","Nights per Trip","20.5"
"Average Length of Stay by Irish Residents","2022","Guest house/bed &breakfast","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2022","Guest house/bed &breakfast","Outbound","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2022","Hotel/conference centre","Domestic","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2022","Hotel/conference centre","Outbound","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2022","Self catering/rented house","Domestic","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2022","Self catering/rented house","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2022","Other","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2022","Other","Outbound","Nights per Trip","10.3"
