"Statistic Label","Year","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2017","Self catering/rented house","Domestic","Thousand","895"
"Number of Trips by Irish Residents","2017","Self catering/rented house","Outbound","Thousand","1598"
"Number of Trips by Irish Residents","2017","Other","Domestic","Thousand","768"
"Number of Trips by Irish Residents","2017","Other","Outbound","Thousand","697"
"Number of Trips by Irish Residents","2018","All types of accommodation","Domestic","Thousand","10919"
"Number of Trips by Irish Residents","2018","All types of accommodation","Outbound","Thousand","8643"
"Number of Trips by Irish Residents","2018","Caravan/camping","Domestic","Thousand",""
"Number of Trips by Irish Residents","2018","Caravan/camping","Outbound","Thousand",""
"Number of Trips by Irish Residents","2018","Friends/relatives","Domestic","Thousand","3825"
"Number of Trips by Irish Residents","2018","Friends/relatives","Outbound","Thousand","1931"
"Number of Trips by Irish Residents","2018","Own holiday home","Domestic","Thousand","704"
"Number of Trips by Irish Residents","2018","Own holiday home","Outbound","Thousand","167"
"Number of Trips by Irish Residents","2018","Guest house/bed &breakfast","Domestic","Thousand","465"
"Number of Trips by Irish Residents","2018","Guest house/bed &breakfast","Outbound","Thousand","254"
"Number of Trips by Irish Residents","2018","Hotel/conference centre","Domestic","Thousand","4226"
"Number of Trips by Irish Residents","2018","Hotel/conference centre","Outbound","Thousand","4201"
"Number of Trips by Irish Residents","2018","Self catering/rented house","Domestic","Thousand","853"
"Number of Trips by Irish Residents","2018","Self catering/rented house","Outbound","Thousand","1426"
"Number of Trips by Irish Residents","2018","Other","Domestic","Thousand","845"
"Number of Trips by Irish Residents","2018","Other","Outbound","Thousand","663"
"Number of Trips by Irish Residents","2019","All types of accommodation","Domestic","Thousand","11621"
"Number of Trips by Irish Residents","2019","All types of accommodation","Outbound","Thousand","9350"
"Number of Trips by Irish Residents","2019","Caravan/camping","Domestic","Thousand",""
"Number of Trips by Irish Residents","2019","Caravan/camping","Outbound","Thousand",""
"Number of Trips by Irish Residents","2019","Friends/relatives","Domestic","Thousand","4074"
"Number of Trips by Irish Residents","2019","Friends/relatives","Outbound","Thousand","1895"
"Number of Trips by Irish Residents","2019","Own holiday home","Domestic","Thousand","618"
"Number of Trips by Irish Residents","2019","Own holiday home","Outbound","Thousand","167"
"Number of Trips by Irish Residents","2019","Guest house/bed &breakfast","Domestic","Thousand","560"
"Number of Trips by Irish Residents","2019","Guest house/bed &breakfast","Outbound","Thousand","252"
"Number of Trips by Irish Residents","2019","Hotel/conference centre","Domestic","Thousand","4553"
"Number of Trips by Irish Residents","2019","Hotel/conference centre","Outbound","Thousand","4387"
"Number of Trips by Irish Residents","2019","Self catering/rented house","Domestic","Thousand","900"
"Number of Trips by Irish Residents","2019","Self catering/rented house","Outbound","Thousand","1926"
"Number of Trips by Irish Residents","2019","Other","Domestic","Thousand","916"
"Number of Trips by Irish Residents","2019","Other","Outbound","Thousand","724"
"Number of Trips by Irish Residents","2020","All types of accommodation","Domestic","Thousand","7721"
"Number of Trips by Irish Residents","2020","All types of accommodation","Outbound","Thousand","2365"
"Number of Trips by Irish Residents","2020","Caravan/camping","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020","Caravan/camping","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","Friends/relatives","Domestic","Thousand","2841"
"Number of Trips by Irish Residents","2020","Friends/relatives","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","Own holiday home","Domestic","Thousand","475"
"Number of Trips by Irish Residents","2020","Own holiday home","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","Guest house/bed &breakfast","Domestic","Thousand","341"
"Number of Trips by Irish Residents","2020","Guest house/bed &breakfast","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","Hotel/conference centre","Domestic","Thousand","2623"
"Number of Trips by Irish Residents","2020","Hotel/conference centre","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","Self catering/rented house","Domestic","Thousand","949"
"Number of Trips by Irish Residents","2020","Self catering/rented house","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","Other","Domestic","Thousand","493"
"Number of Trips by Irish Residents","2020","Other","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021","All types of accommodation","Domestic","Thousand","5663"
"Number of Trips by Irish Residents","2021","All types of accommodation","Outbound","Thousand","2276"
"Number of Trips by Irish Residents","2021","Caravan/camping","Domestic","Thousand",""
"Number of Trips by Irish Residents","2021","Caravan/camping","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021","Friends/relatives","Domestic","Thousand","2101"
"Number of Trips by Irish Residents","2021","Friends/relatives","Outbound","Thousand","800"
"Number of Trips by Irish Residents","2021","Own holiday home","Domestic","Thousand","324"
"Number of Trips by Irish Residents","2021","Own holiday home","Outbound","Thousand","73"
"Number of Trips by Irish Residents","2021","Guest house/bed &breakfast","Domestic","Thousand","213"
"Number of Trips by Irish Residents","2021","Guest house/bed &breakfast","Outbound","Thousand","72"
"Number of Trips by Irish Residents","2021","Hotel/conference centre","Domestic","Thousand","1824"
"Number of Trips by Irish Residents","2021","Hotel/conference centre","Outbound","Thousand","940"
"Number of Trips by Irish Residents","2021","Self catering/rented house","Domestic","Thousand","660"
