"Statistic Label","Year","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Visiting friends/relatives","Other Europe (21)","Thousand","649"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Visiting friends/relatives","Other countries (24)","Thousand","2685"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Other reasons","All Countries","Thousand","4814"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Other reasons","United States and Canada","Thousand","1075"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Other reasons","EU28 excluding Ireland","Thousand","3290"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Other reasons","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Other reasons","Other Europe (21)","Thousand","86"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Other reasons","Other countries (24)","Thousand","363"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","All reasons for journey","All Countries","Thousand","53515"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","All reasons for journey","United States and Canada","Thousand","5877"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","All reasons for journey","EU28 excluding Ireland","Thousand","40564"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","All reasons for journey","Other Europe (21)","Thousand","1263"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","All reasons for journey","Other countries (24)","Thousand","5811"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Holiday","All Countries","Thousand","35276"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Holiday","United States and Canada","Thousand","2344"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Holiday","EU28 excluding Ireland","Thousand","29388"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Holiday","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Holiday","Other Europe (21)","Thousand","666"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Holiday","Other countries (24)","Thousand","2878"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Business","All Countries","Thousand","2905"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Business","United States and Canada","Thousand","409"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Business","EU28 excluding Ireland","Thousand","1727"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Business","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Business","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Business","Other Europe (21)","Thousand","134"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Business","Other countries (24)","Thousand","635"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Visiting friends/relatives","All Countries","Thousand","10298"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Visiting friends/relatives","United States and Canada","Thousand","1668"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Visiting friends/relatives","EU28 excluding Ireland","Thousand","6414"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Visiting friends/relatives","Other Europe (21)","Thousand","287"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Visiting friends/relatives","Other countries (24)","Thousand","1929"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Other reasons","All Countries","Thousand","5037"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Other reasons","United States and Canada","Thousand","1456"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Other reasons","EU28 excluding Ireland","Thousand","3036"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Other reasons","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Other reasons","Other Europe (21)","Thousand","175"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Other reasons","Other countries (24)","Thousand","370"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","All reasons for journey","All Countries","Thousand","56748"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","All reasons for journey","United States and Canada","Thousand","6334"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","All reasons for journey","EU28 excluding Ireland","Thousand","42416"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","All reasons for journey","Other Europe (21)","Thousand","989"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","All reasons for journey","Other countries (24)","Thousand","7009"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Holiday","All Countries","Thousand","34957"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Holiday","United States and Canada","Thousand","2510"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Holiday","EU28 excluding Ireland","Thousand","28842"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Holiday","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Holiday","Other Europe (21)","Thousand","355"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Holiday","Other countries (24)","Thousand","3250"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Business","All Countries","Thousand","4065"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Business","United States and Canada","Thousand","791"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Business","EU28 excluding Ireland","Thousand","2139"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Business","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Business","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Business","Other Europe (21)","Thousand","145"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Business","Other countries (24)","Thousand","989"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Visiting friends/relatives","All Countries","Thousand","11841"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Visiting friends/relatives","United States and Canada","Thousand","1845"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Visiting friends/relatives","EU28 excluding Ireland","Thousand","7527"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Visiting friends/relatives","Other Europe (21)","Thousand","165"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Visiting friends/relatives","Other countries (24)","Thousand","2304"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Other reasons","All Countries","Thousand","5886"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Other reasons","United States and Canada","Thousand","1188"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Other reasons","EU28 excluding Ireland","Thousand","3907"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Other reasons","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Other reasons","Other Europe (21)","Thousand","324"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Other reasons","Other countries (24)","Thousand","466"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","All reasons for journey","All Countries","Thousand","57698"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","All reasons for journey","United States and Canada","Thousand","6929"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","All reasons for journey","EU28 excluding Ireland","Thousand","44048"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","All reasons for journey","Other Europe (21)","Thousand","1075"
