"Statistic Label","Year","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Business","EU28 excluding Ireland","Thousand","511"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Business","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Business","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Business","Other Europe (21)","Thousand","35"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Business","Other countries (24)","Thousand","46"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","All Countries","Thousand","1624"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","United States and Canada","Thousand","107"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","EU28 excluding Ireland","Thousand","1359"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","Other Europe (21)","Thousand","37"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","Other countries (24)","Thousand","121"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Other reasons","All Countries","Thousand","639"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Other reasons","United States and Canada","Thousand","35"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Other reasons","EU28 excluding Ireland","Thousand","558"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Other reasons","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Other reasons","Other Europe (21)","Thousand","9"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Other reasons","Other countries (24)","Thousand","37"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","All Countries","Thousand","6677"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","United States and Canada","Thousand","453"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","EU28 excluding Ireland","Thousand","5735"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","Other Europe (21)","Thousand","142"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","All reasons for journey","Other countries (24)","Thousand","347"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Holiday","All Countries","Thousand","3675"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Holiday","United States and Canada","Thousand","236"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Holiday","EU28 excluding Ireland","Thousand","3219"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Holiday","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Holiday","Other Europe (21)","Thousand","69"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Holiday","Other countries (24)","Thousand","151"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Business","All Countries","Thousand","729"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Business","United States and Canada","Thousand","60"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Business","EU28 excluding Ireland","Thousand","595"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Business","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Business","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Business","Other Europe (21)","Thousand","22"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Business","Other countries (24)","Thousand","52"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","All Countries","Thousand","1620"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","United States and Canada","Thousand","118"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","EU28 excluding Ireland","Thousand","1335"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","Other Europe (21)","Thousand","40"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Visiting friends/relatives","Other countries (24)","Thousand","127"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Other reasons","All Countries","Thousand","652"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Other reasons","United States and Canada","Thousand","39"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Other reasons","EU28 excluding Ireland","Thousand","585"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Other reasons","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Other reasons","Other Europe (21)","Thousand","11"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Other reasons","Other countries (24)","Thousand","17"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","All Countries","Thousand","7094"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","United States and Canada","Thousand","422"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","EU28 excluding Ireland","Thousand","6161"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","Other Europe (21)","Thousand","181"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","All reasons for journey","Other countries (24)","Thousand","329"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Holiday","All Countries","Thousand","4219"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Holiday","United States and Canada","Thousand","205"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Holiday","EU28 excluding Ireland","Thousand","3757"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Holiday","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Holiday","Other Europe (21)","Thousand","90"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Holiday","Other countries (24)","Thousand","167"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Business","All Countries","Thousand","767"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Business","United States and Canada","Thousand","63"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Business","EU28 excluding Ireland","Thousand","599"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Business","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Business","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Business","Other Europe (21)","Thousand","34"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Business","Other countries (24)","Thousand","70"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","All Countries","Thousand","1430"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","United States and Canada","Thousand","119"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","EU28 excluding Ireland","Thousand","1210"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","Other Europe (21)","Thousand","27"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Visiting friends/relatives","Other countries (24)","Thousand","74"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Other reasons","All Countries","Thousand","678"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Other reasons","United States and Canada","Thousand","35"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Other reasons","EU28 excluding Ireland","Thousand","595"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Other reasons","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Other reasons","Other Europe (21)","Thousand","30"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Other reasons","Other countries (24)","Thousand","18"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","All Countries","Thousand","7644"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","United States and Canada","Thousand","492"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","EU28 excluding Ireland","Thousand","6597"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","Other Europe (21)","Thousand","142"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","All reasons for journey","Other countries (24)","Thousand","414"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Holiday","All Countries","Thousand","4244"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Holiday","United States and Canada","Thousand","220"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Holiday","EU28 excluding Ireland","Thousand","3778"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Holiday","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Holiday","Other Europe (21)","Thousand","43"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Holiday","Other countries (24)","Thousand","203"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Business","All Countries","Thousand","897"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Business","United States and Canada","Thousand","96"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Business","EU28 excluding Ireland","Thousand","697"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Business","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Business","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Business","Other Europe (21)","Thousand","36"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Business","Other countries (24)","Thousand","69"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","All Countries","Thousand","1747"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","United States and Canada","Thousand","136"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","EU28 excluding Ireland","Thousand","1463"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","Other Europe (21)","Thousand","29"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Visiting friends/relatives","Other countries (24)","Thousand","118"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Other reasons","All Countries","Thousand","757"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Other reasons","United States and Canada","Thousand","40"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Other reasons","EU28 excluding Ireland","Thousand","659"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Other reasons","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Other reasons","Other Europe (21)","Thousand","34"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Other reasons","Other countries (24)","Thousand","24"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","All Countries","Thousand","8171"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","United States and Canada","Thousand","558"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","EU28 excluding Ireland","Thousand","7116"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","Other Europe (21)","Thousand","151"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","All reasons for journey","Other countries (24)","Thousand","346"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Holiday","All Countries","Thousand","4912"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Holiday","United States and Canada","Thousand","253"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Holiday","EU28 excluding Ireland","Thousand","4434"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Holiday","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Holiday","Other Europe (21)","Thousand","69"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Holiday","Other countries (24)","Thousand","157"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Business","All Countries","Thousand","753"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Business","United States and Canada","Thousand","76"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Business","EU28 excluding Ireland","Thousand","586"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Business","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Business","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Business","Other Europe (21)","Thousand","34"
