"Statistic Label","Year","Country and Region Visited","UNIT","VALUE"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Great Britain","Thousand","9531"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Northern Ireland","Thousand","1148"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Denmark/Finland/Sweden","Thousand","403"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Other EU28 (1)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","EU27 excluding Ireland","Thousand","40038"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Other EU27 (6)","Thousand","1873"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Austria","Thousand","438"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Belgium","Thousand","212"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Germany","Thousand","925"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Spain","Thousand","12497"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","France","Thousand","5825"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","9239"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Italy","Thousand","2846"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Netherlands","Thousand","660"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Poland","Thousand","825"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Portugal","Thousand","3375"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Great Britain","Thousand","7991"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Northern Ireland","Thousand","1248"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Denmark/Finland/Sweden","Thousand","219"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Other EU28 (1)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","EU27 excluding Ireland","Thousand","38988"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Other EU27 (6)","Thousand","1925"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Austria","Thousand","395"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Belgium","Thousand","214"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Germany","Thousand","731"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Spain","Thousand","12690"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","France","Thousand","5176"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","9531"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Italy","Thousand","2179"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Netherlands","Thousand","309"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Poland","Thousand","612"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Portugal","Thousand","2871"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Great Britain","Thousand","8528"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Northern Ireland","Thousand","1003"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Denmark/Finland/Sweden","Thousand","382"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","EU28 excluding Ireland","Thousand","37103"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Other EU28 (1)","Thousand","2012"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Other EU27 (6)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Austria","Thousand","526"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Belgium","Thousand","317"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Germany","Thousand","1298"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Spain","Thousand","12872"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","France","Thousand","5129"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","9763"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Italy","Thousand","2315"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Netherlands","Thousand","795"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Poland","Thousand","1015"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Portugal","Thousand","3337"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Great Britain","Thousand","8675"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Northern Ireland","Thousand","1088"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Denmark/Finland/Sweden","Thousand","338"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","EU28 excluding Ireland","Thousand","40237"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Other EU28 (1)","Thousand","2533"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Other EU27 (6)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Austria","Thousand","258"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Belgium","Thousand","396"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Germany","Thousand","1214"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Spain","Thousand","14034"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","France","Thousand","5565"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","8826"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Italy","Thousand","3097"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Netherlands","Thousand","549"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Poland","Thousand","767"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Portugal","Thousand","2746"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Great Britain","Thousand","7975"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Northern Ireland","Thousand","850"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Denmark/Finland/Sweden","Thousand","753"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","EU28 excluding Ireland","Thousand","40564"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Other EU28 (1)","Thousand","2358"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Other EU27 (6)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Austria","Thousand","352"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Belgium","Thousand","555"
