"Statistic Label","Year","Domestic","Region of Residence","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2018","Outbound","State","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2018","Outbound","Northern and Western","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2018","Outbound","Border","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2018","Outbound","West","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2018","Outbound","Southern","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2018","Outbound","Mid-West","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2018","Outbound","South-East","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2018","Outbound","South-West","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2018","Outbound","Eastern and Midland","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2018","Outbound","Dublin","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2018","Outbound","Mid-East","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2018","Outbound","Midland","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2019","Domestic","State","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2019","Domestic","Northern and Western","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2019","Domestic","Border","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2019","Domestic","West","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2019","Domestic","Southern","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2019","Domestic","Mid-West","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2019","Domestic","South-East","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2019","Domestic","South-West","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2019","Domestic","Eastern and Midland","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2019","Domestic","Dublin","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2019","Domestic","Mid-East","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2019","Domestic","Midland","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2019","Outbound","State","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2019","Outbound","Northern and Western","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2019","Outbound","Border","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2019","Outbound","West","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2019","Outbound","Southern","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2019","Outbound","Mid-West","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2019","Outbound","South-East","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2019","Outbound","South-West","Nights per Trip","7.9"
