"Statistic Label","Year","Region Visited","UNIT","VALUE"
"Number of Nights by Irish Residents on Domestic Travel","2014","Border, Midland and Western","Thousand","9140"
"Number of Nights by Irish Residents on Domestic Travel","2014","Border","Thousand","2942"
"Number of Nights by Irish Residents on Domestic Travel","2014","Midland","Thousand","838"
"Number of Nights by Irish Residents on Domestic Travel","2014","West","Thousand","5360"
"Number of Nights by Irish Residents on Domestic Travel","2014","Southern and Eastern","Thousand","16946"
"Number of Nights by Irish Residents on Domestic Travel","2014","Dublin","Thousand","3662"
"Number of Nights by Irish Residents on Domestic Travel","2014","Mid-East","Thousand","1244"
"Number of Nights by Irish Residents on Domestic Travel","2014","Mid-West","Thousand","2354"
"Number of Nights by Irish Residents on Domestic Travel","2014","South-East","Thousand","3889"
"Number of Nights by Irish Residents on Domestic Travel","2014","South-West","Thousand","5797"
"Number of Nights by Irish Residents on Domestic Travel","2015","State","Thousand","25267"
"Number of Nights by Irish Residents on Domestic Travel","2015","Border, Midland and Western","Thousand","8571"
"Number of Nights by Irish Residents on Domestic Travel","2015","Border","Thousand","3020"
"Number of Nights by Irish Residents on Domestic Travel","2015","Midland","Thousand","893"
"Number of Nights by Irish Residents on Domestic Travel","2015","West","Thousand","4658"
"Number of Nights by Irish Residents on Domestic Travel","2015","Southern and Eastern","Thousand","16696"
"Number of Nights by Irish Residents on Domestic Travel","2015","Dublin","Thousand","3267"
"Number of Nights by Irish Residents on Domestic Travel","2015","Mid-East","Thousand","1473"
"Number of Nights by Irish Residents on Domestic Travel","2015","Mid-West","Thousand","2558"
"Number of Nights by Irish Residents on Domestic Travel","2015","South-East","Thousand","3772"
"Number of Nights by Irish Residents on Domestic Travel","2015","South-West","Thousand","5627"
"Number of Nights by Irish Residents on Domestic Travel","2016","State","Thousand","25589"
"Number of Nights by Irish Residents on Domestic Travel","2016","Border, Midland and Western","Thousand","8533"
"Number of Nights by Irish Residents on Domestic Travel","2016","Border","Thousand","3189"
"Number of Nights by Irish Residents on Domestic Travel","2016","Midland","Thousand","769"
"Number of Nights by Irish Residents on Domestic Travel","2016","West","Thousand","4575"
"Number of Nights by Irish Residents on Domestic Travel","2016","Southern and Eastern","Thousand","17057"
"Number of Nights by Irish Residents on Domestic Travel","2016","Dublin","Thousand","3096"
"Number of Nights by Irish Residents on Domestic Travel","2016","Mid-East","Thousand","1725"
"Number of Nights by Irish Residents on Domestic Travel","2016","Mid-West","Thousand","2786"
"Number of Nights by Irish Residents on Domestic Travel","2016","South-East","Thousand","3644"
"Number of Nights by Irish Residents on Domestic Travel","2016","South-West","Thousand","5806"
"Number of Nights by Irish Residents on Domestic Travel","2017","State","Thousand","25539"
"Number of Nights by Irish Residents on Domestic Travel","2017","Border, Midland and Western","Thousand","9008"
"Number of Nights by Irish Residents on Domestic Travel","2017","Border","Thousand","2999"
"Number of Nights by Irish Residents on Domestic Travel","2017","Midland","Thousand","748"
"Number of Nights by Irish Residents on Domestic Travel","2017","West","Thousand","5262"
"Number of Nights by Irish Residents on Domestic Travel","2017","Southern and Eastern","Thousand","16531"
"Number of Nights by Irish Residents on Domestic Travel","2017","Dublin","Thousand","3099"
"Number of Nights by Irish Residents on Domestic Travel","2017","Mid-East","Thousand","1463"
"Number of Nights by Irish Residents on Domestic Travel","2017","Mid-West","Thousand","2503"
"Number of Nights by Irish Residents on Domestic Travel","2017","South-East","Thousand","3657"
"Number of Nights by Irish Residents on Domestic Travel","2017","South-West","Thousand","5809"
"Average Length of Stay by Irish Residents on Domestic Travel","2000","State","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2000","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2000","Border","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2000","Midland","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2000","West","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2000","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2000","Dublin","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2000","Mid-East","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2000","Mid-West","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2000","South-East","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2000","South-West","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2001","State","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2001","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2001","Border","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2001","Midland","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2001","West","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2001","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2001","Dublin","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2001","Mid-East","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2001","Mid-West","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2001","South-East","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2001","South-West","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2002","State","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2002","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2002","Border","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2002","Midland","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2002","West","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2002","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2002","Dublin","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2002","Mid-East","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2002","Mid-West","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2002","South-East","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2002","South-West","Nights per Trip","4"
"Average Length of Stay by Irish Residents on Domestic Travel","2003","State","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2003","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2003","Border","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2003","Midland","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2003","West","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2003","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2003","Dublin","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2003","Mid-East","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2003","Mid-West","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2003","South-East","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2003","South-West","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2004","State","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2004","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2004","Border","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2004","Midland","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2004","West","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2004","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2004","Dublin","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2004","Mid-East","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2004","Mid-West","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2004","South-East","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2004","South-West","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2005","State","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2005","Border, Midland and Western","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2005","Border","Nights per Trip","3.74"
"Average Length of Stay by Irish Residents on Domestic Travel","2005","Midland","Nights per Trip","2.26"
"Average Length of Stay by Irish Residents on Domestic Travel","2005","West","Nights per Trip","3.61"
"Average Length of Stay by Irish Residents on Domestic Travel","2005","Southern and Eastern","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2005","Dublin","Nights per Trip","2.67"
"Average Length of Stay by Irish Residents on Domestic Travel","2005","Mid-East","Nights per Trip","3.17"
"Average Length of Stay by Irish Residents on Domestic Travel","2005","Mid-West","Nights per Trip","3.28"
"Average Length of Stay by Irish Residents on Domestic Travel","2005","South-East","Nights per Trip","3.62"
"Average Length of Stay by Irish Residents on Domestic Travel","2005","South-West","Nights per Trip","3.89"
"Average Length of Stay by Irish Residents on Domestic Travel","2006","State","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2006","Border, Midland and Western","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2006","Border","Nights per Trip","3.11"
"Average Length of Stay by Irish Residents on Domestic Travel","2006","Midland","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2006","West","Nights per Trip","3.49"
"Average Length of Stay by Irish Residents on Domestic Travel","2006","Southern and Eastern","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2006","Dublin","Nights per Trip","2.47"
"Average Length of Stay by Irish Residents on Domestic Travel","2006","Mid-East","Nights per Trip","2.64"
"Average Length of Stay by Irish Residents on Domestic Travel","2006","Mid-West","Nights per Trip","3.39"
"Average Length of Stay by Irish Residents on Domestic Travel","2006","South-East","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2006","South-West","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2007","State","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2007","Border, Midland and Western","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2007","Border","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2007","Midland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2007","West","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2007","Southern and Eastern","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2007","Dublin","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2007","Mid-East","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2007","Mid-West","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2007","South-East","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2007","South-West","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2008","State","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2008","Border, Midland and Western","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2008","Border","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2008","Midland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2008","West","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2008","Southern and Eastern","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2008","Dublin","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2008","Mid-East","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2008","Mid-West","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2008","South-East","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2008","South-West","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2009","State","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2009","Border, Midland and Western","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2009","Border","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2009","Midland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2009","West","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2009","Southern and Eastern","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2009","Dublin","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2009","Mid-East","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2009","Mid-West","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2009","South-East","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2009","South-West","Nights per Trip",""
"Average Length of Stay by Irish Residents on Domestic Travel","2010","State","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Border, Midland and Western","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Border","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Midland","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","West","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Southern and Eastern","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Dublin","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Mid-East","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Mid-West","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","South-East","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","South-West","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2011","State","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2011","Border, Midland and Western","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2011","Border","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2011","Midland","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2011","West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2011","Southern and Eastern","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2011","Dublin","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2011","Mid-East","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2011","Mid-West","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2011","South-East","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2011","South-West","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2012","State","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2012","Border, Midland and Western","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2012","Border","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2012","Midland","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2012","West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2012","Southern and Eastern","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2012","Dublin","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2012","Mid-East","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2012","Mid-West","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2012","South-East","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2012","South-West","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2013","State","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2013","Border, Midland and Western","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2013","Border","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2013","Midland","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2013","West","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2013","Southern and Eastern","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2013","Dublin","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2013","Mid-East","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2013","Mid-West","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2013","South-East","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2013","South-West","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","State","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Border, Midland and Western","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Border","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Midland","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","West","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Southern and Eastern","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Dublin","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Mid-East","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Mid-West","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","South-East","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","South-West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","State","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Border, Midland and Western","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Border","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Midland","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","West","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Southern and Eastern","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Dublin","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Mid-East","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Mid-West","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","South-East","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","South-West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","State","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Border, Midland and Western","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Border","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Midland","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","West","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Southern and Eastern","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Dublin","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Mid-East","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Mid-West","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","South-East","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","South-West","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","State","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Border, Midland and Western","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Border","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Midland","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Southern and Eastern","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Dublin","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Mid-East","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Mid-West","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","South-East","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","South-West","Nights per Trip","2.8"
"Estimated Expenditure by Irish Residents on Domestic Travel","2000","State","Euro Million","706.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2000","Border, Midland and Western","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2000","Border","Euro Million","73.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2000","Midland","Euro Million","12.7"
"Estimated Expenditure by Irish Residents on Domestic Travel","2000","West","Euro Million","154.8"
"Estimated Expenditure by Irish Residents on Domestic Travel","2000","Southern and Eastern","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2000","Dublin","Euro Million","82.8"
"Estimated Expenditure by Irish Residents on Domestic Travel","2000","Mid-East","Euro Million","22.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2000","Mid-West","Euro Million","69.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2000","South-East","Euro Million","99.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2000","South-West","Euro Million","190.8"
"Estimated Expenditure by Irish Residents on Domestic Travel","2001","State","Euro Million","879.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2001","Border, Midland and Western","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2001","Border","Euro Million","91.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2001","Midland","Euro Million","23.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2001","West","Euro Million","187.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2001","Southern and Eastern","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2001","Dublin","Euro Million","108.5"
"Estimated Expenditure by Irish Residents on Domestic Travel","2001","Mid-East","Euro Million","26.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2001","Mid-West","Euro Million","87.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2001","South-East","Euro Million","135.7"
"Estimated Expenditure by Irish Residents on Domestic Travel","2001","South-West","Euro Million","218.8"
"Estimated Expenditure by Irish Residents on Domestic Travel","2002","State","Euro Million","849.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2002","Border, Midland and Western","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2002","Border","Euro Million","80.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2002","Midland","Euro Million","25.5"
"Estimated Expenditure by Irish Residents on Domestic Travel","2002","West","Euro Million","174.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2002","Southern and Eastern","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2002","Dublin","Euro Million","105"
"Estimated Expenditure by Irish Residents on Domestic Travel","2002","Mid-East","Euro Million","34.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2002","Mid-West","Euro Million","82.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2002","South-East","Euro Million","132.5"
"Estimated Expenditure by Irish Residents on Domestic Travel","2002","South-West","Euro Million","215.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2003","State","Euro Million","970.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2003","Border, Midland and Western","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2003","Border","Euro Million","96.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2003","Midland","Euro Million","27"
"Estimated Expenditure by Irish Residents on Domestic Travel","2003","West","Euro Million","204.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2003","Southern and Eastern","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2003","Dublin","Euro Million","113.8"
"Estimated Expenditure by Irish Residents on Domestic Travel","2003","Mid-East","Euro Million","46.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2003","Mid-West","Euro Million","96.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2003","South-East","Euro Million","138.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2003","South-West","Euro Million","248.7"
"Estimated Expenditure by Irish Residents on Domestic Travel","2004","State","Euro Million","1037.2"
"Estimated Expenditure by Irish Residents on Domestic Travel","2004","Border, Midland and Western","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2004","Border","Euro Million","103.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2004","Midland","Euro Million","32"
"Estimated Expenditure by Irish Residents on Domestic Travel","2004","West","Euro Million","210.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2004","Southern and Eastern","Euro Million",""
"Estimated Expenditure by Irish Residents on Domestic Travel","2004","Dublin","Euro Million","143.7"
"Estimated Expenditure by Irish Residents on Domestic Travel","2004","Mid-East","Euro Million","39.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2004","Mid-West","Euro Million","91.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2004","South-East","Euro Million","150.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2004","South-West","Euro Million","265.7"
"Estimated Expenditure by Irish Residents on Domestic Travel","2005","State","Euro Million","1164.5"
"Estimated Expenditure by Irish Residents on Domestic Travel","2005","Border, Midland and Western","Euro Million","382.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2005","Border","Euro Million","118.7"
"Estimated Expenditure by Irish Residents on Domestic Travel","2005","Midland","Euro Million","34.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2005","West","Euro Million","230.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2005","Southern and Eastern","Euro Million","781.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2005","Dublin","Euro Million","168.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2005","Mid-East","Euro Million","57.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2005","Mid-West","Euro Million","99.7"
"Estimated Expenditure by Irish Residents on Domestic Travel","2005","South-East","Euro Million","180.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2005","South-West","Euro Million","275.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2006","State","Euro Million","1375.2"
"Estimated Expenditure by Irish Residents on Domestic Travel","2006","Border, Midland and Western","Euro Million","442.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2006","Border","Euro Million","118.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2006","Midland","Euro Million","49.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2006","West","Euro Million","288.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2006","Southern and Eastern","Euro Million","932.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2006","Dublin","Euro Million","230.7"
