"Statistic Label","Year","Sex","Domestic","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2000","Female","Outbound","Nights per Trip","10"
"Average Length of Stay by Irish Residents","2001","Both sexes","Domestic","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2001","Both sexes","Outbound","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2001","Male","Domestic","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2001","Male","Outbound","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2001","Female","Domestic","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2001","Female","Outbound","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2002","Both sexes","Domestic","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2002","Both sexes","Outbound","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2002","Male","Domestic","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2002","Male","Outbound","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2002","Female","Domestic","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2002","Female","Outbound","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2003","Both sexes","Domestic","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2003","Both sexes","Outbound","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2003","Male","Domestic","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2003","Male","Outbound","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2003","Female","Domestic","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2003","Female","Outbound","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2004","Both sexes","Domestic","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2004","Both sexes","Outbound","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2004","Male","Domestic","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2004","Male","Outbound","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2004","Female","Domestic","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2004","Female","Outbound","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2005","Both sexes","Domestic","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2005","Both sexes","Outbound","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2005","Male","Domestic","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2005","Male","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2005","Female","Domestic","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2005","Female","Outbound","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2006","Both sexes","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2006","Both sexes","Outbound","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2006","Male","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2006","Male","Outbound","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2006","Female","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2006","Female","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2007","Both sexes","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2007","Both sexes","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2007","Male","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2007","Male","Outbound","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2007","Female","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2007","Female","Outbound","Nights per Trip","8.1"
