"Statistic Label","Year","Domestic","Region of Residence","UNIT","VALUE"
"Number of Nights by Irish Residents","2016","Outbound","Mid-East","Thousand","7102"
"Number of Nights by Irish Residents","2016","Outbound","Mid-West","Thousand","4353"
"Number of Nights by Irish Residents","2016","Outbound","South-East","Thousand","4680"
"Number of Nights by Irish Residents","2016","Outbound","South-West","Thousand","6784"
"Number of Nights by Irish Residents","2017","Domestic","State","Thousand","25539"
"Number of Nights by Irish Residents","2017","Domestic","Border, Midland and Western","Thousand","5327"
"Number of Nights by Irish Residents","2017","Domestic","Border","Thousand","2104"
"Number of Nights by Irish Residents","2017","Domestic","Midland","Thousand","1070"
"Number of Nights by Irish Residents","2017","Domestic","West","Thousand","2153"
"Number of Nights by Irish Residents","2017","Domestic","Southern and Eastern","Thousand","20212"
"Number of Nights by Irish Residents","2017","Domestic","Dublin","Thousand","8524"
"Number of Nights by Irish Residents","2017","Domestic","Mid-East","Thousand","3544"
"Number of Nights by Irish Residents","2017","Domestic","Mid-West","Thousand","1901"
"Number of Nights by Irish Residents","2017","Domestic","South-East","Thousand","2578"
"Number of Nights by Irish Residents","2017","Domestic","South-West","Thousand","3664"
"Number of Nights by Irish Residents","2017","Outbound","State","Thousand","57698"
"Number of Nights by Irish Residents","2017","Outbound","Border, Midland and Western","Thousand","11889"
"Number of Nights by Irish Residents","2017","Outbound","Border","Thousand","5508"
"Number of Nights by Irish Residents","2017","Outbound","Midland","Thousand","2889"
"Number of Nights by Irish Residents","2017","Outbound","West","Thousand","3492"
"Number of Nights by Irish Residents","2017","Outbound","Southern and Eastern","Thousand","45809"
"Number of Nights by Irish Residents","2017","Outbound","Dublin","Thousand","22105"
"Number of Nights by Irish Residents","2017","Outbound","Mid-East","Thousand","6745"
"Number of Nights by Irish Residents","2017","Outbound","Mid-West","Thousand","4380"
"Number of Nights by Irish Residents","2017","Outbound","South-East","Thousand","5447"
"Number of Nights by Irish Residents","2017","Outbound","South-West","Thousand","7132"
"Average Length of Stay by Irish Residents","2000","Domestic","State","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2000","Domestic","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents","2000","Domestic","Border","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2000","Domestic","Midland","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2000","Domestic","West","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2000","Domestic","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents","2000","Domestic","Dublin","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2000","Domestic","Mid-East","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2000","Domestic","Mid-West","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2000","Domestic","South-East","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2000","Domestic","South-West","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2000","Outbound","State","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2000","Outbound","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents","2000","Outbound","Border","Nights per Trip","9.8"
"Average Length of Stay by Irish Residents","2000","Outbound","Midland","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2000","Outbound","West","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents","2000","Outbound","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents","2000","Outbound","Dublin","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2000","Outbound","Mid-East","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2000","Outbound","Mid-West","Nights per Trip","10"
"Average Length of Stay by Irish Residents","2000","Outbound","South-East","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2000","Outbound","South-West","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents","2001","Domestic","State","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2001","Domestic","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents","2001","Domestic","Border","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2001","Domestic","Midland","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2001","Domestic","West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2001","Domestic","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents","2001","Domestic","Dublin","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2001","Domestic","Mid-East","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2001","Domestic","Mid-West","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2001","Domestic","South-East","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2001","Domestic","South-West","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2001","Outbound","State","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2001","Outbound","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents","2001","Outbound","Border","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2001","Outbound","Midland","Nights per Trip","10.2"
"Average Length of Stay by Irish Residents","2001","Outbound","West","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2001","Outbound","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents","2001","Outbound","Dublin","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2001","Outbound","Mid-East","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2001","Outbound","Mid-West","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2001","Outbound","South-East","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2001","Outbound","South-West","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents","2002","Domestic","State","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2002","Domestic","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents","2002","Domestic","Border","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2002","Domestic","Midland","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2002","Domestic","West","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2002","Domestic","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents","2002","Domestic","Dublin","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2002","Domestic","Mid-East","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2002","Domestic","Mid-West","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2002","Domestic","South-East","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2002","Domestic","South-West","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2002","Outbound","State","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2002","Outbound","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents","2002","Outbound","Border","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2002","Outbound","Midland","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2002","Outbound","West","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2002","Outbound","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents","2002","Outbound","Dublin","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2002","Outbound","Mid-East","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2002","Outbound","Mid-West","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2002","Outbound","South-East","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2002","Outbound","South-West","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2003","Domestic","State","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2003","Domestic","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Domestic","Border","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2003","Domestic","Midland","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2003","Domestic","West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2003","Domestic","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Domestic","Dublin","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2003","Domestic","Mid-East","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2003","Domestic","Mid-West","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2003","Domestic","South-East","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2003","Domestic","South-West","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2003","Outbound","State","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2003","Outbound","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Outbound","Border","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2003","Outbound","Midland","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2003","Outbound","West","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents","2003","Outbound","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Outbound","Dublin","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2003","Outbound","Mid-East","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2003","Outbound","Mid-West","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2003","Outbound","South-East","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2003","Outbound","South-West","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2004","Domestic","State","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2004","Domestic","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Domestic","Border","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2004","Domestic","Midland","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2004","Domestic","West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2004","Domestic","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Domestic","Dublin","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2004","Domestic","Mid-East","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2004","Domestic","Mid-West","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2004","Domestic","South-East","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2004","Domestic","South-West","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2004","Outbound","State","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2004","Outbound","Border, Midland and Western","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Outbound","Border","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2004","Outbound","Midland","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2004","Outbound","West","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2004","Outbound","Southern and Eastern","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Outbound","Dublin","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2004","Outbound","Mid-East","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2004","Outbound","Mid-West","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2004","Outbound","South-East","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2004","Outbound","South-West","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2005","Domestic","State","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2005","Domestic","Border, Midland and Western","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2005","Domestic","Border","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2005","Domestic","Midland","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2005","Domestic","West","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2005","Domestic","Southern and Eastern","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2005","Domestic","Dublin","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2005","Domestic","Mid-East","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2005","Domestic","Mid-West","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2005","Domestic","South-East","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2005","Domestic","South-West","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2005","Outbound","State","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2005","Outbound","Border, Midland and Western","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2005","Outbound","Border","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2005","Outbound","Midland","Nights per Trip","9.5"
"Average Length of Stay by Irish Residents","2005","Outbound","West","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2005","Outbound","Southern and Eastern","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2005","Outbound","Dublin","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2005","Outbound","Mid-East","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2005","Outbound","Mid-West","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2005","Outbound","South-East","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2005","Outbound","South-West","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2006","Domestic","State","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2006","Domestic","Border, Midland and Western","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2006","Domestic","Border","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2006","Domestic","Midland","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2006","Domestic","West","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2006","Domestic","Southern and Eastern","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2006","Domestic","Dublin","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2006","Domestic","Mid-East","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2006","Domestic","Mid-West","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2006","Domestic","South-East","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2006","Domestic","South-West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2006","Outbound","State","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2006","Outbound","Border, Midland and Western","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2006","Outbound","Border","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2006","Outbound","Midland","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2006","Outbound","West","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2006","Outbound","Southern and Eastern","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2006","Outbound","Dublin","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2006","Outbound","Mid-East","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2006","Outbound","Mid-West","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2006","Outbound","South-East","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2006","Outbound","South-West","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2007","Domestic","State","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2007","Domestic","Border, Midland and Western","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2007","Domestic","Border","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Domestic","Midland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Domestic","West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Domestic","Southern and Eastern","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2007","Domestic","Dublin","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Domestic","Mid-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Domestic","Mid-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Domestic","South-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Domestic","South-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","State","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2007","Outbound","Border, Midland and Western","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2007","Outbound","Border","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","Midland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","Southern and Eastern","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2007","Outbound","Dublin","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","Mid-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","Mid-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","South-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","South-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Domestic","State","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2008","Domestic","Border, Midland and Western","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2008","Domestic","Border","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Domestic","Midland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Domestic","West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Domestic","Southern and Eastern","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2008","Domestic","Dublin","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Domestic","Mid-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Domestic","Mid-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Domestic","South-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Domestic","South-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","State","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2008","Outbound","Border, Midland and Western","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2008","Outbound","Border","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","Midland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","Southern and Eastern","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2008","Outbound","Dublin","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","Mid-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","Mid-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","South-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","South-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Domestic","State","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2009","Domestic","Border, Midland and Western","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2009","Domestic","Border","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Domestic","Midland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Domestic","West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Domestic","Southern and Eastern","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2009","Domestic","Dublin","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Domestic","Mid-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Domestic","Mid-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Domestic","South-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Domestic","South-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Outbound","State","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2009","Outbound","Border, Midland and Western","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2009","Outbound","Border","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Outbound","Midland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Outbound","West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Outbound","Southern and Eastern","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2009","Outbound","Dublin","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Outbound","Mid-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Outbound","Mid-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Outbound","South-East","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Outbound","South-West","Nights per Trip",""
"Average Length of Stay by Irish Residents","2010","Domestic","State","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2010","Domestic","Border, Midland and Western","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2010","Domestic","Border","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2010","Domestic","Midland","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2010","Domestic","West","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2010","Domestic","Southern and Eastern","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2010","Domestic","Dublin","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2010","Domestic","Mid-East","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2010","Domestic","Mid-West","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2010","Domestic","South-East","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2010","Domestic","South-West","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2010","Outbound","State","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2010","Outbound","Border, Midland and Western","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2010","Outbound","Border","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2010","Outbound","Midland","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2010","Outbound","West","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2010","Outbound","Southern and Eastern","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2010","Outbound","Dublin","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2010","Outbound","Mid-East","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2010","Outbound","Mid-West","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2010","Outbound","South-East","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2010","Outbound","South-West","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2011","Domestic","State","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2011","Domestic","Border, Midland and Western","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2011","Domestic","Border","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2011","Domestic","Midland","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2011","Domestic","West","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2011","Domestic","Southern and Eastern","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2011","Domestic","Dublin","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2011","Domestic","Mid-East","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2011","Domestic","Mid-West","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2011","Domestic","South-East","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2011","Domestic","South-West","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2011","Outbound","State","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2011","Outbound","Border, Midland and Western","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2011","Outbound","Border","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2011","Outbound","Midland","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2011","Outbound","West","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2011","Outbound","Southern and Eastern","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2011","Outbound","Dublin","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2011","Outbound","Mid-East","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2011","Outbound","Mid-West","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2011","Outbound","South-East","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2011","Outbound","South-West","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2012","Domestic","State","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2012","Domestic","Border, Midland and Western","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2012","Domestic","Border","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2012","Domestic","Midland","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2012","Domestic","West","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2012","Domestic","Southern and Eastern","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2012","Domestic","Dublin","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2012","Domestic","Mid-East","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2012","Domestic","Mid-West","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2012","Domestic","South-East","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2012","Domestic","South-West","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2012","Outbound","State","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2012","Outbound","Border, Midland and Western","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2012","Outbound","Border","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents","2012","Outbound","Midland","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2012","Outbound","West","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2012","Outbound","Southern and Eastern","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2012","Outbound","Dublin","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2012","Outbound","Mid-East","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2012","Outbound","Mid-West","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2012","Outbound","South-East","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2012","Outbound","South-West","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2013","Domestic","State","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2013","Domestic","Border, Midland and Western","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2013","Domestic","Border","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2013","Domestic","Midland","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2013","Domestic","West","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2013","Domestic","Southern and Eastern","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2013","Domestic","Dublin","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2013","Domestic","Mid-East","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2013","Domestic","Mid-West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2013","Domestic","South-East","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2013","Domestic","South-West","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2013","Outbound","State","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2013","Outbound","Border, Midland and Western","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2013","Outbound","Border","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2013","Outbound","Midland","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2013","Outbound","West","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2013","Outbound","Southern and Eastern","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2013","Outbound","Dublin","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2013","Outbound","Mid-East","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2013","Outbound","Mid-West","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2013","Outbound","South-East","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2013","Outbound","South-West","Nights per Trip","8.9"
