"Statistic Label","Year","Age Group","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2008","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2008","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2008","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2008","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2008","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2008","All ages","Domestic","Thousand","8339"
"Number of Trips by Irish Residents","2008","All ages","Outbound","Thousand","8042"
"Number of Trips by Irish Residents","2009","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2009","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2009","0 - 19 years","Domestic","Thousand","1779"
"Number of Trips by Irish Residents","2009","0 - 19 years","Outbound","Thousand","1244"
"Number of Trips by Irish Residents","2009","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2009","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2009","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2009","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2009","20 - 49 years","Domestic","Thousand","3091"
"Number of Trips by Irish Residents","2009","20 - 49 years","Outbound","Thousand","2729"
"Number of Trips by Irish Residents","2009","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2009","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2009","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2009","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2009","50 years and over","Domestic","Thousand","3472"
"Number of Trips by Irish Residents","2009","50 years and over","Outbound","Thousand","3319"
"Number of Trips by Irish Residents","2009","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2009","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2009","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2009","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2009","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2009","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2009","All ages","Domestic","Thousand","8340"
"Number of Trips by Irish Residents","2009","All ages","Outbound","Thousand","7292"
"Number of Trips by Irish Residents","2010","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2010","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2010","0 - 19 years","Domestic","Thousand","1520"
"Number of Trips by Irish Residents","2010","0 - 19 years","Outbound","Thousand","1126"
"Number of Trips by Irish Residents","2010","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2010","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2010","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2010","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2010","20 - 49 years","Domestic","Thousand","2948"
"Number of Trips by Irish Residents","2010","20 - 49 years","Outbound","Thousand","2779"
"Number of Trips by Irish Residents","2010","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2010","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2010","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2010","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2010","50 years and over","Domestic","Thousand","2832"
"Number of Trips by Irish Residents","2010","50 years and over","Outbound","Thousand","3012"
"Number of Trips by Irish Residents","2010","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2010","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2010","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2010","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2010","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2010","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2010","All ages","Domestic","Thousand","7300"
"Number of Trips by Irish Residents","2010","All ages","Outbound","Thousand","6917"
"Number of Trips by Irish Residents","2011","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2011","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2011","0 - 19 years","Domestic","Thousand","1599"
"Number of Trips by Irish Residents","2011","0 - 19 years","Outbound","Thousand","1003"
"Number of Trips by Irish Residents","2011","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2011","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2011","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2011","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2011","20 - 49 years","Domestic","Thousand","2766"
"Number of Trips by Irish Residents","2011","20 - 49 years","Outbound","Thousand","2636"
"Number of Trips by Irish Residents","2011","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2011","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2011","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2011","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2011","50 years and over","Domestic","Thousand","2804"
"Number of Trips by Irish Residents","2011","50 years and over","Outbound","Thousand","2875"
"Number of Trips by Irish Residents","2011","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2011","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2011","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2011","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2011","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2011","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2011","All ages","Domestic","Thousand","7169"
"Number of Trips by Irish Residents","2011","All ages","Outbound","Thousand","6514"
"Number of Trips by Irish Residents","2012","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2012","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2012","0 - 19 years","Domestic","Thousand","2200"
"Number of Trips by Irish Residents","2012","0 - 19 years","Outbound","Thousand","1380"
"Number of Trips by Irish Residents","2012","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2012","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2012","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2012","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2012","20 - 49 years","Domestic","Thousand","3773"
"Number of Trips by Irish Residents","2012","20 - 49 years","Outbound","Thousand","3271"
"Number of Trips by Irish Residents","2012","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2012","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2012","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2012","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2012","50 years and over","Domestic","Thousand","2318"
"Number of Trips by Irish Residents","2012","50 years and over","Outbound","Thousand","1972"
"Number of Trips by Irish Residents","2012","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2012","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2012","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2012","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2012","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2012","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2012","All ages","Domestic","Thousand","8291"
"Number of Trips by Irish Residents","2012","All ages","Outbound","Thousand","6623"
"Number of Trips by Irish Residents","2013","0 - 14 years","Domestic","Thousand",""
