"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20173","2017Q3","Thousand","2386"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20174","2017Q4","Thousand","2585"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20181","2018Q1","Thousand","2069"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20182","2018Q2","Thousand","2051"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20183","2018Q3","Thousand","2165"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20184","2018Q4","Thousand","2555"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20191","2019Q1","Thousand","2053"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20192","2019Q2","Thousand","2090"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20193","2019Q3","Thousand","2261"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20194","2019Q4","Thousand","2387"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20121","2012Q1","Thousand","1604"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20122","2012Q2","Thousand","2619"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20123","2012Q3","Thousand","3432"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20124","2012Q4","Thousand","2445"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20131","2013Q1","Thousand","1633"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20132","2013Q2","Thousand","2924"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20133","2013Q3","Thousand","2683"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20134","2013Q4","Thousand","2110"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20141","2014Q1","Thousand","1433"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","20142","2014Q2","Thousand","3315"
