"STATISTIC","Statistic Label","C02149V02592","Type of Expenditure","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20131","2013Q1","Euro Million","688"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20132","2013Q2","Euro Million","1140"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20133","2013Q3","Euro Million","1546"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20134","2013Q4","Euro Million","864"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20141","2014Q1","Euro Million","699"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20142","2014Q2","Euro Million","1331"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20143","2014Q3","Euro Million","1734"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20144","2014Q4","Euro Million","952"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20151","2015Q1","Euro Million","780"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20152","2015Q2","Euro Million","1566"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20153","2015Q3","Euro Million","2037"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20154","2015Q4","Euro Million","1148"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20161","2016Q1","Euro Million","926"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20162","2016Q2","Euro Million","1655"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20163","2016Q3","Euro Million","2241"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20164","2016Q4","Euro Million","1242"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20171","2017Q1","Euro Million","945"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20172","2017Q2","Euro Million","1876"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20173","2017Q3","Euro Million","2287"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20174","2017Q4","Euro Million","1377"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20181","2018Q1","Euro Million","1079"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20182","2018Q2","Euro Million","1970"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20183","2018Q3","Euro Million","2425"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20184","2018Q4","Euro Million","1400"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20191","2019Q1","Euro Million","1029"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20192","2019Q2","Euro Million","2012"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20193","2019Q3","Euro Million","2448"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20194","2019Q4","Euro Million","1378"
