"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All Countries","1","Holiday/leisure/recreation","20124","2012Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","272"
"-","All Countries","1","Holiday/leisure/recreation","20124","2012Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20131","2013Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"-","All Countries","1","Holiday/leisure/recreation","20131","2013Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","212"
"-","All Countries","1","Holiday/leisure/recreation","20131","2013Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20132","2013Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"-","All Countries","1","Holiday/leisure/recreation","20132","2013Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","486"
"-","All Countries","1","Holiday/leisure/recreation","20132","2013Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20133","2013Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"-","All Countries","1","Holiday/leisure/recreation","20133","2013Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","727"
"-","All Countries","1","Holiday/leisure/recreation","20133","2013Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20134","2013Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"-","All Countries","1","Holiday/leisure/recreation","20134","2013Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","262"
"-","All Countries","1","Holiday/leisure/recreation","20134","2013Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20141","2014Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"-","All Countries","1","Holiday/leisure/recreation","20141","2014Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","194"
"-","All Countries","1","Holiday/leisure/recreation","20141","2014Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20142","2014Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"-","All Countries","1","Holiday/leisure/recreation","20142","2014Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","502"
"-","All Countries","1","Holiday/leisure/recreation","20142","2014Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
