"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"ZZEURQ06","Other Europe (14)","3","Business","20162","2016Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"ZZEURQ06","Other Europe (14)","3","Business","20162","2016Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","45"
"ZZEURQ06","Other Europe (14)","3","Business","20162","2016Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"ZZEURQ06","Other Europe (14)","3","Business","20163","2016Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.1"
"ZZEURQ06","Other Europe (14)","3","Business","20163","2016Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","44"
"ZZEURQ06","Other Europe (14)","3","Business","20163","2016Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"ZZEURQ06","Other Europe (14)","3","Business","20164","2016Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.1"
"ZZEURQ06","Other Europe (14)","3","Business","20164","2016Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"ZZEURQ06","Other Europe (14)","3","Business","20164","2016Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"ZZEURQ06","Other Europe (14)","3","Business","20171","2017Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"ZZEURQ06","Other Europe (14)","3","Business","20171","2017Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"ZZEURQ06","Other Europe (14)","3","Business","20171","2017Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"ZZEURQ06","Other Europe (14)","3","Business","20172","2017Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"ZZEURQ06","Other Europe (14)","3","Business","20172","2017Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"ZZEURQ06","Other Europe (14)","3","Business","20172","2017Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"ZZEURQ06","Other Europe (14)","3","Business","20173","2017Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"ZZEURQ06","Other Europe (14)","3","Business","20173","2017Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","46"
"ZZEURQ06","Other Europe (14)","3","Business","20173","2017Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"ZZEURQ06","Other Europe (14)","3","Business","20174","2017Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.4"
"ZZEURQ06","Other Europe (14)","3","Business","20174","2017Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","48"
"ZZEURQ06","Other Europe (14)","3","Business","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","25"
"ZZEURQ06","Other Europe (14)","3","Business","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.4"
"ZZEURQ06","Other Europe (14)","3","Business","20181","2018Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"ZZEURQ06","Other Europe (14)","3","Business","20181","2018Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"ZZEURQ06","Other Europe (14)","3","Business","20182","2018Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.5"
"ZZEURQ06","Other Europe (14)","3","Business","20182","2018Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","49"
"ZZEURQ06","Other Europe (14)","3","Business","20182","2018Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"ZZEURQ06","Other Europe (14)","3","Business","20183","2018Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","11"
"ZZEURQ06","Other Europe (14)","3","Business","20183","2018Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"ZZEURQ06","Other Europe (14)","3","Business","20183","2018Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"ZZEURQ06","Other Europe (14)","3","Business","20184","2018Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.1"
"ZZEURQ06","Other Europe (14)","3","Business","20184","2018Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"ZZEURQ06","Other Europe (14)","3","Business","20184","2018Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"ZZEURQ06","Other Europe (14)","3","Business","20191","2019Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"ZZEURQ06","Other Europe (14)","3","Business","20191","2019Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","45"
"ZZEURQ06","Other Europe (14)","3","Business","20191","2019Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"ZZEURQ06","Other Europe (14)","3","Business","20192","2019Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"ZZEURQ06","Other Europe (14)","3","Business","20192","2019Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"ZZEURQ06","Other Europe (14)","3","Business","20192","2019Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"ZZEURQ06","Other Europe (14)","3","Business","20193","2019Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"ZZEURQ06","Other Europe (14)","3","Business","20193","2019Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","51"
"ZZEURQ06","Other Europe (14)","3","Business","20193","2019Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"ZZEURQ06","Other Europe (14)","3","Business","20194","2019Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10"
"ZZEURQ06","Other Europe (14)","3","Business","20194","2019Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"ZZEURQ06","Other Europe (14)","3","Business","20194","2019Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","26"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20121","2012Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.6"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20121","2012Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20121","2012Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","47"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20122","2012Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.4"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20122","2012Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20122","2012Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","38"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20123","2012Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.1"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20123","2012Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20123","2012Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","45"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20124","2012Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","18.3"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20124","2012Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20124","2012Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","32"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20131","2013Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.8"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20131","2013Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","13"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20131","2013Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20132","2013Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.4"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20132","2013Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20132","2013Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","40"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20133","2013Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.2"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20133","2013Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20133","2013Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","39"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20134","2013Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.6"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20134","2013Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20134","2013Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20141","2014Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20141","2014Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20141","2014Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20142","2014Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.7"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20142","2014Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","39"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20142","2014Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","35"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20143","2014Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.7"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20143","2014Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20143","2014Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","31"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20144","2014Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.8"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20144","2014Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20144","2014Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20151","2015Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","20.4"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20151","2015Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20151","2015Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20152","2015Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.6"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20152","2015Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20152","2015Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20153","2015Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.4"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20153","2015Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","54"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20153","2015Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","34"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20154","2015Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.3"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20154","2015Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","26"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20154","2015Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20161","2016Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","24.2"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20161","2016Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20161","2016Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","29"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20162","2016Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.9"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20162","2016Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20162","2016Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","32"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20163","2016Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20163","2016Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","60"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20163","2016Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","34"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20164","2016Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","17"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20164","2016Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","16"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20164","2016Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20171","2017Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.3"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20171","2017Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20171","2017Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","35"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20172","2017Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.9"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20172","2017Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20172","2017Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20173","2017Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20173","2017Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","47"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20173","2017Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","35"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20174","2017Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","18.4"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20174","2017Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","39"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","32"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.5"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20181","2018Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20181","2018Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","29"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20182","2018Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.5"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20182","2018Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20182","2018Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","36"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20183","2018Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20183","2018Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20183","2018Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","31"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20184","2018Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20184","2018Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20184","2018Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","25"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20191","2019Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20191","2019Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20191","2019Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20192","2019Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.2"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20192","2019Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","42"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20192","2019Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","31"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20193","2019Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20193","2019Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20193","2019Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","26"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20194","2019Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.3"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20194","2019Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"ZZEURQ06","Other Europe (14)","4","Other reason for journey","20194","2019Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20121","2012Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.3"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20121","2012Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","48"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20121","2012Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20122","2012Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.8"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20122","2012Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","78"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20122","2012Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20123","2012Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20123","2012Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","98"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20123","2012Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20124","2012Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.1"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20124","2012Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","65"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20124","2012Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20131","2013Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.9"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20131","2013Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","51"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20131","2013Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20132","2013Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.5"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20132","2013Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","91"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20132","2013Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20133","2013Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.4"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20133","2013Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","128"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20133","2013Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20134","2013Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20134","2013Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","89"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20134","2013Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20141","2014Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.8"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20141","2014Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","73"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20141","2014Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20142","2014Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.3"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20142","2014Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","116"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20142","2014Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20143","2014Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.2"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20143","2014Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","145"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20143","2014Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"ZZWORX24","Other countries (24)","-","All reasons for journey","20144","2014Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.9"
