"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"1","Holiday/leisure/recreation","20172","2017Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","34"
"1","Holiday/leisure/recreation","20173","2017Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1587"
"1","Holiday/leisure/recreation","20173","2017Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","44"
"1","Holiday/leisure/recreation","20174","2017Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","932"
"1","Holiday/leisure/recreation","20174","2017Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","37"
"1","Holiday/leisure/recreation","20181","2018Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","771"
"1","Holiday/leisure/recreation","20181","2018Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","25"
"1","Holiday/leisure/recreation","20182","2018Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1508"
"1","Holiday/leisure/recreation","20182","2018Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","36"
"1","Holiday/leisure/recreation","20183","2018Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1755"
"1","Holiday/leisure/recreation","20183","2018Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"1","Holiday/leisure/recreation","20184","2018Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1052"
"1","Holiday/leisure/recreation","20184","2018Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","40"
"1","Holiday/leisure/recreation","20191","2019Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","810"
"1","Holiday/leisure/recreation","20191","2019Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"1","Holiday/leisure/recreation","20192","2019Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1504"
"1","Holiday/leisure/recreation","20192","2019Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","47"
"1","Holiday/leisure/recreation","20193","2019Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1753"
"1","Holiday/leisure/recreation","20193","2019Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","46"
"1","Holiday/leisure/recreation","20194","2019Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1002"
"1","Holiday/leisure/recreation","20194","2019Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","38"
"2","Visit to friends/relatives","20121","2012Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","377"
"2","Visit to friends/relatives","20121","2012Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"2","Visit to friends/relatives","20122","2012Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","448"
"2","Visit to friends/relatives","20122","2012Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"2","Visit to friends/relatives","20123","2012Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","502"
"2","Visit to friends/relatives","20123","2012Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"2","Visit to friends/relatives","20124","2012Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","432"
"2","Visit to friends/relatives","20124","2012Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","13"
"2","Visit to friends/relatives","20131","2013Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","410"
"2","Visit to friends/relatives","20131","2013Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"2","Visit to friends/relatives","20132","2013Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","445"
"2","Visit to friends/relatives","20132","2013Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","10"
"2","Visit to friends/relatives","20133","2013Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","592"
"2","Visit to friends/relatives","20133","2013Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","11"
"2","Visit to friends/relatives","20134","2013Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","520"
"2","Visit to friends/relatives","20134","2013Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","12"
"2","Visit to friends/relatives","20141","2014Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","457"
"2","Visit to friends/relatives","20141","2014Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","8"
"2","Visit to friends/relatives","20142","2014Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","560"
"2","Visit to friends/relatives","20142","2014Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","14"
"2","Visit to friends/relatives","20143","2014Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","632"
"2","Visit to friends/relatives","20143","2014Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","11"
"2","Visit to friends/relatives","20144","2014Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","512"
"2","Visit to friends/relatives","20144","2014Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"2","Visit to friends/relatives","20151","2015Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","473"
"2","Visit to friends/relatives","20151","2015Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"2","Visit to friends/relatives","20152","2015Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","575"
"2","Visit to friends/relatives","20152","2015Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","12"
"2","Visit to friends/relatives","20153","2015Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","623"
"2","Visit to friends/relatives","20153","2015Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"2","Visit to friends/relatives","20154","2015Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","567"
"2","Visit to friends/relatives","20154","2015Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"2","Visit to friends/relatives","20161","2016Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","540"
"2","Visit to friends/relatives","20161","2016Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"2","Visit to friends/relatives","20162","2016Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","611"
"2","Visit to friends/relatives","20162","2016Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","21"
"2","Visit to friends/relatives","20163","2016Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","709"
"2","Visit to friends/relatives","20163","2016Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","21"
"2","Visit to friends/relatives","20164","2016Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","616"
"2","Visit to friends/relatives","20164","2016Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","20"
"2","Visit to friends/relatives","20171","2017Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","534"
"2","Visit to friends/relatives","20171","2017Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
