"STATISTIC Label","Month","Country","Direction","UNIT","VALUE"
"Air and Sea Travel","2010 April","Italy","Arrivals","Thousand","30.2"
"Air and Sea Travel","2010 April","Italy","Departures","Thousand","28.7"
"Air and Sea Travel","2010 April","Netherlands","Arrivals","Thousand","22.4"
"Air and Sea Travel","2010 April","Netherlands","Departures","Thousand","19.4"
"Air and Sea Travel","2010 April","Poland","Arrivals","Thousand","33.6"
"Air and Sea Travel","2010 April","Poland","Departures","Thousand","34.2"
"Air and Sea Travel","2010 April","Portugal","Arrivals","Thousand","18.3"
"Air and Sea Travel","2010 April","Portugal","Departures","Thousand","19.2"
"Air and Sea Travel","2010 April","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Arrivals","Thousand","45.3"
"Air and Sea Travel","2010 April","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Departures","Thousand","45.1"
"Air and Sea Travel","2010 April","Switzerland","Arrivals","Thousand","8.6"
"Air and Sea Travel","2010 April","Switzerland","Departures","Thousand","7.2"
"Air and Sea Travel","2010 April","Other Europe (34)","Arrivals","Thousand","4.5"
"Air and Sea Travel","2010 April","Other Europe (34)","Departures","Thousand","4.3"
"Air and Sea Travel","2010 April","United States","Arrivals","Thousand","59.4"
"Air and Sea Travel","2010 April","United States","Departures","Thousand","55.8"
"Air and Sea Travel","2010 April","Other Transatlantic Countries(1)","Arrivals","Thousand","0.3"
"Air and Sea Travel","2010 April","Other Transatlantic Countries(1)","Departures","Thousand","0.5"
"Air and Sea Travel","2010 April","United Arab Emirates","Arrivals","Thousand","8.4"
"Air and Sea Travel","2010 April","United Arab Emirates","Departures","Thousand","6.5"
"Air and Sea Travel","2010 April","Other Countries(42)","Arrivals","Thousand","6"
"Air and Sea Travel","2010 April","Other Countries(42)","Departures","Thousand","5.5"
"Air and Sea Travel","2010 April","All countries","Arrivals","Thousand","904.5"
"Air and Sea Travel","2010 April","All countries","Departures","Thousand","882"
"Air and Sea Travel","2010 May","Great Britain","Arrivals","Thousand","506.6"
"Air and Sea Travel","2010 May","Great Britain","Departures","Thousand","476.1"
"Air and Sea Travel","2010 May","Other UK (1)","Arrivals","Thousand","2.6"
"Air and Sea Travel","2010 May","Other UK (1)","Departures","Thousand","2.6"
"Air and Sea Travel","2010 May","Belgium","Arrivals","Thousand","12.2"
"Air and Sea Travel","2010 May","Belgium","Departures","Thousand","12.6"
"Air and Sea Travel","2010 May","Germany","Arrivals","Thousand","59.1"
"Air and Sea Travel","2010 May","Germany","Departures","Thousand","55.9"
"Air and Sea Travel","2010 May","Spain","Arrivals","Thousand","125.7"
