"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(A1)","Year","UNIT","VALUE"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","04","Other Areas","2017","2017","Thousand","2277"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","04","Other Areas","2018","2018","Thousand","1793"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","04","Other Areas","2019","2019","Thousand","1794"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All areas of residence","2009","2009","Thousand","18177"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All areas of residence","2010","2010","Thousand","15110"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All areas of residence","2011","2011","Thousand","14785"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All areas of residence","2012","2012","Thousand","13331"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All areas of residence","2013","2013","Thousand","14336"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All areas of residence","2014","2014","Thousand","16096"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All areas of residence","2015","2015","Thousand","15794"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All areas of residence","2016","2016","Thousand","17219"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All areas of residence","2017","2017","Thousand","16969"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All areas of residence","2018","2018","Thousand","17157"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All areas of residence","2019","2019","Thousand","17060"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","01","Great Britain","2009","2009","Thousand","8492"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","01","Great Britain","2010","2010","Thousand","6747"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","01","Great Britain","2011","2011","Thousand","6751"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","01","Great Britain","2012","2012","Thousand","5702"
