"Statistic Label","Month","Residency","Expenditure Type","UNIT","VALUE"
"Expenditure of Overnight Foreign Visitors","2023 December","All Residencies","All Travel Expenditure","Euro Million","514.5"
"Expenditure of Overnight Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Fare","Euro Million","24.8"
"Expenditure of Overnight Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","1.8"
"Expenditure of Overnight Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","23.3"
"Expenditure of Overnight Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","58.4"
"Expenditure of Overnight Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","108.4"
"Expenditure of Overnight Foreign Visitors","2024 January","Other Europe (3)","Fare","Euro Million","26.4"
"Expenditure of Overnight Foreign Visitors","2024 January","Other Europe (3)","Prepayments","Euro Million","2.1"
"Expenditure of Overnight Foreign Visitors","2024 January","Other Europe (3)","Accommodation","Euro Million","33.8"
"Expenditure of Overnight Foreign Visitors","2024 January","Other Europe (3)","Day-to-Day Expenditure","Euro Million","69.6"
"Expenditure of Overnight Foreign Visitors","2024 January","Other Europe (3)","All Travel Expenditure","Euro Million","132"
"Expenditure of Overnight Foreign Visitors","2024 January","USA & Canada","Fare","Euro Million","32.1"
"Expenditure of Overnight Foreign Visitors","2024 January","USA & Canada","Prepayments","Euro Million","6.1"
"Expenditure of Overnight Foreign Visitors","2024 January","USA & Canada","Accommodation","Euro Million","18.5"
"Expenditure of Overnight Foreign Visitors","2024 January","USA & Canada","Day-to-Day Expenditure","Euro Million","38"
"Expenditure of Overnight Foreign Visitors","2024 January","USA & Canada","All Travel Expenditure","Euro Million","94.7"
"Expenditure of Overnight Foreign Visitors","2024 January","Other Residencies","Fare","Euro Million","33.7"
"Expenditure of Overnight Foreign Visitors","2024 January","Other Residencies","Prepayments","Euro Million","0.6"
"Expenditure of Overnight Foreign Visitors","2024 January","Other Residencies","Accommodation","Euro Million","11.3"
"Expenditure of Overnight Foreign Visitors","2024 January","Other Residencies","Day-to-Day Expenditure","Euro Million","33.5"
"Expenditure of Overnight Foreign Visitors","2024 January","Other Residencies","All Travel Expenditure","Euro Million","79.1"
"Expenditure of Overnight Foreign Visitors","2024 January","All Residencies","Fare","Euro Million","117.1"
"Expenditure of Overnight Foreign Visitors","2024 January","All Residencies","Prepayments","Euro Million","10.6"
"Expenditure of Overnight Foreign Visitors","2024 January","All Residencies","Accommodation","Euro Million","86.9"
"Expenditure of Overnight Foreign Visitors","2024 January","All Residencies","Day-to-Day Expenditure","Euro Million","199.5"
"Expenditure of Overnight Foreign Visitors","2024 January","All Residencies","All Travel Expenditure","Euro Million","414.1"
"Percentage of Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Fare","%","24.4"
