"Area of Residence","Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"All Countries","Holiday/leisure/recreation","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","486"
"All Countries","Holiday/leisure/recreation","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"All Countries","Holiday/leisure/recreation","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","727"
"All Countries","Holiday/leisure/recreation","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"All Countries","Holiday/leisure/recreation","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","262"
"All Countries","Holiday/leisure/recreation","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"All Countries","Holiday/leisure/recreation","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","194"
"All Countries","Holiday/leisure/recreation","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"All Countries","Holiday/leisure/recreation","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","502"
"All Countries","Holiday/leisure/recreation","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Holiday/leisure/recreation","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"All Countries","Holiday/leisure/recreation","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","811"
