"Area of Residence","Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"Other Europe (14)","Holiday/leisure/recreation","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Other Europe (14)","Holiday/leisure/recreation","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","126"
"Other Europe (14)","Holiday/leisure/recreation","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","Holiday/leisure/recreation","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"Other Europe (14)","Holiday/leisure/recreation","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","39"
"Other Europe (14)","Holiday/leisure/recreation","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","Holiday/leisure/recreation","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"Other Europe (14)","Holiday/leisure/recreation","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"Other Europe (14)","Holiday/leisure/recreation","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Holiday/leisure/recreation","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"Other Europe (14)","Holiday/leisure/recreation","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","59"
"Other Europe (14)","Holiday/leisure/recreation","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"Other Europe (14)","Holiday/leisure/recreation","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Other Europe (14)","Holiday/leisure/recreation","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","126"
"Other Europe (14)","Holiday/leisure/recreation","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Holiday/leisure/recreation","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"Other Europe (14)","Holiday/leisure/recreation","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","45"
"Other Europe (14)","Holiday/leisure/recreation","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Holiday/leisure/recreation","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Other Europe (14)","Holiday/leisure/recreation","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"Other Europe (14)","Holiday/leisure/recreation","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"Other Europe (14)","Holiday/leisure/recreation","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"Other Europe (14)","Holiday/leisure/recreation","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","95"
"Other Europe (14)","Holiday/leisure/recreation","2015Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Holiday/leisure/recreation","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Other Europe (14)","Holiday/leisure/recreation","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","175"
"Other Europe (14)","Holiday/leisure/recreation","2015Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Holiday/leisure/recreation","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Other Europe (14)","Holiday/leisure/recreation","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"Other Europe (14)","Holiday/leisure/recreation","2015Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Holiday/leisure/recreation","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Other Europe (14)","Holiday/leisure/recreation","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","45"
"Other Europe (14)","Holiday/leisure/recreation","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Holiday/leisure/recreation","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"Other Europe (14)","Holiday/leisure/recreation","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","101"
"Other Europe (14)","Holiday/leisure/recreation","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Holiday/leisure/recreation","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"Other Europe (14)","Holiday/leisure/recreation","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","186"
"Other Europe (14)","Holiday/leisure/recreation","2016Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Holiday/leisure/recreation","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"Other Europe (14)","Holiday/leisure/recreation","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","59"
"Other Europe (14)","Holiday/leisure/recreation","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Holiday/leisure/recreation","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"Other Europe (14)","Holiday/leisure/recreation","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","39"
"Other Europe (14)","Holiday/leisure/recreation","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Holiday/leisure/recreation","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"Other Europe (14)","Holiday/leisure/recreation","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","130"
"Other Europe (14)","Holiday/leisure/recreation","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Holiday/leisure/recreation","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Other Europe (14)","Holiday/leisure/recreation","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","188"
"Other Europe (14)","Holiday/leisure/recreation","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Holiday/leisure/recreation","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"Other Europe (14)","Holiday/leisure/recreation","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","77"
"Other Europe (14)","Holiday/leisure/recreation","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Other Europe (14)","Holiday/leisure/recreation","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Other Europe (14)","Holiday/leisure/recreation","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","56"
"Other Europe (14)","Holiday/leisure/recreation","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","Holiday/leisure/recreation","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Other Europe (14)","Holiday/leisure/recreation","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","140"
"Other Europe (14)","Holiday/leisure/recreation","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","Holiday/leisure/recreation","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Other Europe (14)","Holiday/leisure/recreation","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","190"
"Other Europe (14)","Holiday/leisure/recreation","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","Holiday/leisure/recreation","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Other Europe (14)","Holiday/leisure/recreation","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","75"
"Other Europe (14)","Holiday/leisure/recreation","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","Holiday/leisure/recreation","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"Other Europe (14)","Holiday/leisure/recreation","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","54"
"Other Europe (14)","Holiday/leisure/recreation","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Holiday/leisure/recreation","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"Other Europe (14)","Holiday/leisure/recreation","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","162"
"Other Europe (14)","Holiday/leisure/recreation","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Holiday/leisure/recreation","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"Other Europe (14)","Holiday/leisure/recreation","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","207"
"Other Europe (14)","Holiday/leisure/recreation","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Holiday/leisure/recreation","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"Other Europe (14)","Holiday/leisure/recreation","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","85"
"Other Europe (14)","Holiday/leisure/recreation","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"Other Europe (14)","Visit to friends/relatives","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.5"
"Other Europe (14)","Visit to friends/relatives","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"Other Europe (14)","Visit to friends/relatives","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Visit to friends/relatives","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Other Europe (14)","Visit to friends/relatives","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"Other Europe (14)","Visit to friends/relatives","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"Other Europe (14)","Visit to friends/relatives","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.1"
"Other Europe (14)","Visit to friends/relatives","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"Other Europe (14)","Visit to friends/relatives","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"Other Europe (14)","Visit to friends/relatives","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"Other Europe (14)","Visit to friends/relatives","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"Other Europe (14)","Visit to friends/relatives","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Visit to friends/relatives","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"Other Europe (14)","Visit to friends/relatives","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","22"
"Other Europe (14)","Visit to friends/relatives","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Visit to friends/relatives","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"Other Europe (14)","Visit to friends/relatives","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"Other Europe (14)","Visit to friends/relatives","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"Other Europe (14)","Visit to friends/relatives","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.7"
"Other Europe (14)","Visit to friends/relatives","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"Other Europe (14)","Visit to friends/relatives","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"Other Europe (14)","Visit to friends/relatives","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"Other Europe (14)","Visit to friends/relatives","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"Other Europe (14)","Visit to friends/relatives","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Visit to friends/relatives","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"Other Europe (14)","Visit to friends/relatives","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"Other Europe (14)","Visit to friends/relatives","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","Visit to friends/relatives","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"Other Europe (14)","Visit to friends/relatives","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","39"
"Other Europe (14)","Visit to friends/relatives","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","Visit to friends/relatives","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.7"
"Other Europe (14)","Visit to friends/relatives","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"Other Europe (14)","Visit to friends/relatives","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"Other Europe (14)","Visit to friends/relatives","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"Other Europe (14)","Visit to friends/relatives","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"Other Europe (14)","Visit to friends/relatives","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"Other Europe (14)","Visit to friends/relatives","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Other Europe (14)","Visit to friends/relatives","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"Other Europe (14)","Visit to friends/relatives","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Visit to friends/relatives","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"Other Europe (14)","Visit to friends/relatives","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"Other Europe (14)","Visit to friends/relatives","2015Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Visit to friends/relatives","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.4"
"Other Europe (14)","Visit to friends/relatives","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"Other Europe (14)","Visit to friends/relatives","2015Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"Other Europe (14)","Visit to friends/relatives","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"Other Europe (14)","Visit to friends/relatives","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"Other Europe (14)","Visit to friends/relatives","2015Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Visit to friends/relatives","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.8"
"Other Europe (14)","Visit to friends/relatives","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","39"
"Other Europe (14)","Visit to friends/relatives","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Visit to friends/relatives","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Other Europe (14)","Visit to friends/relatives","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"Other Europe (14)","Visit to friends/relatives","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","Visit to friends/relatives","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"Other Europe (14)","Visit to friends/relatives","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"Other Europe (14)","Visit to friends/relatives","2016Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"Other Europe (14)","Visit to friends/relatives","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"Other Europe (14)","Visit to friends/relatives","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"Other Europe (14)","Visit to friends/relatives","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Other Europe (14)","Visit to friends/relatives","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Other Europe (14)","Visit to friends/relatives","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"Other Europe (14)","Visit to friends/relatives","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Visit to friends/relatives","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"Other Europe (14)","Visit to friends/relatives","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"Other Europe (14)","Visit to friends/relatives","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"Other Europe (14)","Visit to friends/relatives","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Other Europe (14)","Visit to friends/relatives","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"Other Europe (14)","Visit to friends/relatives","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","13"
"Other Europe (14)","Visit to friends/relatives","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"Other Europe (14)","Visit to friends/relatives","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"Other Europe (14)","Visit to friends/relatives","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Visit to friends/relatives","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Other Europe (14)","Visit to friends/relatives","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"Other Europe (14)","Visit to friends/relatives","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","Visit to friends/relatives","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"Other Europe (14)","Visit to friends/relatives","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"Other Europe (14)","Visit to friends/relatives","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Other Europe (14)","Visit to friends/relatives","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Other Europe (14)","Visit to friends/relatives","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"Other Europe (14)","Visit to friends/relatives","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"Other Europe (14)","Visit to friends/relatives","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"Other Europe (14)","Visit to friends/relatives","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"Other Europe (14)","Visit to friends/relatives","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Visit to friends/relatives","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"Other Europe (14)","Visit to friends/relatives","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"Other Europe (14)","Visit to friends/relatives","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Other Europe (14)","Visit to friends/relatives","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"Other Europe (14)","Visit to friends/relatives","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","39"
"Other Europe (14)","Visit to friends/relatives","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Other Europe (14)","Visit to friends/relatives","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"Other Europe (14)","Visit to friends/relatives","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"Other Europe (14)","Visit to friends/relatives","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"Other Europe (14)","Visit to friends/relatives","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"Other Europe (14)","Visit to friends/relatives","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","44"
"Other Europe (14)","Visit to friends/relatives","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Other Europe (14)","Business","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"Other Europe (14)","Business","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"Other Europe (14)","Business","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Business","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"Other Europe (14)","Business","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"Other Europe (14)","Business","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"Other Europe (14)","Business","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"Other Europe (14)","Business","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"Other Europe (14)","Business","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Other Europe (14)","Business","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.2"
"Other Europe (14)","Business","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"Other Europe (14)","Business","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Other Europe (14)","Business","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"Other Europe (14)","Business","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","51"
"Other Europe (14)","Business","2013Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Other Europe (14)","Business","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"Other Europe (14)","Business","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"Other Europe (14)","Business","2013Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","26"
"Other Europe (14)","Business","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"Other Europe (14)","Business","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"Other Europe (14)","Business","2013Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"Other Europe (14)","Business","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"Other Europe (14)","Business","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","44"
"Other Europe (14)","Business","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"Other Europe (14)","Business","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Other Europe (14)","Business","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"Other Europe (14)","Business","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Other Europe (14)","Business","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"Other Europe (14)","Business","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"Other Europe (14)","Business","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","25"
"Other Europe (14)","Business","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.9"
"Other Europe (14)","Business","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"Other Europe (14)","Business","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","26"
"Other Europe (14)","Business","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.4"
"Other Europe (14)","Business","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"Other Europe (14)","Business","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"Other Europe (14)","Business","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Other Europe (14)","Business","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","39"
"Other Europe (14)","Business","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"Other Europe (14)","Business","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"Other Europe (14)","Business","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"Other Europe (14)","Business","2015Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"Other Europe (14)","Business","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"Other Europe (14)","Business","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"Other Europe (14)","Business","2015Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"Other Europe (14)","Business","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"Other Europe (14)","Business","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","48"
"Other Europe (14)","Business","2015Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"Other Europe (14)","Business","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","11"
"Other Europe (14)","Business","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"Other Europe (14)","Business","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Other Europe (14)","Business","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"Other Europe (14)","Business","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","45"
"Other Europe (14)","Business","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
