"Statistic Label","Area of Residence","Reason for Journey","Quarter","UNIT","VALUE"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2015Q4","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2016Q1","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2016Q2","%","47"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2016Q3","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2016Q4","%","27"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2017Q1","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2017Q2","%","40"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2017Q3","%","37"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2017Q4","%","33"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2018Q1","%","31"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2018Q2","%","53"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2018Q3","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2018Q4","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2019Q1","%","40"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2019Q2","%","55"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2019Q3","%","54"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Holiday/leisure/recreation","2019Q4","%","60"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2012Q1","%","20"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2012Q2","%","15"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2012Q3","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2012Q4","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2013Q1","%","17"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2013Q2","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2013Q3","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2013Q4","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2014Q1","%","19"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2014Q2","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2014Q3","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2014Q4","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2015Q1","%","22"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2015Q2","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2015Q3","%","31"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2015Q4","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2016Q1","%","25"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2016Q2","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2016Q3","%","32"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2016Q4","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2017Q1","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2017Q2","%","36"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2017Q3","%","36"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2017Q4","%","42"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2018Q1","%","40"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2018Q2","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2018Q3","%","33"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2018Q4","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2019Q1","%","33"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2019Q2","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2019Q3","%","43"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Visit to friends/relatives","2019Q4","%","43"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2012Q1","%","3"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2012Q2","%","3"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2012Q3","%","4"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2012Q4","%","3"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2013Q1","%","4"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2013Q2","%","5"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2013Q3","%","5"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2013Q4","%","7"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2014Q1","%","4"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2014Q2","%","5"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2014Q3","%","9"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2014Q4","%","6"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2015Q1","%","4"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2015Q2","%","7"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2015Q3","%","5"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2015Q4","%","5"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2016Q1","%","6"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2016Q2","%","6"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2016Q3","%","7"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2016Q4","%","9"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2017Q1","%","6"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2017Q2","%","10"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2017Q3","%","6"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2017Q4","%","14"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2018Q1","%","12"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2018Q2","%","10"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2018Q3","%","9"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2018Q4","%","9"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2019Q1","%","6"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2019Q2","%","8"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2019Q3","%","11"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Business","2019Q4","%","11"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2012Q1","%","42"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2012Q2","%","50"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2012Q3","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2012Q4","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2013Q1","%","42"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2013Q2","%","60"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2013Q3","%","32"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2013Q4","%","36"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2014Q1","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2014Q2","%","44"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2014Q3","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2014Q4","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2015Q1","%","36"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2015Q2","%","47"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2015Q3","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2015Q4","%","36"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2016Q1","%","38"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2016Q2","%","52"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2016Q3","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2016Q4","%","43"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2017Q1","%","51"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2017Q2","%","48"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2017Q3","%","44"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2017Q4","%","45"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2018Q1","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2018Q2","%","49"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2018Q3","%","41"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2018Q4","%","42"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2019Q1","%","44"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2019Q2","%","48"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2019Q3","%","44"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other countries (25)","Other reason for journey","2019Q4","%","45"
