"Statistic Label","Area of Residence","Reason for Journey","Quarter","UNIT","VALUE"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2014Q3","%","57"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2014Q4","%","58"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2015Q1","%","51"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2015Q2","%","43"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2015Q3","%","50"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2015Q4","%","60"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2016Q1","%","50"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2016Q2","%","58"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2016Q3","%","47"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2016Q4","%","53"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2017Q1","%","45"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2017Q2","%","46"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2017Q3","%","44"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2017Q4","%","42"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2018Q1","%","45"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2018Q2","%","48"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2018Q3","%","43"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2018Q4","%","58"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2019Q1","%","50"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2019Q2","%","45"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2019Q3","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2019Q4","%","40"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2012Q1","%","82"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2012Q2","%","79"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2012Q3","%","87"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2012Q4","%","81"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2013Q1","%","79"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2013Q2","%","85"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2013Q3","%","83"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2013Q4","%","79"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2014Q1","%","88"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2014Q2","%","80"
