"Type of Trip","Quarter","Statistic Label","UNIT","VALUE"
"Same-day trips","2013Q3","Overseas Trips by Irish Residents","Thousand","36"
"Same-day trips","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"Same-day trips","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","144"
"Same-day trips","2013Q4","Overseas Trips by Irish Residents","Thousand","41"
"Same-day trips","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"Same-day trips","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","128"
"Same-day trips","2014Q1","Overseas Trips by Irish Residents","Thousand","36"
"Same-day trips","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"Same-day trips","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","222"
"Same-day trips","2014Q2","Overseas Trips by Irish Residents","Thousand","44"
"Same-day trips","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","15"
"Same-day trips","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","228"
"Same-day trips","2014Q3","Overseas Trips by Irish Residents","Thousand","53"
"Same-day trips","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Same-day trips","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","199"
"Same-day trips","2014Q4","Overseas Trips by Irish Residents","Thousand","56"
"Same-day trips","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"Same-day trips","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","154"
"Same-day trips","2015Q1","Overseas Trips by Irish Residents","Thousand","32"
"Same-day trips","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Same-day trips","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","225"
"Same-day trips","2015Q2","Overseas Trips by Irish Residents","Thousand","53"
"Same-day trips","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Same-day trips","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","278"
"Same-day trips","2015Q3","Overseas Trips by Irish Residents","Thousand","48"
"Same-day trips","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"Same-day trips","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","236"
"Same-day trips","2015Q4","Overseas Trips by Irish Residents","Thousand","50"
"Same-day trips","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"Same-day trips","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","190"
"Same-day trips","2016Q1","Overseas Trips by Irish Residents","Thousand","42"
"Same-day trips","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Same-day trips","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","301"
"Same-day trips","2016Q2","Overseas Trips by Irish Residents","Thousand","45"
"Same-day trips","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","14"
"Same-day trips","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","372"
"Same-day trips","2016Q3","Overseas Trips by Irish Residents","Thousand","31"
"Same-day trips","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"Same-day trips","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","294"
"Same-day trips","2016Q4","Overseas Trips by Irish Residents","Thousand","64"
"Same-day trips","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"Same-day trips","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","224"
"Same-day trips","2017Q1","Overseas Trips by Irish Residents","Thousand","59"
"Same-day trips","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"Same-day trips","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","317"
"Same-day trips","2017Q2","Overseas Trips by Irish Residents","Thousand","65"
"Same-day trips","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","16"
"Same-day trips","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","371"
"Same-day trips","2017Q3","Overseas Trips by Irish Residents","Thousand","46"
"Same-day trips","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","13"
"Same-day trips","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","294"
"Same-day trips","2017Q4","Overseas Trips by Irish Residents","Thousand","41"
"Same-day trips","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","14"
"Same-day trips","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","249"
"Same-day trips","2018Q1","Overseas Trips by Irish Residents","Thousand","41"
"Same-day trips","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Same-day trips","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","333"
"Same-day trips","2018Q2","Overseas Trips by Irish Residents","Thousand","44"
"Same-day trips","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","14"
"Same-day trips","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","413"
"Same-day trips","2018Q3","Overseas Trips by Irish Residents","Thousand","59"
"Same-day trips","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"Same-day trips","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","345"
"Same-day trips","2018Q4","Overseas Trips by Irish Residents","Thousand","47"
"Same-day trips","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"Same-day trips","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","259"
"Same-day trips","2019Q1","Overseas Trips by Irish Residents","Thousand","52"
"Same-day trips","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Same-day trips","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","404"
"Same-day trips","2019Q2","Overseas Trips by Irish Residents","Thousand","52"
"Same-day trips","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","13"
"Same-day trips","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","442"
"Same-day trips","2019Q3","Overseas Trips by Irish Residents","Thousand","41"
"Same-day trips","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"Same-day trips","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","347"
"Same-day trips","2019Q4","Overseas Trips by Irish Residents","Thousand","49"
"Same-day trips","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"Trips with at least one overnight","2004Q1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"Trips with at least one overnight","2004Q1","Overseas Trips by Irish Residents","Thousand",""
"Trips with at least one overnight","2004Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"Trips with at least one overnight","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1066"
"Trips with at least one overnight","2012Q1","Overseas Trips by Irish Residents","Thousand","1206"
"Trips with at least one overnight","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","475"
"Trips with at least one overnight","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1682"
"Trips with at least one overnight","2012Q2","Overseas Trips by Irish Residents","Thousand","1690"
"Trips with at least one overnight","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","807"
"Trips with at least one overnight","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1973"
"Trips with at least one overnight","2012Q3","Overseas Trips by Irish Residents","Thousand","1961"
"Trips with at least one overnight","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","986"
"Trips with at least one overnight","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1317"
"Trips with at least one overnight","2012Q4","Overseas Trips by Irish Residents","Thousand","1322"
"Trips with at least one overnight","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","614"
"Trips with at least one overnight","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1143"
"Trips with at least one overnight","2013Q1","Overseas Trips by Irish Residents","Thousand","1179"
"Trips with at least one overnight","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","532"
"Trips with at least one overnight","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1735"
"Trips with at least one overnight","2013Q2","Overseas Trips by Irish Residents","Thousand","1721"
"Trips with at least one overnight","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","858"
"Trips with at least one overnight","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2082"
"Trips with at least one overnight","2013Q3","Overseas Trips by Irish Residents","Thousand","1997"
"Trips with at least one overnight","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1179"
"Trips with at least one overnight","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1436"
