"Statistic Label","Type of Accommodation Used","Area of Residence","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2017Q3","Thousand","411"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2017Q4","Thousand","225"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2018Q1","Thousand","163"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2018Q2","Thousand","309"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2018Q3","Thousand","383"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2018Q4","Thousand","237"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2019Q1","Thousand","165"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2019Q2","Thousand","332"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2019Q3","Thousand","428"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2019Q4","Thousand","180"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2012Q1","Thousand","210"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2012Q2","Thousand","518"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2012Q3","Thousand","952"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2012Q4","Thousand","485"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2013Q1","Thousand","244"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2013Q2","Thousand","540"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2013Q3","Thousand","1195"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2013Q4","Thousand","350"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2014Q1","Thousand","246"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2014Q2","Thousand","759"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2014Q3","Thousand","1310"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2014Q4","Thousand","469"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2015Q1","Thousand","338"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2015Q2","Thousand","938"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2015Q3","Thousand","1743"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2015Q4","Thousand","610"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2016Q1","Thousand","410"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2016Q2","Thousand","1144"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2016Q3","Thousand","1977"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2016Q4","Thousand","546"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2017Q1","Thousand","404"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2017Q2","Thousand","1119"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2017Q3","Thousand","1855"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2017Q4","Thousand","813"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2018Q1","Thousand","637"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2018Q2","Thousand","1379"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2018Q3","Thousand","2020"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2018Q4","Thousand","603"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2019Q1","Thousand","433"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2019Q2","Thousand","1373"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2019Q3","Thousand","1912"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2019Q4","Thousand","755"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2012Q1","Thousand","69"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2012Q2","Thousand","358"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2012Q3","Thousand","421"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2012Q4","Thousand","140"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2013Q1","Thousand","71"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2013Q2","Thousand","338"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2013Q3","Thousand","494"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2013Q4","Thousand","144"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2014Q1","Thousand","81"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2014Q2","Thousand","386"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2014Q3","Thousand","599"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2014Q4","Thousand","176"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2015Q1","Thousand","118"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2015Q2","Thousand","520"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2015Q3","Thousand","693"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2015Q4","Thousand","259"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2016Q1","Thousand","176"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2016Q2","Thousand","634"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2016Q3","Thousand","919"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2016Q4","Thousand","351"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2017Q1","Thousand","186"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2017Q2","Thousand","837"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2017Q3","Thousand","1012"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2017Q4","Thousand","497"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2018Q1","Thousand","262"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2018Q2","Thousand","930"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2018Q3","Thousand","1216"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2018Q4","Thousand","571"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2019Q1","Thousand","283"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2019Q2","Thousand","942"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2019Q3","Thousand","1007"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2019Q4","Thousand","329"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2012Q1","Thousand","42"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2012Q2","Thousand","90"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2012Q3","Thousand","109"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2012Q4","Thousand","73"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2013Q1","Thousand","58"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2013Q2","Thousand","85"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2013Q3","Thousand","183"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2013Q4","Thousand","112"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2014Q1","Thousand","53"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2014Q2","Thousand","113"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2014Q3","Thousand","165"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2014Q4","Thousand","133"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2015Q1","Thousand","54"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2015Q2","Thousand","158"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2015Q3","Thousand","242"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2015Q4","Thousand","173"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2016Q1","Thousand","51"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2016Q2","Thousand","163"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2016Q3","Thousand","272"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2016Q4","Thousand","164"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2017Q1","Thousand","91"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2017Q2","Thousand","174"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2017Q3","Thousand","277"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2017Q4","Thousand","154"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2018Q1","Thousand","120"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2018Q2","Thousand","258"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2018Q3","Thousand","302"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2018Q4","Thousand","185"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2019Q1","Thousand","98"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2019Q2","Thousand","216"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2019Q3","Thousand","313"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2019Q4","Thousand","165"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2012Q1","Thousand","1599"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2012Q2","Thousand","2560"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2012Q3","Thousand","4274"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2012Q4","Thousand","1877"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2013Q1","Thousand","1751"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2013Q2","Thousand","2758"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2013Q3","Thousand","4162"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2013Q4","Thousand","2321"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2014Q1","Thousand","1609"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2014Q2","Thousand","3044"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2014Q3","Thousand","4260"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2014Q4","Thousand","2138"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2015Q1","Thousand","2024"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2015Q2","Thousand","2967"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2015Q3","Thousand","4285"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2015Q4","Thousand","2624"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2016Q1","Thousand","2150"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2016Q2","Thousand","3025"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2016Q3","Thousand","4926"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2016Q4","Thousand","2315"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2017Q1","Thousand","2088"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2017Q2","Thousand","3241"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2017Q3","Thousand","4723"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2017Q4","Thousand","3030"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2018Q1","Thousand","2464"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2018Q2","Thousand","2916"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2018Q3","Thousand","4928"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2018Q4","Thousand","2711"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2019Q1","Thousand","2074"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2019Q2","Thousand","3389"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2019Q3","Thousand","4357"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2019Q4","Thousand","2749"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2012Q1","Thousand","348"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2012Q2","Thousand","453"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2012Q3","Thousand","777"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2012Q4","Thousand","387"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2013Q1","Thousand","359"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2013Q2","Thousand","498"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2013Q3","Thousand","929"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2013Q4","Thousand","451"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2014Q1","Thousand","406"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2014Q2","Thousand","667"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2014Q3","Thousand","935"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2014Q4","Thousand","415"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2015Q1","Thousand","511"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2015Q2","Thousand","610"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2015Q3","Thousand","883"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2015Q4","Thousand","493"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2016Q1","Thousand","494"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2016Q2","Thousand","627"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2016Q3","Thousand","1112"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2016Q4","Thousand","552"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2017Q1","Thousand","494"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2017Q2","Thousand","788"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2017Q3","Thousand","1302"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2017Q4","Thousand","630"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2018Q1","Thousand","540"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2018Q2","Thousand","640"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2018Q3","Thousand","1042"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2018Q4","Thousand","473"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2019Q1","Thousand","435"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2019Q2","Thousand","664"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2019Q3","Thousand","1129"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2019Q4","Thousand","502"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2012Q1","Thousand","831"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2012Q2","Thousand","1458"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2012Q3","Thousand","2906"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2012Q4","Thousand","1099"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2013Q1","Thousand","894"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2013Q2","Thousand","1643"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2013Q3","Thousand","2382"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2013Q4","Thousand","1263"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2014Q1","Thousand","703"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2014Q2","Thousand","1632"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2014Q3","Thousand","2464"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2014Q4","Thousand","1126"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2015Q1","Thousand","1007"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2015Q2","Thousand","1565"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2015Q3","Thousand","2353"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2015Q4","Thousand","1378"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2016Q1","Thousand","1108"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2016Q2","Thousand","1640"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2016Q3","Thousand","2882"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2016Q4","Thousand","979"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2017Q1","Thousand","979"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2017Q2","Thousand","1749"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2017Q3","Thousand","2400"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2017Q4","Thousand","1617"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2018Q1","Thousand","1329"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2018Q2","Thousand","1489"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2018Q3","Thousand","2492"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2018Q4","Thousand","1531"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2019Q1","Thousand","1137"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2019Q2","Thousand","1934"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2019Q3","Thousand","2240"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2019Q4","Thousand","1318"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2012Q1","Thousand","200"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2012Q2","Thousand","435"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2012Q3","Thousand","378"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2012Q4","Thousand","247"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2013Q1","Thousand","227"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2013Q2","Thousand","414"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2013Q3","Thousand","413"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2013Q4","Thousand","411"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2014Q1","Thousand","263"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2014Q2","Thousand","381"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2014Q3","Thousand","434"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2014Q4","Thousand","354"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2015Q1","Thousand","197"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2015Q2","Thousand","468"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2015Q3","Thousand","536"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2015Q4","Thousand","439"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2016Q1","Thousand","268"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2016Q2","Thousand","408"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2016Q3","Thousand","582"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2016Q4","Thousand","551"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2017Q1","Thousand","313"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2017Q2","Thousand","463"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2017Q3","Thousand","588"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2017Q4","Thousand","417"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2018Q1","Thousand","323"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2018Q2","Thousand","522"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2018Q3","Thousand","743"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2018Q4","Thousand","406"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2019Q1","Thousand","253"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2019Q2","Thousand","532"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2019Q3","Thousand","461"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2019Q4","Thousand","544"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Areas","2012Q1","Thousand","219"
