"Statistic Label","Type of Accommodation Used","Area of Residence","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2019Q2","Thousand","4771"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2019Q3","Thousand","5312"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","USA and Canada","2019Q4","Thousand","3295"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2012Q1","Thousand","1062"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2012Q2","Thousand","1332"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2012Q3","Thousand","1555"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2012Q4","Thousand","945"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2013Q1","Thousand","1094"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2013Q2","Thousand","1266"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2013Q3","Thousand","2084"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2013Q4","Thousand","1278"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2014Q1","Thousand","1274"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2014Q2","Thousand","1755"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2014Q3","Thousand","2208"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2014Q4","Thousand","1342"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2015Q1","Thousand","1281"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2015Q2","Thousand","1796"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2015Q3","Thousand","2614"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2015Q4","Thousand","1851"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2016Q1","Thousand","1599"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2016Q2","Thousand","1946"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2016Q3","Thousand","2657"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2016Q4","Thousand","1740"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2017Q1","Thousand","1805"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2017Q2","Thousand","1986"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2017Q3","Thousand","2931"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2017Q4","Thousand","2254"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2018Q1","Thousand","1963"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2018Q2","Thousand","1936"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2018Q3","Thousand","3269"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2018Q4","Thousand","1806"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2019Q1","Thousand","1857"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2019Q2","Thousand","2095"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other Areas","2019Q3","Thousand","3029"
