"Area of Residence","Quarter","Statistic Label","UNIT","VALUE"
"Germany","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","223"
"Germany","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Germany","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","159"
"Germany","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","133"
"Germany","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Germany","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","63"
"Germany","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","99"
"Germany","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"Germany","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"Germany","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","210"
"Germany","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Germany","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","135"
"Germany","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","225"
"Germany","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"Germany","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","146"
"Germany","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","148"
"Germany","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"Germany","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","78"
"Germany","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","130"
"Germany","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Germany","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"Germany","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","245"
"Germany","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Germany","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","153"
"Germany","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","271"
"Germany","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Germany","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","175"
"Germany","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","172"
"Germany","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"Germany","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","85"
"Germany","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","133"
"Germany","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"Germany","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","53"
"Germany","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","246"
"Germany","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"Germany","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","150"
"Germany","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","264"
"Germany","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"Germany","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","163"
"Germany","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","170"
"Germany","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"Germany","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","80"
"France","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","67"
"France","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"France","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"France","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","129"
"France","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"France","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","63"
"France","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","129"
"France","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.6"
"France","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","66"
"France","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","71"
"France","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"France","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"France","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","84"
"France","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"France","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"France","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","144"
"France","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"France","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","60"
"France","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","130"
"France","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.7"
"France","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","72"
"France","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","75"
"France","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"France","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"France","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","69"
"France","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"France","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"France","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","149"
"France","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"France","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","64"
"France","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","150"
"France","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"France","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","78"
"France","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","88"
"France","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"France","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"France","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","88"
"France","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"France","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"France","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","160"
"France","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"France","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","78"
"France","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","156"
"France","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.8"
"France","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","84"
"France","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","101"
"France","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"France","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","41"
"France","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","98"
"France","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"France","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","42"
"France","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","165"
"France","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.9"
"France","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","92"
"France","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","171"
"France","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.6"
"France","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","103"
"France","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","98"
"France","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"France","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"France","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","107"
"France","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"France","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","51"
"France","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","169"
"France","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"France","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","82"
"France","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","164"
"France","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"France","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","99"
"France","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","109"
"France","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.3"
"France","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","63"
"France","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","97"
"France","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"France","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","48"
"France","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","178"
"France","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"France","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","104"
"France","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","175"
"France","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"France","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","97"
"France","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","114"
"France","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"France","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"France","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","117"
"France","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"France","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"France","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","173"
"France","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.8"
"France","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","81"
"France","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","172"
"France","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"France","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","98"
"France","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","115"
"France","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"France","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","46"
"Italy","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","40"
"Italy","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"Italy","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"Italy","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","68"
"Italy","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
