"Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"Visit to friends/relatives","2019Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"Visit to friends/relatives","2019Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","320"
"Visit to friends/relatives","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","688"
"Visit to friends/relatives","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"Visit to friends/relatives","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","211"
"Visit to friends/relatives","2019Q4","Overseas Trips by Irish Residents","Thousand","477"
"Visit to friends/relatives","2019Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.1"
"Visit to friends/relatives","2019Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","253"
"Business","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","296"
"Business","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4"
"Business","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","126"
"Business","2012Q1","Overseas Trips by Irish Residents","Thousand","190"
"Business","2012Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.4"
"Business","2012Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","135"
"Business","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","301"
"Business","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Business","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"Business","2012Q2","Overseas Trips by Irish Residents","Thousand","198"
"Business","2012Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.8"
"Business","2012Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","136"
"Business","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","277"
"Business","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"Business","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","124"
"Business","2012Q3","Overseas Trips by Irish Residents","Thousand","182"
"Business","2012Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.1"
"Business","2012Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","140"
"Business","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","308"
"Business","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Business","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","144"
"Business","2012Q4","Overseas Trips by Irish Residents","Thousand","225"
"Business","2012Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.2"
"Business","2012Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","169"
"Business","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","291"
"Business","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Business","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","152"
"Business","2013Q1","Overseas Trips by Irish Residents","Thousand","187"
"Business","2013Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.4"
"Business","2013Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","138"
"Business","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","328"
"Business","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"Business","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"Business","2013Q2","Overseas Trips by Irish Residents","Thousand","185"
"Business","2013Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.4"
"Business","2013Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","130"
"Business","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","284"
"Business","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"Business","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","124"
"Business","2013Q3","Overseas Trips by Irish Residents","Thousand","205"
"Business","2013Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.2"
"Business","2013Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","147"
"Business","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","339"
"Business","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"Business","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","168"
"Business","2013Q4","Overseas Trips by Irish Residents","Thousand","284"
"Business","2013Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.8"
"Business","2013Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","186"
"Business","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","286"
"Business","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Business","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","120"
"Business","2014Q1","Overseas Trips by Irish Residents","Thousand","169"
"Business","2014Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.5"
"Business","2014Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","121"
"Business","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","365"
"Business","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"Business","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","179"
"Business","2014Q2","Overseas Trips by Irish Residents","Thousand","189"
"Business","2014Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.5"
"Business","2014Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","172"
"Business","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","291"
"Business","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"Business","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"Business","2014Q3","Overseas Trips by Irish Residents","Thousand","190"
"Business","2014Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.8"
"Business","2014Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","147"
"Business","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","340"
"Business","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"Business","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","153"
"Business","2014Q4","Overseas Trips by Irish Residents","Thousand","241"
"Business","2014Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.4"
"Business","2014Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","163"
"Business","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","364"
"Business","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Business","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"Business","2015Q1","Overseas Trips by Irish Residents","Thousand","172"
"Business","2015Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.7"
"Business","2015Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","122"
"Business","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","344"
"Business","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Business","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","172"
"Business","2015Q2","Overseas Trips by Irish Residents","Thousand","284"
"Business","2015Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3"
"Business","2015Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","200"
"Business","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","332"
"Business","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"Business","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","163"
"Business","2015Q3","Overseas Trips by Irish Residents","Thousand","202"
"Business","2015Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.5"
"Business","2015Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","175"
"Business","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","400"
"Business","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"Business","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","189"
"Business","2015Q4","Overseas Trips by Irish Residents","Thousand","232"
"Business","2015Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.1"
"Business","2015Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","153"
"Business","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","364"
"Business","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Business","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","148"
"Business","2016Q1","Overseas Trips by Irish Residents","Thousand","188"
"Business","2016Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.2"
"Business","2016Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","125"
"Business","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","434"
"Business","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"Business","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"Business","2016Q2","Overseas Trips by Irish Residents","Thousand","236"
"Business","2016Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.3"
"Business","2016Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","184"
"Business","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","363"
"Business","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"Business","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","186"
"Business","2016Q3","Overseas Trips by Irish Residents","Thousand","157"
"Business","2016Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5"
"Business","2016Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","128"
"Business","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","378"
"Business","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"Business","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","191"
"Business","2016Q4","Overseas Trips by Irish Residents","Thousand","236"
"Business","2016Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.1"
"Business","2016Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","169"
"Business","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","351"
"Business","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Business","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","151"
"Business","2017Q1","Overseas Trips by Irish Residents","Thousand","236"
"Business","2017Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3"
"Business","2017Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","152"
"Business","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","413"
"Business","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"Business","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","213"
"Business","2017Q2","Overseas Trips by Irish Residents","Thousand","240"
"Business","2017Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","2.9"
"Business","2017Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","164"
"Business","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","360"
"Business","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Business","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","199"
"Business","2017Q3","Overseas Trips by Irish Residents","Thousand","177"
"Business","2017Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.5"
"Business","2017Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","133"
"Business","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","354"
"Business","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"Business","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","204"
"Business","2017Q4","Overseas Trips by Irish Residents","Thousand","227"
"Business","2017Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.7"
"Business","2017Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","169"
"Business","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","351"
"Business","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"Business","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","169"
"Business","2018Q1","Overseas Trips by Irish Residents","Thousand","231"
"Business","2018Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.3"
"Business","2018Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","164"
"Business","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","360"
"Business","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"Business","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","189"
"Business","2018Q2","Overseas Trips by Irish Residents","Thousand","212"
"Business","2018Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.6"
"Business","2018Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","172"
"Business","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","333"
"Business","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"Business","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","202"
"Business","2018Q3","Overseas Trips by Irish Residents","Thousand","214"
"Business","2018Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.7"
"Business","2018Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","170"
"Business","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","389"
"Business","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Business","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","184"
"Business","2018Q4","Overseas Trips by Irish Residents","Thousand","244"
"Business","2018Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.5"
"Business","2018Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","203"
"Business","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","390"
"Business","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Business","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","167"
"Business","2019Q1","Overseas Trips by Irish Residents","Thousand","252"
"Business","2019Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.5"
"Business","2019Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","190"
"Business","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","365"
"Business","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"Business","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","180"
"Business","2019Q2","Overseas Trips by Irish Residents","Thousand","244"
"Business","2019Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","2.9"
"Business","2019Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","226"
"Business","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","350"
"Business","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"Business","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"Business","2019Q3","Overseas Trips by Irish Residents","Thousand","248"
"Business","2019Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.8"
"Business","2019Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","209"
"Business","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","379"
"Business","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"Business","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","176"
"Business","2019Q4","Overseas Trips by Irish Residents","Thousand","216"
"Business","2019Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.2"
"Business","2019Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","154"
"Other reason for journey","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","109"
"Other reason for journey","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.7"
"Other reason for journey","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","48"
"Other reason for journey","2012Q1","Overseas Trips by Irish Residents","Thousand","13"
"Other reason for journey","2012Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","16.2"
"Other reason for journey","2012Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","9"
"Other reason for journey","2012Q2","Overseas Trips to Ireland by Non-Residents","Thousand","188"
"Other reason for journey","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","14"
"Other reason for journey","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","77"
"Other reason for journey","2012Q2","Overseas Trips by Irish Residents","Thousand","30"
"Other reason for journey","2012Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","18.9"
"Other reason for journey","2012Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","46"
"Other reason for journey","2012Q3","Overseas Trips to Ireland by Non-Residents","Thousand","226"
"Other reason for journey","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.2"
"Other reason for journey","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","98"
"Other reason for journey","2012Q3","Overseas Trips by Irish Residents","Thousand","47"
"Other reason for journey","2012Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.1"
"Other reason for journey","2012Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","48"
"Other reason for journey","2012Q4","Overseas Trips to Ireland by Non-Residents","Thousand","162"
"Other reason for journey","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.1"
"Other reason for journey","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","64"
"Other reason for journey","2012Q4","Overseas Trips by Irish Residents","Thousand","34"
"Other reason for journey","2012Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.9"
"Other reason for journey","2012Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","27"
"Other reason for journey","2013Q1","Overseas Trips to Ireland by Non-Residents","Thousand","93"
"Other reason for journey","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.5"
"Other reason for journey","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","49"
"Other reason for journey","2013Q1","Overseas Trips by Irish Residents","Thousand","15"
"Other reason for journey","2013Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","15.3"
"Other reason for journey","2013Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","8"
"Other reason for journey","2013Q2","Overseas Trips to Ireland by Non-Residents","Thousand","224"
"Other reason for journey","2013Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.1"
"Other reason for journey","2013Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","110"
"Other reason for journey","2013Q2","Overseas Trips by Irish Residents","Thousand","17"
"Other reason for journey","2013Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","16.1"
"Other reason for journey","2013Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","16"
"Other reason for journey","2013Q3","Overseas Trips to Ireland by Non-Residents","Thousand","218"
"Other reason for journey","2013Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.3"
"Other reason for journey","2013Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","102"
"Other reason for journey","2013Q3","Overseas Trips by Irish Residents","Thousand","19"
"Other reason for journey","2013Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.7"
"Other reason for journey","2013Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","18"
"Other reason for journey","2013Q4","Overseas Trips to Ireland by Non-Residents","Thousand","134"
"Other reason for journey","2013Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.7"
"Other reason for journey","2013Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","63"
"Other reason for journey","2013Q4","Overseas Trips by Irish Residents","Thousand","22"
"Other reason for journey","2013Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","13.4"
"Other reason for journey","2013Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","20"
"Other reason for journey","2014Q1","Overseas Trips to Ireland by Non-Residents","Thousand","115"
"Other reason for journey","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.4"
"Other reason for journey","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","50"
"Other reason for journey","2014Q1","Overseas Trips by Irish Residents","Thousand","17"
"Other reason for journey","2014Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.2"
"Other reason for journey","2014Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","9"
"Other reason for journey","2014Q2","Overseas Trips to Ireland by Non-Residents","Thousand","231"
"Other reason for journey","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.4"
"Other reason for journey","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","125"
"Other reason for journey","2014Q2","Overseas Trips by Irish Residents","Thousand","36"
"Other reason for journey","2014Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","15.1"
"Other reason for journey","2014Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","29"
"Other reason for journey","2014Q3","Overseas Trips to Ireland by Non-Residents","Thousand","256"
"Other reason for journey","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"Other reason for journey","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","105"
"Other reason for journey","2014Q3","Overseas Trips by Irish Residents","Thousand","35"
"Other reason for journey","2014Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.3"
"Other reason for journey","2014Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","25"
"Other reason for journey","2014Q4","Overseas Trips to Ireland by Non-Residents","Thousand","186"
"Other reason for journey","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.4"
"Other reason for journey","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","72"
"Other reason for journey","2014Q4","Overseas Trips by Irish Residents","Thousand","68"
"Other reason for journey","2014Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.5"
"Other reason for journey","2014Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","50"
"Other reason for journey","2015Q1","Overseas Trips to Ireland by Non-Residents","Thousand","141"
"Other reason for journey","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.9"
"Other reason for journey","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","69"
"Other reason for journey","2015Q1","Overseas Trips by Irish Residents","Thousand","27"
"Other reason for journey","2015Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","12.3"
"Other reason for journey","2015Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","21"
"Other reason for journey","2015Q2","Overseas Trips to Ireland by Non-Residents","Thousand","229"
"Other reason for journey","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.4"
"Other reason for journey","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","106"
"Other reason for journey","2015Q2","Overseas Trips by Irish Residents","Thousand","49"
"Other reason for journey","2015Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.6"
"Other reason for journey","2015Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","34"
"Other reason for journey","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","315"
"Other reason for journey","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"Other reason for journey","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","129"
"Other reason for journey","2015Q3","Overseas Trips by Irish Residents","Thousand","50"
"Other reason for journey","2015Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.6"
"Other reason for journey","2015Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","38"
"Other reason for journey","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","220"
"Other reason for journey","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"Other reason for journey","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","96"
"Other reason for journey","2015Q4","Overseas Trips by Irish Residents","Thousand","56"
"Other reason for journey","2015Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.3"
"Other reason for journey","2015Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","43"
"Other reason for journey","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","175"
"Other reason for journey","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.2"
"Other reason for journey","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","72"
"Other reason for journey","2016Q1","Overseas Trips by Irish Residents","Thousand","23"
"Other reason for journey","2016Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"Other reason for journey","2016Q1","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","13"
"Other reason for journey","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","276"
"Other reason for journey","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.6"
"Other reason for journey","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","127"
"Other reason for journey","2016Q2","Overseas Trips by Irish Residents","Thousand","71"
"Other reason for journey","2016Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.9"
"Other reason for journey","2016Q2","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","51"
"Other reason for journey","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","394"
"Other reason for journey","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"Other reason for journey","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","163"
"Other reason for journey","2016Q3","Overseas Trips by Irish Residents","Thousand","77"
"Other reason for journey","2016Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.8"
"Other reason for journey","2016Q3","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","71"
"Other reason for journey","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","259"
"Other reason for journey","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"Other reason for journey","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","80"
"Other reason for journey","2016Q4","Overseas Trips by Irish Residents","Thousand","102"
"Other reason for journey","2016Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.2"
"Other reason for journey","2016Q4","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","64"
"Other reason for journey","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","206"
"Other reason for journey","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"Other reason for journey","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","65"
